station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EBBR,2023-01-01 00:50,59.00,41.00,51.18,220.00,19.00,0.00,29.83,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,EBBR 010050Z 22019KT CAVOK 15/05 Q1010 RMK WS ALL RWY NOSIG,M
EBBR,2023-01-01 01:50,59.00,42.80,54.86,220.00,19.00,0.00,29.83,M,6.21,29.00,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,59.00,EBBR 010150Z 22019G29KT 9999 -RA NSC 15/06 Q1010 RMK WS ALL RWY NOSIG,M
EBBR,2023-01-01 02:50,57.20,42.80,58.52,210.00,18.00,0.00,29.83,M,6.21,28.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EBBR 010250Z 21018G28KT CAVOK 14/06 Q1010 RMK WS ALL RWY NOSIG,M
EBBR,2023-01-01 03:50,57.20,44.60,62.69,220.00,19.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EBBR 010350Z 22019KT CAVOK 14/07 Q1011 RMK WS ALL RWY NOSIG,M
EBBR,2023-01-01 04:50,57.20,44.60,62.69,220.00,17.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EBBR 010450Z 22017KT CAVOK 14/07 Q1011 RMK WS ALL RWY NOSIG,M
EBBR,2023-01-01 05:50,57.20,44.60,62.69,220.00,16.00,0.00,29.88,M,6.21,M,SCT,M,M,M,3800.00,M,M,M,M,M,M,M,M,M,M,57.20,EBBR 010550Z 22016KT 9999 SCT038 14/07 Q1012 NOSIG,M
EBBR,2023-01-01 06:50,55.40,46.40,71.64,220.00,17.00,0.00,29.91,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010650Z 22017KT 9999 BKN040 13/08 Q1013 NOSIG,M
EBBR,2023-01-01 07:50,55.40,46.40,71.64,220.00,18.00,0.00,29.94,M,6.21,M,SCT,M,M,M,3600.00,M,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 010750Z 22018KT 9999 -RA SCT036 13/08 Q1014 NOSIG,M
EBBR,2023-01-01 08:50,55.40,46.40,71.64,220.00,15.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010850Z 22015KT 9999 FEW036 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 09:50,55.40,46.40,71.64,230.00,15.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010950Z 23015KT 9999 FEW030 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 10:50,55.40,46.40,71.64,220.00,12.00,0.00,30.00,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 011050Z 22012KT 9999 FEW030 13/08 Q1016 NOSIG,M
EBBR,2023-01-01 11:50,55.40,46.40,71.64,220.00,13.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 011150Z 22013KT 9999 FEW030 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 12:50,55.40,46.40,71.64,210.00,12.00,0.00,29.97,M,6.21,M,SCT,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 011250Z 21012KT 9999 SCT030 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 13:50,55.40,46.40,71.64,210.00,11.00,0.00,29.97,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 011350Z 21011KT 9999 FEW026 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 14:50,55.40,46.40,71.64,200.00,9.00,0.00,29.97,M,6.21,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 011450Z 20009KT 9999 -RA NSC 13/08 Q1015 NOSIG,M
EBBR,2023-01-01 15:50,53.60,48.20,81.87,190.00,10.00,0.00,29.97,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,-RA,M,M,M,M,M,M,53.60,EBBR 011550Z 19010KT 9999 -RA BKN040 12/09 Q1015 NOSIG,M
EBBR,2023-01-01 16:50,51.80,48.20,87.47,170.00,7.00,0.00,29.94,M,6.21,M,BKN,M,M,M,4800.00,M,M,M,-RA,M,M,M,M,M,M,51.80,COR EBBR 011650Z 17007KT 9999 -RA BKN048 11/09 Q1014 TEMPO SCT008 BKN012,M
EBBR,2023-01-01 17:50,51.80,50.00,93.55,170.00,6.00,0.00,29.91,M,5.59,M,SCT,BKN,M,M,1000.00,1800.00,M,M,-RA,M,M,M,M,M,M,51.80,EBBR 011750Z 17006KT 9000 -RA SCT010 BKN018 11/10 Q1013 TEMPO SCT008 BKN010,M
EBBR,2023-01-01 18:50,51.80,48.20,87.47,170.00,9.00,0.00,29.91,M,6.21,M,FEW,M,M,M,4500.00,M,M,M,-RA,M,M,M,M,M,M,51.80,EBBR 011850Z 17009KT 9999 -RA FEW045 11/09 Q1013 NOSIG,M
EBBR,2023-01-01 19:50,51.80,48.20,87.47,160.00,7.00,0.00,29.85,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,-RA,M,M,M,M,M,M,51.80,EBBR 011950Z 16007KT 9999 -RA FEW040 11/09 Q1011 TEMPO 21018G28KT,M
EBBR,2023-01-01 20:50,51.80,50.00,93.55,190.00,10.00,0.00,29.85,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,-RA,M,M,M,M,M,M,51.80,EBBR 012050Z 19010KT 9999 -RA BKN040 11/10 Q1011 TEMPO 21018G28KT,M
EBBR,2023-01-01 21:50,51.80,50.00,93.55,190.00,7.00,0.00,29.85,M,6.21,M,FEW,M,M,M,3200.00,M,M,M,-RA,M,M,M,M,M,M,51.80,EBBR 012150Z 19007KT 9999 -RA FEW032 11/10 Q1011 TEMPO 21015G25KT,M
EBBR,2023-01-01 22:50,55.40,50.00,81.99,210.00,14.00,0.00,29.83,M,6.21,M,SCT,M,M,M,4900.00,M,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 012250Z 21014KT 9999 -RA SCT049 13/10 Q1010 TEMPO 21015G25KT,M
EBBR,2023-01-01 23:50,57.20,50.00,76.82,200.00,13.00,0.00,29.83,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,57.20,EBBR 012350Z 20013KT 9999 FEW035 14/10 Q1010 TEMPO 21015G25KT,M
EBBR,2023-01-02 00:50,55.40,50.00,81.99,210.00,17.00,0.00,29.83,M,6.21,M,FEW,M,M,M,3700.00,M,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 020050Z 21017KT 9999 -RA FEW037 13/10 Q1010 NOSIG,M
EBBR,2023-01-02 01:50,55.40,50.00,81.99,200.00,15.00,0.00,29.83,M,6.21,M,NSC,M,M,M,M,M,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 020150Z 20015KT 9999 -RA NSC 13/10 Q1010 NOSIG,M
EBBR,2023-01-02 02:50,55.40,50.00,81.99,210.00,13.00,0.00,29.83,M,6.21,M,FEW,SCT,M,M,2000.00,2900.00,M,M,-RA,M,M,M,M,M,M,55.40,EBBR 020250Z 21013KT 9999 -RA FEW020 SCT029 13/10 Q1010 NOSIG,M
