station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EDDF,2023-01-01 00:50,53.60,46.40,76.50,210.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EDDF 010050Z AUTO 21008KT CAVOK 12/08 Q1017 NOSIG,M
EDDF,2023-01-01 01:50,53.60,44.60,71.45,190.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EDDF 010150Z AUTO 19006KT CAVOK 12/07 Q1017 NOSIG,M
EDDF,2023-01-01 02:50,51.80,44.60,76.34,210.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 010250Z AUTO 21007KT CAVOK 11/07 Q1017 NOSIG,M
EDDF,2023-01-01 03:50,53.60,46.40,76.50,190.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EDDF 010350Z AUTO 19007KT CAVOK 12/08 Q1017 NOSIG,M
EDDF,2023-01-01 04:50,48.20,44.60,87.28,180.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.04,EDDF 010450Z AUTO 18006KT CAVOK 09/07 Q1017 NOSIG,M
EDDF,2023-01-01 05:50,51.80,44.60,76.34,200.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 010550Z AUTO 20005KT 170V230 CAVOK 11/07 Q1018 NOSIG,M
EDDF,2023-01-01 06:50,51.80,44.60,76.34,200.00,6.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 010650Z AUTO 20006KT CAVOK 11/07 Q1018 NOSIG,M
EDDF,2023-01-01 07:50,51.80,44.60,76.34,220.00,7.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 010750Z AUTO 22007KT CAVOK 11/07 Q1019,M
EDDF,2023-01-01 08:50,51.80,44.60,76.34,190.00,3.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 010850Z AUTO 19003KT CAVOK 11/07 Q1019 NOSIG,M
EDDF,2023-01-01 09:50,55.40,46.40,71.64,210.00,6.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EDDF 010950Z AUTO 21006KT CAVOK 13/08 Q1020 NOSIG,M
EDDF,2023-01-01 10:50,57.20,46.40,67.12,210.00,9.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EDDF 011050Z AUTO 21009KT CAVOK 14/08 Q1020 NOSIG,M
EDDF,2023-01-01 11:50,59.00,46.40,62.92,200.00,13.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,COR EDDF 011150Z AUTO 20013KT CAVOK 15/08 Q1019 NOSIG,M
EDDF,2023-01-01 12:50,59.00,46.40,62.92,210.00,10.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,EDDF 011250Z AUTO 21010KT CAVOK 15/08 Q1019 NOSIG,M
EDDF,2023-01-01 13:50,59.00,46.40,62.92,210.00,12.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,EDDF 011350Z AUTO 21012KT CAVOK 15/08 Q1019 NOSIG,M
EDDF,2023-01-01 14:50,57.20,46.40,67.12,210.00,9.00,0.00,30.09,M,6.21,M,FEW,FEW,M,M,4600.00,M,M,M,-SHRA,M,M,M,M,M,M,57.20,EDDF 011450Z AUTO 21009KT 9999 -SHRA FEW046 FEW///TCU 14/08 Q1019,M
EDDF,2023-01-01 15:50,57.20,46.40,67.12,200.00,3.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EDDF 011550Z AUTO 20003KT 160V230 CAVOK 14/08 Q1019 NOSIG,M
EDDF,2023-01-01 16:50,53.60,46.40,76.50,140.00,3.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EDDF 011650Z AUTO 14003KT CAVOK 12/08 Q1019 NOSIG,M
EDDF,2023-01-01 17:50,53.60,46.40,76.50,M,3.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EDDF 011750Z AUTO VRB03KT CAVOK 12/08 Q1018 NOSIG,M
EDDF,2023-01-01 18:50,51.80,46.40,81.74,90.00,1.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 011850Z AUTO 09001KT CAVOK 11/08 Q1018 NOSIG,M
EDDF,2023-01-01 19:50,51.80,46.40,81.74,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 011950Z AUTO VRB01KT CAVOK 11/08 Q1017 NOSIG,M
EDDF,2023-01-01 20:50,50.00,46.40,87.37,180.00,3.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EDDF 012050Z AUTO 18003KT 150V220 CAVOK 10/08 Q1017 NOSIG,M
EDDF,2023-01-01 21:50,50.00,46.40,87.37,M,2.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EDDF 012150Z AUTO VRB02KT CAVOK 10/08 Q1017 NOSIG,M
EDDF,2023-01-01 22:50,48.20,44.60,87.28,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,EDDF 012250Z AUTO VRB01KT CAVOK 09/07 Q1017 NOSIG,M
EDDF,2023-01-01 23:50,48.20,44.60,87.28,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,EDDF 012350Z AUTO VRB01KT CAVOK 09/07 Q1017 NOSIG,M
EDDF,2023-01-02 00:50,48.20,44.60,87.28,M,1.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,EDDF 020050Z AUTO VRB01KT CAVOK 09/07 Q1016 NOSIG,M
EDDF,2023-01-02 01:50,48.20,44.60,87.28,50.00,1.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,EDDF 020150Z AUTO 05001KT CAVOK 09/07 Q1016 NOSIG,M
EDDF,2023-01-02 02:50,46.40,44.60,93.40,M,1.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.40,EDDF 020250Z AUTO VRB01KT CAVOK 08/07 Q1016 NOSIG,M
EDDF,2023-01-02 03:50,46.40,44.60,93.40,M,1.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.40,EDDF 020350Z AUTO VRB01KT CAVOK 08/07 Q1016 NOSIG,M
EDDF,2023-01-02 04:50,50.00,44.60,81.61,M,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EDDF 020450Z AUTO VRB02KT CAVOK 10/07 Q1016 BECMG 19005KT,M
EDDF,2023-01-02 05:50,50.00,42.80,76.18,190.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EDDF 020550Z AUTO 19005KT CAVOK 10/06 Q1016 NOSIG,M
EDDF,2023-01-02 06:50,50.00,42.80,76.18,M,1.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EDDF 020650Z AUTO VRB01KT CAVOK 10/06 Q1017 NOSIG,M
EDDF,2023-01-02 07:50,51.80,42.80,71.26,170.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EDDF 020750Z AUTO 17008KT CAVOK 11/06 Q1017 NOSIG,M
EDDF,2023-01-02 08:50,55.40,41.00,58.27,200.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EDDF 020850Z AUTO 20008KT CAVOK 13/05 Q1017 NOSIG,M
EDDF,2023-01-02 09:50,55.40,41.00,58.27,200.00,9.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EDDF 020950Z AUTO 20009KT CAVOK 13/05 Q1018 TEMPO RA,M
EDDF,2023-01-02 10:50,57.20,42.80,58.52,220.00,11.00,0.00,30.06,M,6.21,M,FEW,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,57.20,EDDF 021050Z AUTO 22011KT 9999 FEW041 14/06 Q1018 TEMPO RA,M
EDDF,2023-01-02 11:50,55.40,46.40,71.64,230.00,13.00,0.00,30.09,M,6.21,M,SCT,OVC,M,M,4000.00,4800.00,M,M,M,M,M,M,M,M,M,55.40,EDDF 021150Z AUTO 23013KT 9999 SCT040 OVC048 13/08 Q1019 TEMPO RA,M
EDDF,2023-01-02 12:50,55.40,48.20,76.66,220.00,14.00,0.00,30.09,M,6.21,M,SCT,BKN,M,M,2600.00,3800.00,M,M,-RADZ,M,M,M,M,M,M,55.40,EDDF 021250Z AUTO 22014KT 9999 -RADZ SCT026 BKN038 13/09 Q1019 TEMPO RA,M
EDDF,2023-01-02 13:50,55.40,48.20,76.66,200.00,9.00,0.00,30.09,M,6.21,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,55.40,EDDF 021350Z AUTO 20009KT 9999 SCT025 13/09 Q1019 NOSIG,M
EDDF,2023-01-02 14:50,53.60,50.00,87.56,210.00,10.00,0.00,30.12,M,3.73,M,FEW,OVC,FEW,M,700.00,3400.00,M,M,-SHRA,M,M,M,M,M,M,53.60,EDDF 021450Z AUTO 21010KT 6000 -SHRA FEW007 OVC034 FEW///TCU 12/10 Q1020 TEMPO 4500 SHRA,M
EDDF,2023-01-02 15:50,51.80,50.00,93.55,240.00,11.00,0.00,30.15,M,6.21,M,FEW,BKN,FEW,M,900.00,3600.00,M,M,SHRA,M,M,M,M,M,M,51.80,EDDF 021550Z AUTO 24011KT 9999 SHRA FEW009 BKN036 FEW///TCU 11/10 Q1021 TEMPO 4000 SHRA,M
EDDF,2023-01-02 16:50,50.00,48.20,93.50,200.00,7.00,0.00,30.15,M,6.21,M,FEW,M,M,M,M,M,M,M,-SHRA,M,M,M,M,M,M,50.00,EDDF 021650Z AUTO 20007KT 9999 -SHRA FEW///TCU 10/09 Q1021 RESHRA NOSIG,M
EDDF,2023-01-02 17:50,50.00,46.40,87.37,240.00,10.00,0.00,30.21,M,6.21,M,SCT,BKN,M,M,2900.00,3600.00,M,M,M,M,M,M,M,M,M,50.00,EDDF 021750Z AUTO 24010KT 9999 SCT029 BKN036 10/08 Q1023 NOSIG,M
EDDF,2023-01-02 18:50,48.20,44.60,87.28,230.00,10.00,0.00,30.24,M,6.21,M,FEW,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,43.28,EDDF 021850Z AUTO 23010KT 9999 FEW049 09/07 Q1024 NOSIG,M
EDDF,2023-01-02 19:50,48.20,44.60,87.28,220.00,9.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.66,EDDF 021950Z AUTO 22009KT CAVOK 09/07 Q1024 NOSIG,M
EDDF,2023-01-02 20:50,46.40,42.80,87.19,210.00,6.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,2800.00,4500.00,M,M,M,M,M,M,M,M,M,42.87,EDDF 022050Z AUTO 21006KT 9999 FEW028 SCT045 08/06 Q1025 NOSIG,M
EDDF,2023-01-02 21:50,44.60,42.80,93.35,200.00,8.00,0.00,30.30,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.63,EDDF 022150Z AUTO 20008KT CAVOK 07/06 Q1026 NOSIG,M
EDDF,2023-01-02 22:50,44.60,42.80,93.35,200.00,7.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.14,EDDF 022250Z AUTO 20007KT CAVOK 07/06 Q1027 NOSIG,M
EDDF,2023-01-02 23:50,42.80,41.00,93.30,200.00,5.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.22,EDDF 022350Z AUTO 20005KT CAVOK 06/05 Q1027 NOSIG,M
EDDF,2023-01-03 00:50,42.80,41.00,93.30,200.00,4.00,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.03,EDDF 030050Z AUTO 20004KT CAVOK 06/05 Q1027 NOSIG,M
EDDF,2023-01-03 01:50,42.80,41.00,93.30,220.00,4.00,0.00,30.36,M,6.21,M,BKN,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,40.03,EDDF 030150Z AUTO 22004KT 9999 BKN048 06/05 Q1028 NOSIG,M
EDDF,2023-01-03 02:50,42.80,41.00,93.30,220.00,6.00,0.00,30.36,M,6.21,M,FEW,SCT,M,M,3500.00,4400.00,M,M,M,M,M,M,M,M,M,38.54,EDDF 030250Z AUTO 22006KT 9999 FEW035 SCT044 06/05 Q1028 NOSIG,M
EDDF,2023-01-03 03:50,39.20,39.20,100.00,230.00,2.00,0.00,30.36,M,1.80,M,FEW,M,M,M,2600.00,M,M,M,BCFG,M,M,M,M,M,M,39.20,EDDF 030350Z AUTO 23002KT 2900 0800 R25R/1500D R25C/P2000N R25L/P2000N R18/P2000N BCFG FEW026 04/04 Q1028 BECMG 9999,M
EDDF,2023-01-03 04:50,39.20,39.20,100.00,M,1.00,0.00,30.36,M,6.21,M,NSC,M,M,M,M,M,M,M,BCFG,M,M,M,M,M,M,39.20,COR EDDF 030450Z AUTO VRB01KT 9999 0600 R25R/P2000N R25C/P2000N R25L/P2000N R18/P2000N BCFG NSC 04/04 Q1028 NOSIG,M
EDDF,2023-01-03 05:50,37.40,37.40,100.00,130.00,3.00,0.00,30.39,M,2.61,M,NSC,M,M,M,M,M,M,M,BCFG,M,M,M,M,M,M,34.86,EDDF 030550Z AUTO 13003KT 4200 0650 R25R/P2000N R25C/P2000N R25L/P2000N R18/1200N BCFG NSC 03/03 Q1029 TEMPO 4000 BR,M
EDDF,2023-01-03 06:50,35.60,35.60,100.00,260.00,2.00,0.00,30.39,M,3.11,M,FEW,M,M,M,2100.00,M,M,M,BCFG,M,M,M,M,M,M,35.60,EDDF 030650Z AUTO 26002KT 5000 0550 R25R/P2000N R25C/P2000N R25L/P2000N R18/P2000N BCFG FEW021 02/02 Q1029 TEMPO 2000,M
EDDF,2023-01-03 07:50,35.60,33.80,93.08,M,1.00,0.00,30.42,M,3.73,M,NCD,M,M,M,M,M,M,M,BCFG,M,M,M,M,M,M,35.60,EDDF 030750Z AUTO VRB01KT 6000 0550 R25R/P2000N R25C/P2000N R25L/P2000N R18/1900N BCFG NCD 02/01 Q1030 TEMPO 4000,M
EDDF,2023-01-03 08:50,37.40,35.60,93.14,M,2.00,0.00,30.42,M,2.17,M,SCT,M,M,M,200.00,M,M,M,BCFG,M,M,M,M,M,M,37.40,EDDF 030850Z AUTO VRB02KT 3500 0600 R25R/0900D R25C/P2000N R25L/P2000N R18/1600U BCFG SCT002 03/02 Q1030 TEMPO 2500,M
EDDF,2023-01-03 09:50,42.80,41.00,93.30,M,1.00,0.00,30.42,M,4.35,M,FEW,M,M,M,200.00,M,M,M,BCFG,M,M,M,M,M,M,42.80,EDDF 030950Z AUTO VRB01KT 7000 0350 R25R/P2000N R25C/P2000N R25L/P2000N R18/1900U BCFG FEW002 06/05 Q1030 NOSIG,M
EDDF,2023-01-03 10:50,42.80,41.00,93.30,220.00,6.00,0.00,30.42,M,6.21,M,FEW,SCT,M,M,200.00,2200.00,M,M,M,M,M,M,M,M,M,38.54,COR EDDF 031050Z AUTO 22006KT 9999 FEW002 SCT022 06/05 Q1030 NOSIG,M
EDDF,2023-01-03 11:50,46.40,42.80,87.19,220.00,6.00,0.00,30.42,M,6.21,M,BKN,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,42.87,EDDF 031150Z AUTO 22006KT 9999 BKN020 08/06 Q1030 NOSIG,M
