station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ESKN,2022-01-01 00:50,35.60,33.80,93.08,330.00,10.00,0.00,29.71,M,2.80,M,OVC,M,M,M,400.00,M,M,M,-DZ,M,M,M,M,M,M,27.48,ESKN 010050Z 33010KT 310V020 4500 -DZ OVC004 02/01 Q1006,M
ESKN,2022-01-01 01:50,33.80,33.80,100.00,330.00,7.00,0.00,29.74,M,6.21,M,OVC,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,26.97,ESKN 010150Z 33007KT 9999 OVC005 01/01 Q1007,M
ESKN,2022-01-01 02:50,33.80,32.00,93.03,320.00,9.00,0.00,29.80,M,6.21,M,BKN,OVC,M,M,900.00,3200.00,M,M,M,M,M,M,M,M,M,25.75,ESKN 010250Z 32009KT 9999 BKN009 OVC032 01/00 Q1009,M
ESKN,2022-01-01 03:50,33.80,32.00,93.03,330.00,8.00,0.00,29.83,M,6.21,M,OVC,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,26.33,ESKN 010350Z 33008KT 310V010 9999 OVC007 01/M00 Q1010,M
ESKN,2022-01-01 04:50,33.80,32.00,93.03,340.00,8.00,0.00,29.85,M,6.21,M,BKN,OVC,M,M,700.00,900.00,M,M,M,M,M,M,M,M,M,26.33,ESKN 010450Z 34008KT 320V020 9999 BKN007 OVC009 01/M00 Q1011,M
ESKN,2022-01-01 05:50,32.00,30.20,92.97,350.00,8.00,0.00,29.91,M,6.21,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,24.11,ESKN 010550Z 35008KT 320V030 9999 BKN011 00/M01 Q1013,M
ESKN,2022-01-01 06:50,32.00,26.60,80.22,340.00,8.00,0.00,29.97,M,6.21,M,BKN,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,24.11,ESKN 010650Z 34008KT 310V020 9999 BKN014 M00/M03 Q1015,M
ESKN,2022-01-01 07:50,30.20,26.60,86.28,330.00,8.00,0.00,30.00,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,21.90,ESKN 010750Z 33008KT 300V360 9999 BKN013 M01/M03 Q1016,M
ESKN,2022-01-01 08:50,30.20,26.60,86.28,330.00,9.00,0.00,30.03,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,21.28,ESKN 010850Z 33009KT 300V010 9999 BKN013 M01/M03 Q1017,M
ESKN,2022-01-01 09:50,30.20,24.80,80.07,30.00,8.00,0.00,30.09,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,21.90,ESKN 010950Z 03008KT 360V070 9999 BKN013 M01/M04 Q1019,M
ESKN,2022-01-01 10:50,30.20,24.80,80.07,10.00,4.00,0.00,30.12,M,6.21,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,25.32,ESKN 011050Z 01004KT 330V050 9999 BKN015 M01/M04 Q1020,M
ESKN,2022-01-01 11:50,30.20,24.80,80.07,40.00,6.00,0.00,30.12,M,6.21,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,23.36,ESKN 011150Z 04006KT 340V070 9999 BKN015 M01/M04 Q1020,M
ESKN,2022-01-01 12:50,30.20,24.80,80.07,60.00,6.00,0.00,30.15,M,6.21,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,23.36,ESKN 011250Z 06006KT 9999 BKN015 M01/M04 Q1021,M
