station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LEMD,2022-01-01 00:00,37.40,37.40,100.00,M,2.00,0.00,30.39,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,LEMD 010000Z VRB02KT 9999 3600SE NSC 03/03 Q1029 NOSIG,M
LEMD,2022-01-01 01:00,37.40,35.60,93.14,330.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,LEMD 010100Z 33002KT CAVOK 03/02 Q1030 NOSIG,M
LEMD,2022-01-01 02:00,37.40,35.60,93.14,340.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,34.86,LEMD 010200Z 34003KT CAVOK 03/02 Q1029 NOSIG,M
LEMD,2022-01-01 03:00,33.80,33.80,100.00,M,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.80,LEMD 010300Z VRB01KT CAVOK 01/01 Q1030 NOSIG,M
LEMD,2022-01-01 04:00,33.80,32.00,93.03,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.80,LEMD 010400Z VRB02KT CAVOK 01/00 Q1029 NOSIG,M
LEMD,2022-01-01 05:00,33.80,33.80,100.00,330.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.75,LEMD 010500Z 33003KT CAVOK 01/01 Q1029 NOSIG,M
LEMD,2022-01-01 06:00,32.00,30.20,92.97,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.00,LEMD 010600Z VRB02KT CAVOK M00/M01 Q1029 NOSIG,M
LEMD,2022-01-01 07:00,32.00,32.00,100.00,350.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.69,LEMD 010700Z 35003KT CAVOK 00/M00 Q1030 NOSIG,M
LEMD,2022-01-01 08:00,32.00,32.00,100.00,10.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.00,LEMD 010800Z 01002KT CAVOK 00/M00 Q1030 NOSIG,M
LEMD,2022-01-01 09:00,37.40,33.80,86.69,310.00,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,LEMD 010900Z 31001KT CAVOK 03/01 Q1030 NOSIG,M
LEMD,2022-01-01 10:00,42.80,35.60,75.50,330.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.03,LEMD 011000Z 33003KT 300V360 CAVOK 06/02 Q1030 NOSIG,M
LEMD,2022-01-01 11:00,48.20,37.40,66.05,360.00,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,LEMD 011100Z 36001KT CAVOK 09/03 Q1030 NOSIG,M
LEMD,2022-01-01 12:00,53.60,42.80,66.70,M,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LEMD 011200Z VRB01KT CAVOK 12/06 Q1030 NOSIG,M
LEMD,2022-01-01 13:00,59.00,44.60,58.77,270.00,1.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LEMD 011300Z 27001KT CAVOK 15/07 Q1029 NOSIG,M
LEMD,2022-01-01 14:00,60.80,42.80,51.45,280.00,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LEMD 011400Z 28001KT CAVOK 16/06 Q1028 NOSIG,M
LEMD,2022-01-01 15:00,62.60,37.40,39.14,0.00,0.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LEMD 011500Z 00000KT CAVOK 17/03 Q1028 NOSIG,M
LEMD,2022-01-01 16:00,60.80,42.80,51.45,110.00,1.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LEMD 011600Z 11001KT CAVOK 16/06 Q1028 NOSIG,M
LEMD,2022-01-01 17:00,55.40,39.20,54.34,130.00,3.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LEMD 011700Z 13003KT CAVOK 13/04 Q1028 NOSIG,M
LEMD,2022-01-01 18:00,50.00,39.20,66.27,0.00,0.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LEMD 011800Z 00000KT CAVOK 10/04 Q1028 NOSIG,M
LEMD,2022-01-01 19:00,46.40,37.40,70.68,10.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.15,LEMD 011900Z 01003KT CAVOK 08/03 Q1029 NOSIG,M
LEMD,2022-01-01 20:00,44.60,37.40,75.68,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.60,LEMD 012000Z VRB02KT CAVOK 07/03 Q1029 NOSIG,M
LEMD,2022-01-01 21:00,42.80,37.40,81.07,340.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,40.03,LEMD 012100Z 34004KT 310V010 CAVOK 06/03 Q1029 NOSIG,M
LEMD,2022-01-01 22:00,42.80,35.60,75.50,10.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.03,LEMD 012200Z 01003KT 340V040 CAVOK 06/02 Q1029 NOSIG,M
LEMD,2022-01-01 23:00,39.20,35.60,86.79,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.20,LEMD 012300Z VRB02KT CAVOK 04/02 Q1029 NOSIG,M
