station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LIMC,2023-01-01 00:50,46.40,44.60,93.40,310.00,4.00,0.00,30.47,M,0.37,M,SCT,BKN,M,M,200.00,1500.00,M,M,DZ FG,M,M,M,M,M,M,44.24,LIMC 010050Z 31004KT 270V330 0600 R35R/P2000U R17L/1500U R35L/P2000N DZ FG SCT002 BKN015 08/07 Q1032 NOSIG,M
LIMC,2023-01-01 01:50,46.40,44.60,93.40,200.00,2.00,0.00,30.45,M,0.50,M,SCT,BKN,M,M,200.00,1000.00,M,M,DZ FG,M,M,M,M,M,M,46.40,LIMC 010150Z 20002KT 0800 R35R/1500D R17L/1900D R35L/1800D DZ FG SCT002 BKN010 08/07 Q1031 NOSIG,M
LIMC,2023-01-01 02:50,46.40,44.60,93.40,M,1.00,0.00,30.45,M,0.25,M,SCT,BKN,M,M,200.00,1000.00,M,M,DZ FG,M,M,M,M,M,M,46.40,LIMC 010250Z VRB01KT 0400 R35R/1400D R17L/P2000N R35L/1800U DZ FG SCT002 BKN010 08/07 Q1031 NOSIG,M
LIMC,2023-01-01 03:50,46.40,44.60,93.40,M,2.00,0.00,30.45,M,0.16,M,BKN,BKN,M,M,200.00,1200.00,M,M,-DZ FG,M,M,M,M,M,M,46.40,LIMC 010350Z VRB02KT 0250 R35R/1700N R17L/P2000U R35L/P2000N -DZ FG BKN002 BKN012 08/07 Q1031 REDZ NOSIG,M
LIMC,2023-01-01 04:50,46.40,44.60,93.40,M,1.00,0.00,30.45,M,0.16,M,BKN,BKN,M,M,200.00,800.00,M,M,-DZ FG,M,M,M,M,M,M,46.40,LIMC 010450Z VRB01KT 0250 R35R/1500U R17L/1900U R35L/P2000N -DZ FG BKN002 BKN008 08/07 Q1031 NOSIG,M
LIMC,2023-01-01 05:50,46.40,46.40,100.00,140.00,1.00,0.00,30.45,M,0.50,M,SCT,BKN,M,M,500.00,1500.00,M,M,-DZ FG,M,M,M,M,M,M,46.40,LIMC 010550Z 14001KT 0800 R35R/1800U R17L/1600U R35L/1900D -DZ FG SCT005 BKN015 08/08 Q1031 NOSIG,M
LIMC,2023-01-01 06:50,46.40,46.40,100.00,M,1.00,0.00,30.45,M,0.50,M,BKN,OVC,M,M,500.00,1000.00,M,M,-DZ FG,M,M,M,M,M,M,46.40,LIMC 010650Z VRB01KT 0800 R35R/1900D R17L/P2000N R35L/P2000N -DZ FG BKN005 OVC010 08/08 Q1031 NOSIG,M
LIMC,2023-01-01 07:50,46.40,46.40,100.00,M,1.00,0.00,30.45,M,0.62,M,BKN,OVC,M,M,500.00,1000.00,M,M,-DZ BR,M,M,M,M,M,M,46.40,LIMC 010750Z VRB01KT 1000 R35R/1500N R17L/1700U R35L/1900U -DZ BR BKN005 OVC010 08/08 Q1031 NOSIG,M
LIMC,2023-01-01 08:50,48.20,46.40,93.45,M,2.00,0.00,30.45,M,1.55,M,BKN,OVC,M,M,500.00,1000.00,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 010850Z VRB02KT 2500 -DZ BR BKN005 OVC010 09/08 Q1031 NOSIG,M
LIMC,2023-01-01 09:50,48.20,48.20,100.00,M,1.00,0.00,30.47,M,1.86,M,OVC,M,M,M,500.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 010950Z VRB01KT 3000 -DZ BR OVC005 09/09 Q1032 NOSIG,M
LIMC,2023-01-01 10:50,48.20,48.20,100.00,240.00,3.00,0.00,30.45,M,1.86,M,OVC,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,47.21,LIMC 011050Z 24003KT 210V280 3000 -DZ BR OVC002 09/09 Q1031 NOSIG,M
LIMC,2023-01-01 11:50,50.00,48.20,93.50,240.00,3.00,0.00,30.42,M,1.55,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,50.00,LIMC 011150Z 24003KT 210V270 2500 0800SW BR OVC002 10/09 Q1030 NOSIG,M
LIMC,2023-01-01 12:50,48.20,48.20,100.00,210.00,5.00,0.00,30.42,M,0.75,M,OVC,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,45.63,LIMC 011250Z 21005KT 1200 R35R/1900D R17L/P2000N R35L/1700D BR OVC001 09/09 Q1030 NOSIG,M
LIMC,2023-01-01 13:50,48.20,48.20,100.00,220.00,5.00,0.00,30.42,M,0.75,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,45.63,LIMC 011350Z 22005KT 1200 R35R/P2000N R17L/P2000N R35L/1800D DZ BR OVC002 09/09 Q1030 NOSIG,M
LIMC,2023-01-01 14:50,48.20,48.20,100.00,230.00,5.00,0.00,30.42,M,0.75,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,45.63,LIMC 011450Z 23005KT 1200 R35R/P2000N R17L/P2000N R35L/1600U DZ BR OVC002 09/09 Q1030 NOSIG,M
LIMC,2023-01-01 15:50,48.20,46.40,93.45,230.00,4.00,0.00,30.42,M,0.68,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,46.34,LIMC 011550Z 23004KT 1100 R35R/P2000N R17L/P2000N R35L/P2000N DZ BR OVC002 09/08 Q1030 NOSIG,M
LIMC,2023-01-01 16:50,48.20,46.40,93.45,M,2.00,0.00,30.42,M,1.12,M,OVC,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 011650Z VRB02KT 1800 -DZ BR OVC002 09/08 Q1030 NOSIG,M
LIMC,2023-01-01 17:50,48.20,46.40,93.45,220.00,2.00,0.00,30.42,M,0.75,M,OVC,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 011750Z 22002KT 1200 R35R/P2000N R17L/P2000N R35L/P2000N -DZ BR OVC002 09/08 Q1030 NOSIG,M
LIMC,2023-01-01 18:50,48.20,46.40,93.45,240.00,3.00,0.00,30.42,M,0.75,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,47.21,LIMC 011850Z 24003KT 220V290 1200 R35R/P2000N R17L/P2000N R35L/P2000N DZ BR OVC002 09/08 Q1030 NOSIG,M
LIMC,2023-01-01 19:50,48.20,46.40,93.45,230.00,3.00,0.00,30.42,M,0.75,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,47.21,LIMC 011950Z 23003KT 1200 R35R/P2000N R17L/P2000N R35L/P2000N DZ BR OVC002 09/08 Q1030 NOSIG,M
LIMC,2023-01-01 20:50,48.20,46.40,93.45,240.00,3.00,0.00,30.45,M,1.24,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,47.21,LIMC 012050Z 24003KT 210V270 2000 -DZ BR BKN002 09/08 Q1031 NOSIG,M
LIMC,2023-01-01 21:50,48.20,46.40,93.45,M,2.00,0.00,30.45,M,1.24,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 012150Z VRB02KT 2000 -DZ BR BKN002 09/08 Q1031 NOSIG,M
LIMC,2023-01-01 22:50,48.20,46.40,93.45,M,2.00,0.00,30.45,M,0.93,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 012250Z VRB02KT 1500 -DZ BR BKN002 09/08 Q1031 NOSIG,M
LIMC,2023-01-01 23:50,48.20,46.40,93.45,30.00,2.00,0.00,30.42,M,0.93,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 012350Z 03002KT 1500 -DZ BR BKN002 09/08 Q1030 NOSIG,M
LIMC,2023-01-02 00:50,48.20,46.40,93.45,210.00,3.00,0.00,30.42,M,0.93,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,47.21,LIMC 020050Z 21003KT 1500 -DZ BR BKN002 09/08 Q1030 NOSIG,M
LIMC,2023-01-02 01:50,48.20,46.40,93.45,M,2.00,0.00,30.42,M,0.93,M,BKN,M,M,M,200.00,M,M,M,-DZ BR,M,M,M,M,M,M,48.20,LIMC 020150Z VRB02KT 1500 -DZ BR BKN002 09/08 Q1030 NOSIG,M
LIMC,2023-01-02 02:50,48.20,48.20,100.00,M,1.00,0.00,30.39,M,0.93,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,48.20,LIMC 020250Z VRB01KT 1500 R35R/0800D R17L/P2000N R35L/P2000N BR OVC002 09/09 Q1029 NOSIG,M
LIMC,2023-01-02 03:50,48.20,48.20,100.00,M,1.00,0.00,30.39,M,1.24,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,48.20,LIMC 020350Z VRB01KT 2000 BR OVC002 09/09 Q1029 NOSIG,M
LIMC,2023-01-02 04:50,48.20,46.40,93.45,230.00,4.00,0.00,30.39,M,0.25,M,OVC,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,46.34,LIMC 020450Z 23004KT 210V270 0400 R35R/0750N R17L/1000D R35L/0750D FG OVC002 09/08 Q1029 NOSIG,M
LIMC,2023-01-02 05:50,48.20,46.40,93.45,M,2.00,0.00,30.39,M,0.19,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,48.20,LIMC 020550Z VRB02KT 0300 R35R/1100U R17L/1100N R35L/1000U FG OVC001 09/08 Q1029 NOSIG,M
LIMC,2023-01-02 06:50,48.20,48.20,100.00,M,1.00,0.00,30.42,M,0.19,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,48.20,LIMC 020650Z VRB01KT 0300 R35R/0900N R17L/0700D R35L/1100N FG VV001 09/09 Q1030 NOSIG,M
LIMC,2023-01-02 07:50,48.20,48.20,100.00,140.00,1.00,0.00,30.42,M,0.19,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,48.20,LIMC 020750Z 14001KT 0300 R35R/0650D R17L/0650N R35L/0700D FG VV001 09/09 Q1030 NOSIG,M
LIMC,2023-01-02 08:50,48.20,48.20,100.00,M,2.00,0.00,30.42,M,0.25,M,VV ,M,M,M,100.00,M,M,M,-DZ FG,M,M,M,M,M,M,48.20,LIMC 020850Z VRB02KT 0400 R35R/1000U R17L/1600U R35L/1200N -DZ FG VV001 09/09 Q1030 NOSIG,M
LIMC,2023-01-02 09:50,48.20,48.20,100.00,M,2.00,0.00,30.45,M,0.93,M,OVC,M,M,M,200.00,M,M,M,-RA BR,M,M,M,M,M,M,48.20,LIMC 020950Z VRB02KT 1500 -RA BR OVC002 09/09 Q1031 NOSIG,M
