station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LYVR,2023-01-01 00:00,55.40,41.00,58.27,170.00,9.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LYVR 010000Z AUTO 17009KT CAVOK 13/05 Q1030,M
LYVR,2023-01-01 01:00,55.40,41.00,58.27,160.00,13.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LYVR 010100Z AUTO 16013KT CAVOK 13/05 Q1030,M
LYVR,2023-01-01 02:00,55.40,41.00,58.27,160.00,14.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LYVR 010200Z AUTO 16014KT CAVOK 13/05 Q1030,M
LYVR,2023-01-01 03:00,55.40,41.00,58.27,170.00,11.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LYVR 010300Z AUTO 17011KT CAVOK 13/05 Q1030,M
LYVR,2023-01-01 04:00,53.60,41.00,62.23,150.00,8.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LYVR 010400Z AUTO 15008KT 120V180 CAVOK 12/05 Q1030,M
LYVR,2023-01-01 05:00,53.60,39.20,58.02,150.00,7.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LYVR 010500Z AUTO 15007KT 120V180 CAVOK 12/04 Q1030,M
LYVR,2023-01-01 06:00,53.60,39.20,58.02,150.00,4.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LYVR 010600Z AUTO 15004KT 090V250 CAVOK 12/04 Q1030,M
LYVR,2023-01-01 07:00,53.60,41.00,62.23,170.00,7.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LYVR 010700Z AUTO 17007KT 140V200 CAVOK 12/05 Q1031,M
LYVR,2023-01-01 08:00,55.40,41.00,58.27,180.00,7.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LYVR 010800Z AUTO 18007KT 150V220 CAVOK 13/05 Q1031,M
LYVR,2023-01-01 09:00,57.20,41.00,54.60,170.00,11.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LYVR 010900Z AUTO 17011KT 140V200 CAVOK 14/05 Q1031,M
LYVR,2023-01-01 10:00,57.20,41.00,54.60,170.00,12.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LYVR 011000Z AUTO 17012KT 140V210 CAVOK 14/05 Q1030,M
LYVR,2023-01-01 11:00,59.00,42.80,54.86,180.00,11.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LYVR 011100Z AUTO 18011KT CAVOK 15/06 Q1030,M
LYVR,2023-01-01 12:00,60.80,42.80,51.45,180.00,7.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LYVR 011200Z AUTO 18007KT 150V210 CAVOK 16/06 Q1029,M
LYVR,2023-01-01 13:00,62.60,41.00,45.04,160.00,6.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LYVR 011300Z AUTO 16006KT 120V190 CAVOK 17/05 Q1029,M
LYVR,2023-01-01 14:00,62.60,41.00,45.04,180.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LYVR 011400Z AUTO 18005KT 150V210 CAVOK 17/05 Q1029,M
LYVR,2023-01-01 15:00,57.20,41.00,54.60,M,1.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LYVR 011500Z AUTO VRB01KT CAVOK 14/05 Q1029,M
LYVR,2023-01-01 16:00,50.00,44.60,81.61,60.00,8.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 011600Z AUTO 06008KT CAVOK 10/07 Q1029,M
LYVR,2023-01-01 17:00,51.80,48.20,87.47,50.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LYVR 011700Z AUTO 05003KT 010V110 CAVOK 11/09 Q1029,M
LYVR,2023-01-01 18:00,46.40,46.40,100.00,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.40,LYVR 011800Z AUTO VRB02KT CAVOK 08/08 Q1029,M
LYVR,2023-01-01 19:00,42.80,42.80,100.00,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,LYVR 011900Z AUTO VRB02KT CAVOK 06/06 Q1029,M
LYVR,2023-01-01 20:00,37.40,37.40,100.00,M,1.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,LYVR 012000Z AUTO VRB01KT CAVOK 03/03 Q1029,M
LYVR,2023-01-01 21:00,39.20,39.20,100.00,M,1.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,39.20,LYVR 012100Z AUTO VRB01KT CAVOK 04/04 Q1029,M
LYVR,2023-01-01 22:00,37.40,37.40,100.00,0.00,0.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.40,LYVR 012200Z AUTO 00000KT CAVOK 03/03 Q1029,M
LYVR,2023-01-01 23:00,35.60,35.60,100.00,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,35.60,LYVR 012300Z AUTO VRB02KT CAVOK 02/02 Q1029,M
LYVR,2023-01-02 00:00,50.00,48.20,93.50,180.00,8.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 020000Z AUTO 18008KT 160V230 CAVOK 10/09 Q1028,M
LYVR,2023-01-02 01:00,51.80,46.40,81.74,190.00,6.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LYVR 020100Z AUTO 19006KT 160V230 CAVOK 11/08 Q1028,M
LYVR,2023-01-02 02:00,50.00,46.40,87.37,180.00,7.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 020200Z AUTO 18007KT CAVOK 10/08 Q1028,M
LYVR,2023-01-02 03:00,51.80,46.40,81.74,170.00,10.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LYVR 020300Z AUTO 17010KT CAVOK 11/08 Q1028,M
LYVR,2023-01-02 04:00,50.00,44.60,81.61,180.00,10.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 020400Z AUTO 18010KT CAVOK 10/07 Q1028,M
LYVR,2023-01-02 05:00,50.00,44.60,81.61,170.00,10.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 020500Z AUTO 17010KT CAVOK 10/07 Q1028,M
LYVR,2023-01-02 06:00,50.00,42.80,76.18,170.00,10.00,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LYVR 020600Z AUTO 17010KT 140V200 CAVOK 10/06 Q1028,M
LYVR,2023-01-02 07:00,51.80,42.80,71.26,160.00,11.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LYVR 020700Z AUTO 16011KT 140V200 CAVOK 11/06 Q1029,M
