,CZ,DE,HU,IT,SI,sum
2021-01-01 00:00:00+00:00,0.0,1143.0,0.0,153.0,0.0,1296.0
2021-01-01 00:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 00:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 00:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 01:00:00+00:00,0.0,1266.0,0.0,157.0,0.0,1423.0
2021-01-01 01:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 01:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 01:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 02:00:00+00:00,0.0,1304.0,0.0,161.0,0.0,1465.0
2021-01-01 02:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 02:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 02:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 03:00:00+00:00,0.0,1211.0,0.0,148.0,0.0,1359.0
2021-01-01 03:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 03:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 03:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 04:00:00+00:00,0.0,1157.0,0.0,168.0,0.0,1325.0
2021-01-01 04:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 04:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 04:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 05:00:00+00:00,0.0,1104.0,0.0,186.0,0.0,1290.0
2021-01-01 05:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 05:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 05:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 06:00:00+00:00,0.0,1254.0,0.0,211.0,0.0,1465.0
2021-01-01 06:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 06:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 06:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 07:00:00+00:00,0.0,1457.0,0.0,220.0,0.0,1677.0
2021-01-01 07:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 07:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 07:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 08:00:00+00:00,0.0,1393.0,0.0,226.0,0.0,1619.0
2021-01-01 08:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 08:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 08:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 09:00:00+00:00,0.0,1429.0,0.0,226.0,0.0,1655.0
2021-01-01 09:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 09:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 09:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 10:00:00+00:00,0.0,1380.0,0.0,218.0,0.0,1598.0
2021-01-01 10:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 10:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 10:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 11:00:00+00:00,0.0,1366.0,0.0,205.0,0.0,1571.0
2021-01-01 11:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 11:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 11:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 12:00:00+00:00,0.0,1406.0,0.0,211.0,0.0,1617.0
2021-01-01 12:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 12:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 12:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 13:00:00+00:00,0.0,1284.0,0.0,217.0,0.0,1501.0
2021-01-01 13:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 13:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 13:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 14:00:00+00:00,0.0,1226.0,0.0,208.0,0.0,1434.0
2021-01-01 14:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 14:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 14:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 15:00:00+00:00,0.0,997.0,0.0,211.0,0.0,1208.0
2021-01-01 15:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 15:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 15:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 16:00:00+00:00,0.0,1352.0,0.0,204.0,0.0,1556.0
2021-01-01 16:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 16:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 16:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 17:00:00+00:00,0.0,1513.0,0.0,214.0,0.0,1727.0
2021-01-01 17:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 17:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 17:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 18:00:00+00:00,0.0,1482.0,0.0,209.0,0.0,1691.0
2021-01-01 18:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 18:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 18:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 19:00:00+00:00,0.0,1314.0,0.0,221.0,0.0,1535.0
2021-01-01 19:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 19:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 19:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 20:00:00+00:00,0.0,1419.0,0.0,216.0,0.0,1635.0
2021-01-01 20:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 20:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 20:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 21:00:00+00:00,0.0,1244.0,0.0,195.0,0.0,1439.0
2021-01-01 21:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 21:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 21:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 22:00:00+00:00,0.0,1561.0,0.0,219.0,0.0,1780.0
2021-01-01 22:15:00+00:00,,,0.0,,0.0,0.0
2021-01-01 22:30:00+00:00,,,0.0,,0.0,0.0
2021-01-01 22:45:00+00:00,,,0.0,,0.0,0.0
2021-01-01 23:00:00+00:00,0.0,1995.0,0.0,197.0,,2192.0
2021-01-01 23:15:00+00:00,,,0.0,,,0.0
2021-01-01 23:30:00+00:00,,,0.0,,,0.0
2021-01-01 23:45:00+00:00,,,0.0,,,0.0
2021-01-02 00:00:00+00:00,0.0,2211.0,0.0,192.0,,2403.0
2021-01-02 00:15:00+00:00,,,0.0,,,0.0
2021-01-02 00:30:00+00:00,,,0.0,,,0.0
2021-01-02 00:45:00+00:00,,,0.0,,,0.0
2021-01-02 01:00:00+00:00,0.0,1852.0,0.0,217.0,,2069.0
2021-01-02 01:15:00+00:00,,,0.0,,,0.0
2021-01-02 01:30:00+00:00,,,0.0,,,0.0
2021-01-02 01:45:00+00:00,,,0.0,,,0.0
2021-01-02 02:00:00+00:00,0.0,1465.0,0.0,198.0,,1663.0
2021-01-02 02:15:00+00:00,,,0.0,,,0.0
2021-01-02 02:30:00+00:00,,,0.0,,,0.0
2021-01-02 02:45:00+00:00,,,0.0,,,0.0
2021-01-02 03:00:00+00:00,0.0,1310.0,0.0,205.0,,1515.0
2021-01-02 03:15:00+00:00,,,0.0,,,0.0
2021-01-02 03:30:00+00:00,,,0.0,,,0.0
2021-01-02 03:45:00+00:00,,,0.0,,,0.0
2021-01-02 04:00:00+00:00,0.0,1165.0,0.0,210.0,,1375.0
2021-01-02 04:15:00+00:00,,,0.0,,,0.0
2021-01-02 04:30:00+00:00,,,0.0,,,0.0
2021-01-02 04:45:00+00:00,,,0.0,,,0.0
2021-01-02 05:00:00+00:00,0.0,1501.0,0.0,207.0,,1708.0
2021-01-02 05:15:00+00:00,,,0.0,,,0.0
2021-01-02 05:30:00+00:00,,,0.0,,,0.0
2021-01-02 05:45:00+00:00,,,0.0,,,0.0
2021-01-02 06:00:00+00:00,0.0,1760.0,0.0,203.0,,1963.0
2021-01-02 06:15:00+00:00,,,0.0,,,0.0
2021-01-02 06:30:00+00:00,,,0.0,,,0.0
2021-01-02 06:45:00+00:00,,,0.0,,,0.0
2021-01-02 07:00:00+00:00,0.0,1884.0,0.0,216.0,,2100.0
2021-01-02 07:15:00+00:00,,,0.0,,,0.0
2021-01-02 07:30:00+00:00,,,0.0,,,0.0
2021-01-02 07:45:00+00:00,,,0.0,,,0.0
2021-01-02 08:00:00+00:00,0.0,1651.0,0.0,207.0,,1858.0
2021-01-02 08:15:00+00:00,,,0.0,,,0.0
2021-01-02 08:30:00+00:00,,,0.0,,,0.0
2021-01-02 08:45:00+00:00,,,0.0,,,0.0
2021-01-02 09:00:00+00:00,0.0,1573.0,0.0,208.0,,1781.0
2021-01-02 09:15:00+00:00,,,0.0,,,0.0
2021-01-02 09:30:00+00:00,,,0.0,,,0.0
2021-01-02 09:45:00+00:00,,,0.0,,,0.0
2021-01-02 10:00:00+00:00,0.0,1576.0,0.0,198.0,,1774.0
2021-01-02 10:15:00+00:00,,,0.0,,,0.0
2021-01-02 10:30:00+00:00,,,0.0,,,0.0
2021-01-02 10:45:00+00:00,,,0.0,,,0.0
2021-01-02 11:00:00+00:00,0.0,1672.0,0.0,211.0,,1883.0
2021-01-02 11:15:00+00:00,,,0.0,,,0.0
2021-01-02 11:30:00+00:00,,,0.0,,,0.0
2021-01-02 11:45:00+00:00,,,0.0,,,0.0
2021-01-02 12:00:00+00:00,0.0,1640.0,0.0,203.0,,1843.0
2021-01-02 12:15:00+00:00,,,0.0,,,0.0
2021-01-02 12:30:00+00:00,,,0.0,,,0.0
2021-01-02 12:45:00+00:00,,,0.0,,,0.0
2021-01-02 13:00:00+00:00,0.0,1450.0,0.0,228.0,,1678.0
2021-01-02 13:15:00+00:00,,,0.0,,,0.0
2021-01-02 13:30:00+00:00,,,0.0,,,0.0
2021-01-02 13:45:00+00:00,,,0.0,,,0.0
2021-01-02 14:00:00+00:00,0.0,1636.0,0.0,220.0,,1856.0
2021-01-02 14:15:00+00:00,,,0.0,,,0.0
2021-01-02 14:30:00+00:00,,,0.0,,,0.0
2021-01-02 14:45:00+00:00,,,0.0,,,0.0
2021-01-02 15:00:00+00:00,0.0,1529.0,0.0,215.0,,1744.0
2021-01-02 15:15:00+00:00,,,0.0,,,0.0
2021-01-02 15:30:00+00:00,,,0.0,,,0.0
2021-01-02 15:45:00+00:00,,,0.0,,,0.0
2021-01-02 16:00:00+00:00,0.0,1650.0,0.0,227.0,,1877.0
2021-01-02 16:15:00+00:00,,,0.0,,,0.0
2021-01-02 16:30:00+00:00,,,0.0,,,0.0
2021-01-02 16:45:00+00:00,,,0.0,,,0.0
2021-01-02 17:00:00+00:00,0.0,1809.0,1.0,215.0,,2025.0
2021-01-02 17:15:00+00:00,,,0.0,,,0.0
2021-01-02 17:30:00+00:00,,,0.0,,,0.0
2021-01-02 17:45:00+00:00,,,0.0,,,0.0
2021-01-02 18:00:00+00:00,0.0,2005.0,0.0,218.0,,2223.0
2021-01-02 18:15:00+00:00,,,0.0,,,0.0
2021-01-02 18:30:00+00:00,,,0.0,,,0.0
2021-01-02 18:45:00+00:00,,,0.0,,,0.0
2021-01-02 19:00:00+00:00,0.0,1649.0,0.0,205.0,,1854.0
2021-01-02 19:15:00+00:00,,,0.0,,,0.0
2021-01-02 19:30:00+00:00,,,0.0,,,0.0
2021-01-02 19:45:00+00:00,,,0.0,,,0.0
2021-01-02 20:00:00+00:00,0.0,1754.0,0.0,222.0,,1976.0
2021-01-02 20:15:00+00:00,,,0.0,,,0.0
2021-01-02 20:30:00+00:00,,,0.0,,,0.0
2021-01-02 20:45:00+00:00,,,0.0,,,0.0
2021-01-02 21:00:00+00:00,0.0,1910.0,0.0,213.0,,2123.0
2021-01-02 21:15:00+00:00,,,0.0,,,0.0
2021-01-02 21:30:00+00:00,,,0.0,,,0.0
2021-01-02 21:45:00+00:00,,,0.0,,,0.0
2021-01-02 22:00:00+00:00,0.0,2298.0,0.0,219.0,,2517.0
2021-01-02 22:15:00+00:00,,,0.0,,,0.0
2021-01-02 22:30:00+00:00,,,0.0,,,0.0
2021-01-02 22:45:00+00:00,,,0.0,,,0.0
2021-01-02 23:00:00+00:00,0.0,2517.0,0.0,229.0,0.0,2746.0
2021-01-02 23:15:00+00:00,,,0.0,,0.0,0.0
2021-01-02 23:30:00+00:00,,,0.0,,0.0,0.0
2021-01-02 23:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 00:00:00+00:00,0.0,2329.0,0.0,219.0,0.0,2548.0
2021-01-03 00:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 00:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 00:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 01:00:00+00:00,0.0,2045.0,0.0,226.0,0.0,2271.0
2021-01-03 01:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 01:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 01:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 02:00:00+00:00,0.0,1478.0,0.0,232.0,0.0,1710.0
2021-01-03 02:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 02:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 02:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 03:00:00+00:00,0.0,1346.0,0.0,205.0,0.0,1551.0
2021-01-03 03:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 03:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 03:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 04:00:00+00:00,0.0,1515.0,0.0,141.0,0.0,1656.0
2021-01-03 04:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 04:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 04:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 05:00:00+00:00,0.0,1835.0,0.0,155.0,0.0,1990.0
2021-01-03 05:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 05:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 05:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 06:00:00+00:00,0.0,1403.0,0.0,187.0,0.0,1590.0
2021-01-03 06:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 06:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 06:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 07:00:00+00:00,0.0,1234.0,0.0,193.0,0.0,1427.0
2021-01-03 07:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 07:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 07:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 08:00:00+00:00,0.0,1320.0,0.0,159.0,0.0,1479.0
2021-01-03 08:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 08:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 08:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 09:00:00+00:00,0.0,1128.0,0.0,144.0,0.0,1272.0
2021-01-03 09:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 09:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 09:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 10:00:00+00:00,0.0,1155.0,0.0,149.0,0.0,1304.0
2021-01-03 10:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 10:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 10:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 11:00:00+00:00,0.0,1150.0,0.0,143.0,0.0,1293.0
2021-01-03 11:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 11:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 11:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 12:00:00+00:00,0.0,1197.0,0.0,153.0,0.0,1350.0
2021-01-03 12:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 12:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 12:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 13:00:00+00:00,0.0,908.0,0.0,149.0,0.0,1057.0
2021-01-03 13:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 13:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 13:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 14:00:00+00:00,0.0,1095.0,0.0,145.0,0.0,1240.0
2021-01-03 14:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 14:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 14:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 15:00:00+00:00,0.0,454.0,12.0,146.0,0.0,612.0
2021-01-03 15:15:00+00:00,,,90.0,,0.0,90.0
2021-01-03 15:30:00+00:00,,,132.0,,0.0,132.0
2021-01-03 15:45:00+00:00,,,107.0,,0.0,107.0
2021-01-03 16:00:00+00:00,0.0,796.0,75.0,148.0,0.0,1019.0
2021-01-03 16:15:00+00:00,,,1.0,,0.0,1.0
2021-01-03 16:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 16:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 17:00:00+00:00,0.0,893.0,0.0,146.0,0.0,1039.0
2021-01-03 17:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 17:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 17:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 18:00:00+00:00,0.0,946.0,0.0,144.0,0.0,1090.0
2021-01-03 18:15:00+00:00,,,0.0,,0.0,0.0
2021-01-03 18:30:00+00:00,,,0.0,,0.0,0.0
2021-01-03 18:45:00+00:00,,,0.0,,0.0,0.0
2021-01-03 19:00:00+00:00,0.0,966.0,0.0,140.0,0.0,1106.0
2021-01-03 19:15:00+00:00,,,3.0,,0.0,3.0
2021-01-03 19:30:00+00:00,,,2.0,,0.0,2.0
2021-01-03 19:45:00+00:00,,,1.0,,0.0,1.0
2021-01-03 20:00:00+00:00,0.0,1039.0,0.0,158.0,0.0,1197.0
2021-01-03 20:15:00+00:00,,,0.0,,0.0,0.0
