,CZ,DE,HU,IT,SI,CH,sum
2024-01-01 00:00:00+00:00,0.0,343.0,709.0,246.0,602.0,183.0,2083.0
2024-01-01 00:15:00+00:00,,338.0,659.0,,571.0,,1568.0
2024-01-01 00:30:00+00:00,,342.0,706.0,,632.0,,1680.0
2024-01-01 00:45:00+00:00,,341.0,749.0,,659.0,,1749.0
2024-01-01 01:00:00+00:00,0.0,313.0,715.0,251.0,528.0,293.0,2100.0
2024-01-01 01:15:00+00:00,,281.0,716.0,,521.0,,1518.0
2024-01-01 01:30:00+00:00,,290.0,764.0,,523.0,,1577.0
2024-01-01 01:45:00+00:00,,294.0,796.0,,467.0,,1557.0
2024-01-01 02:00:00+00:00,0.0,294.0,803.0,250.0,415.0,355.0,2117.0
2024-01-01 02:15:00+00:00,,273.0,832.0,,353.0,,1458.0
2024-01-01 02:30:00+00:00,,277.0,838.0,,339.0,,1454.0
2024-01-01 02:45:00+00:00,,275.0,905.0,,336.0,,1516.0
2024-01-01 03:00:00+00:00,0.0,241.0,829.0,277.0,217.0,514.0,2078.0
2024-01-01 03:15:00+00:00,,214.0,713.0,,136.0,,1063.0
2024-01-01 03:30:00+00:00,,254.0,664.0,,120.0,,1038.0
2024-01-01 03:45:00+00:00,,258.0,695.0,,135.0,,1088.0
2024-01-01 04:00:00+00:00,0.0,303.0,581.0,277.0,47.0,594.0,1802.0
2024-01-01 04:15:00+00:00,,269.0,473.0,,33.0,,775.0
2024-01-01 04:30:00+00:00,,240.0,446.0,,99.0,,785.0
2024-01-01 04:45:00+00:00,,144.0,471.0,,190.0,,805.0
2024-01-01 05:00:00+00:00,0.0,236.0,359.0,265.0,143.0,479.0,1482.0
2024-01-01 05:15:00+00:00,,227.0,379.0,,190.0,,796.0
2024-01-01 05:30:00+00:00,,236.0,425.0,,201.0,,862.0
2024-01-01 05:45:00+00:00,,237.0,455.0,,166.0,,858.0
2024-01-01 06:00:00+00:00,0.0,122.0,542.0,227.0,206.0,407.0,1504.0
2024-01-01 06:15:00+00:00,,114.0,594.0,,220.0,,928.0
2024-01-01 06:30:00+00:00,,113.0,624.0,,193.0,,930.0
2024-01-01 06:45:00+00:00,,123.0,619.0,,174.0,,916.0
2024-01-01 07:00:00+00:00,0.0,124.0,580.0,243.0,170.0,268.0,1385.0
2024-01-01 07:15:00+00:00,,124.0,618.0,,219.0,,961.0
2024-01-01 07:30:00+00:00,,115.0,611.0,,242.0,,968.0
2024-01-01 07:45:00+00:00,,109.0,645.0,,263.0,,1017.0
2024-01-01 08:00:00+00:00,0.0,122.0,598.0,226.0,176.0,420.0,1542.0
2024-01-01 08:15:00+00:00,,114.0,550.0,,114.0,,778.0
2024-01-01 08:30:00+00:00,,101.0,580.0,,129.0,,810.0
2024-01-01 08:45:00+00:00,,91.0,650.0,,162.0,,903.0
2024-01-01 09:00:00+00:00,0.0,75.0,663.0,242.0,135.0,434.0,1549.0
2024-01-01 09:15:00+00:00,,61.0,686.0,,194.0,,941.0
2024-01-01 09:30:00+00:00,,67.0,716.0,,222.0,,1005.0
2024-01-01 09:45:00+00:00,,72.0,761.0,,244.0,,1077.0
2024-01-01 10:00:00+00:00,0.0,56.0,783.0,234.0,224.0,480.0,1777.0
2024-01-01 10:15:00+00:00,,59.0,838.0,,238.0,,1135.0
2024-01-01 10:30:00+00:00,,60.0,799.0,,197.0,,1056.0
2024-01-01 10:45:00+00:00,,66.0,828.0,,223.0,,1117.0
2024-01-01 11:00:00+00:00,0.0,82.0,768.0,214.0,202.0,437.0,1703.0
2024-01-01 11:15:00+00:00,,108.0,777.0,,191.0,,1076.0
2024-01-01 11:30:00+00:00,,146.0,784.0,,143.0,,1073.0
2024-01-01 11:45:00+00:00,,198.0,785.0,,130.0,,1113.0
2024-01-01 12:00:00+00:00,0.0,221.0,781.0,182.0,90.0,66.0,1340.0
2024-01-01 12:15:00+00:00,,214.0,814.0,,152.0,,1180.0
2024-01-01 12:30:00+00:00,,253.0,909.0,,216.0,,1378.0
2024-01-01 12:45:00+00:00,,312.0,961.0,,281.0,,1554.0
2024-01-01 13:00:00+00:00,0.0,394.0,1033.0,198.0,277.0,0.0,1902.0
2024-01-01 13:15:00+00:00,,374.0,1062.0,,316.0,,1752.0
2024-01-01 13:30:00+00:00,,449.0,1141.0,,412.0,,2002.0
2024-01-01 13:45:00+00:00,,504.0,1091.0,,402.0,,1997.0
2024-01-01 14:00:00+00:00,0.0,436.0,890.0,273.0,303.0,0.0,1902.0
2024-01-01 14:15:00+00:00,,440.0,908.0,,352.0,,1700.0
2024-01-01 14:30:00+00:00,,380.0,868.0,,338.0,,1586.0
2024-01-01 14:45:00+00:00,,348.0,930.0,,404.0,,1682.0
2024-01-01 15:00:00+00:00,0.0,506.0,981.0,291.0,659.0,0.0,2437.0
2024-01-01 15:15:00+00:00,,528.0,1042.0,,764.0,,2334.0
2024-01-01 15:30:00+00:00,,467.0,1000.0,,778.0,,2245.0
2024-01-01 15:45:00+00:00,,480.0,952.0,,796.0,,2228.0
2024-01-01 16:00:00+00:00,0.0,688.0,856.0,273.0,744.0,0.0,2561.0
