,GR,RO,RS,TR,MK,sum
2023-01-01 00:00:00+00:00,456.0,0.0,246.0,602.0,388.0,1692.0
2023-01-01 01:00:00+00:00,438.0,0.0,249.0,650.0,374.0,1711.0
2023-01-01 02:00:00+00:00,413.0,0.0,208.0,594.0,338.0,1553.0
2023-01-01 03:00:00+00:00,388.0,0.0,142.0,624.0,294.0,1448.0
2023-01-01 04:00:00+00:00,402.0,0.0,160.0,581.0,309.0,1452.0
2023-01-01 05:00:00+00:00,404.0,0.0,157.0,628.0,297.0,1486.0
2023-01-01 06:00:00+00:00,356.0,0.0,148.0,555.0,259.0,1318.0
2023-01-01 07:00:00+00:00,377.0,0.0,247.0,533.0,313.0,1470.0
2023-01-01 08:00:00+00:00,423.0,0.0,296.0,573.0,369.0,1661.0
2023-01-01 09:00:00+00:00,467.0,0.0,364.0,496.0,435.0,1762.0
2023-01-01 10:00:00+00:00,465.0,0.0,414.0,524.0,449.0,1852.0
2023-01-01 11:00:00+00:00,454.0,0.0,387.0,662.0,429.0,1932.0
2023-01-01 12:00:00+00:00,440.0,0.0,348.0,625.0,406.0,1819.0
2023-01-01 13:00:00+00:00,450.0,0.0,224.0,605.0,374.0,1653.0
2023-01-01 14:00:00+00:00,412.0,0.0,84.0,539.0,302.0,1337.0
2023-01-01 15:00:00+00:00,407.0,0.0,61.0,494.0,298.0,1260.0
2023-01-01 16:00:00+00:00,418.0,0.0,61.0,519.0,314.0,1312.0
2023-01-01 17:00:00+00:00,406.0,0.0,97.0,452.0,316.0,1271.0
2023-01-01 18:00:00+00:00,421.0,0.0,55.0,494.0,313.0,1283.0
2023-01-01 19:00:00+00:00,430.0,0.0,95.0,503.0,327.0,1355.0
2023-01-01 20:00:00+00:00,424.0,0.0,120.0,514.0,328.0,1386.0
2023-01-01 21:00:00+00:00,444.0,0.0,188.0,538.0,364.0,1534.0
2023-01-01 22:00:00+00:00,458.0,0.0,220.0,634.0,390.0,1702.0
2023-01-01 23:00:00+00:00,494.0,0.0,271.0,648.0,434.0,1847.0
2023-01-02 00:00:00+00:00,501.0,0.0,286.0,654.0,438.0,1879.0
2023-01-02 01:00:00+00:00,487.0,0.0,273.0,668.0,419.0,1847.0
2023-01-02 02:00:00+00:00,480.0,0.0,244.0,644.0,408.0,1776.0
2023-01-02 03:00:00+00:00,461.0,0.0,195.0,573.0,384.0,1613.0
2023-01-02 04:00:00+00:00,477.0,0.0,221.0,606.0,397.0,1701.0
2023-01-02 05:00:00+00:00,477.0,0.0,237.0,592.0,389.0,1695.0
2023-01-02 06:00:00+00:00,444.0,0.0,206.0,558.0,351.0,1559.0
2023-01-02 07:00:00+00:00,451.0,0.0,263.0,582.0,378.0,1674.0
2023-01-02 08:00:00+00:00,467.0,0.0,282.0,609.0,390.0,1748.0
2023-01-02 09:00:00+00:00,472.0,0.0,296.0,646.0,402.0,1816.0
