,FI,LV,RU,sum
2023-01-01 00:00:00+00:00,0.0,368.0,393.0,761.0
2023-01-01 01:00:00+00:00,0.0,364.0,423.0,787.0
2023-01-01 02:00:00+00:00,0.0,357.0,403.0,760.0
2023-01-01 03:00:00+00:00,0.0,357.0,381.0,738.0
2023-01-01 04:00:00+00:00,0.0,349.0,344.0,693.0
2023-01-01 05:00:00+00:00,0.0,353.0,317.0,670.0
2023-01-01 06:00:00+00:00,0.0,194.0,234.0,428.0
2023-01-01 07:00:00+00:00,0.0,139.0,184.0,323.0
2023-01-01 08:00:00+00:00,0.0,137.0,123.0,260.0
2023-01-01 09:00:00+00:00,0.0,32.0,41.0,73.0
2023-01-01 10:00:00+00:00,0.0,67.0,53.0,120.0
2023-01-01 11:00:00+00:00,0.0,102.0,28.0,130.0
2023-01-01 12:00:00+00:00,0.0,109.0,22.0,131.0
2023-01-01 13:00:00+00:00,0.0,54.0,0.0,54.0
2023-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-01 15:00:00+00:00,0.0,91.0,163.0,254.0
2023-01-01 16:00:00+00:00,0.0,193.0,269.0,462.0
2023-01-01 17:00:00+00:00,0.0,192.0,297.0,489.0
2023-01-01 18:00:00+00:00,0.0,233.0,332.0,565.0
2023-01-01 19:00:00+00:00,0.0,232.0,316.0,548.0
2023-01-01 20:00:00+00:00,0.0,53.0,197.0,250.0
2023-01-01 21:00:00+00:00,0.0,92.0,195.0,287.0
2023-01-01 22:00:00+00:00,0.0,56.0,162.0,218.0
2023-01-01 23:00:00+00:00,0.0,276.0,340.0,616.0
2023-01-02 00:00:00+00:00,0.0,322.0,362.0,684.0
2023-01-02 01:00:00+00:00,0.0,364.0,378.0,742.0
2023-01-02 02:00:00+00:00,0.0,274.0,317.0,591.0
2023-01-02 03:00:00+00:00,0.0,97.0,107.0,204.0
2023-01-02 04:00:00+00:00,0.0,204.0,198.0,402.0
2023-01-02 05:00:00+00:00,0.0,374.0,369.0,743.0
2023-01-02 06:00:00+00:00,0.0,370.0,367.0,737.0
2023-01-02 07:00:00+00:00,0.0,300.0,270.0,570.0
2023-01-02 08:00:00+00:00,0.0,111.0,78.0,189.0
2023-01-02 09:00:00+00:00,0.0,41.0,55.0,96.0
2023-01-02 10:00:00+00:00,0.0,9.0,26.0,35.0
2023-01-02 11:00:00+00:00,0.0,10.0,69.0,79.0
2023-01-02 12:00:00+00:00,0.0,0.0,26.0,26.0
2023-01-02 13:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-02 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-02 15:00:00+00:00,0.0,163.0,238.0,401.0
2023-01-02 16:00:00+00:00,0.0,142.0,247.0,389.0
2023-01-02 17:00:00+00:00,0.0,19.0,120.0,139.0
2023-01-02 18:00:00+00:00,3.0,0.0,2.0,5.0
2023-01-02 19:00:00+00:00,0.0,0.0,128.0,128.0
2023-01-02 20:00:00+00:00,0.0,39.0,178.0,217.0
2023-01-02 21:00:00+00:00,0.0,0.0,142.0,142.0
2023-01-02 22:00:00+00:00,0.0,48.0,192.0,240.0
2023-01-02 23:00:00+00:00,0.0,0.0,117.0,117.0
2023-01-03 00:00:00+00:00,0.0,0.0,61.0,61.0
2023-01-03 01:00:00+00:00,0.0,0.0,147.0,147.0
2023-01-03 02:00:00+00:00,0.0,17.0,154.0,171.0
2023-01-03 03:00:00+00:00,0.0,79.0,185.0,264.0
2023-01-03 04:00:00+00:00,0.0,0.0,85.0,85.0
2023-01-03 05:00:00+00:00,0.0,0.0,103.0,103.0
2023-01-03 06:00:00+00:00,0.0,39.0,84.0,123.0
2023-01-03 07:00:00+00:00,0.0,75.0,13.0,88.0
2023-01-03 08:00:00+00:00,0.0,66.0,59.0,125.0
2023-01-03 09:00:00+00:00,89.0,0.0,0.0,89.0
2023-01-03 10:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-03 11:00:00+00:00,0.0,3.0,2.0,5.0
2023-01-03 12:00:00+00:00,0.0,0.0,3.0,3.0
2023-01-03 13:00:00+00:00,0.0,1.0,18.0,19.0
