,ES,IT,CH,BE,DE,UK,sum
2023-01-01 00:00:00+00:00,2631.0,0.0,0.0,0.0,0.0,2563.0,5194.0
2023-01-01 01:00:00+00:00,2408.0,0.0,0.0,0.0,0.0,2562.0,4970.0
2023-01-01 02:00:00+00:00,2540.0,33.0,606.0,0.0,0.0,2563.0,5742.0
2023-01-01 03:00:00+00:00,2927.0,6.0,740.0,0.0,0.0,2555.0,6228.0
2023-01-01 04:00:00+00:00,3092.0,0.0,567.0,0.0,0.0,2360.0,6019.0
2023-01-01 05:00:00+00:00,3168.0,0.0,359.0,0.0,0.0,2866.0,6393.0
2023-01-01 06:00:00+00:00,2926.0,0.0,577.0,0.0,0.0,3055.0,6558.0
2023-01-01 07:00:00+00:00,2789.0,0.0,366.0,0.0,0.0,3068.0,6223.0
2023-01-01 08:00:00+00:00,2709.0,0.0,361.0,0.0,0.0,3062.0,6132.0
2023-01-01 09:00:00+00:00,1603.0,12.0,325.0,0.0,0.0,3070.0,5010.0
2023-01-01 10:00:00+00:00,306.0,379.0,337.0,0.0,0.0,3070.0,4092.0
2023-01-01 11:00:00+00:00,0.0,799.0,710.0,0.0,0.0,3070.0,4579.0
2023-01-01 12:00:00+00:00,0.0,1109.0,1089.0,0.0,309.0,3070.0,5577.0
2023-01-01 13:00:00+00:00,0.0,1142.0,1554.0,0.0,758.0,3070.0,6524.0
2023-01-01 14:00:00+00:00,0.0,1664.0,1562.0,333.0,1278.0,3070.0,7907.0
2023-01-01 15:00:00+00:00,0.0,1919.0,1670.0,1490.0,1783.0,3070.0,9932.0
2023-01-01 16:00:00+00:00,0.0,2339.0,1955.0,2106.0,2537.0,3070.0,12007.0
2023-01-01 17:00:00+00:00,0.0,2097.0,1610.0,2337.0,2539.0,3070.0,11653.0
2023-01-01 18:00:00+00:00,0.0,1891.0,1416.0,2542.0,2510.0,3069.0,11428.0
2023-01-01 19:00:00+00:00,0.0,1852.0,1698.0,2759.0,2656.0,3069.0,12034.0
2023-01-01 20:00:00+00:00,0.0,1866.0,2088.0,3005.0,2668.0,3069.0,12696.0
2023-01-01 21:00:00+00:00,0.0,1673.0,1915.0,3050.0,2615.0,3069.0,12322.0
2023-01-01 22:00:00+00:00,0.0,1588.0,1774.0,2284.0,2649.0,3070.0,11365.0
2023-01-01 23:00:00+00:00,0.0,2015.0,2750.0,2403.0,3198.0,3070.0,13436.0
2023-01-02 00:00:00+00:00,0.0,1450.0,2696.0,2022.0,2798.0,3070.0,12036.0
2023-01-02 01:00:00+00:00,0.0,1276.0,2397.0,1701.0,2133.0,3071.0,10578.0
2023-01-02 02:00:00+00:00,0.0,1386.0,2677.0,2013.0,2392.0,3071.0,11539.0
2023-01-02 03:00:00+00:00,0.0,1406.0,2777.0,1961.0,2486.0,3070.0,11700.0
2023-01-02 04:00:00+00:00,0.0,1626.0,2654.0,2107.0,2709.0,3018.0,12114.0
2023-01-02 05:00:00+00:00,0.0,2066.0,2596.0,2148.0,2597.0,2103.0,11510.0
2023-01-02 06:00:00+00:00,0.0,2070.0,2320.0,1338.0,2279.0,1709.0,9716.0
2023-01-02 07:00:00+00:00,0.0,1966.0,1872.0,1595.0,2196.0,1399.0,9028.0
2023-01-02 08:00:00+00:00,0.0,1633.0,1528.0,877.0,1601.0,1359.0,6998.0
2023-01-02 09:00:00+00:00,0.0,1617.0,1147.0,1031.0,1140.0,1597.0,6532.0
2023-01-02 10:00:00+00:00,0.0,1638.0,982.0,1088.0,876.0,2323.0,6907.0
2023-01-02 11:00:00+00:00,0.0,1873.0,1505.0,1153.0,1241.0,2249.0,8021.0
2023-01-02 12:00:00+00:00,0.0,2026.0,1783.0,1884.0,1855.0,2349.0,9897.0
2023-01-02 13:00:00+00:00,0.0,2074.0,2017.0,1661.0,1886.0,2011.0,9649.0
