,AL,BG,TR,IT,MK,sum
2024-01-01 00:00:00+00:00,0.0,0.0,0.0,189.0,0.0,189.0
2024-01-01 01:00:00+00:00,0.0,0.0,0.0,315.0,0.0,315.0
2024-01-01 02:00:00+00:00,0.0,0.0,0.0,351.0,0.0,351.0
2024-01-01 03:00:00+00:00,0.0,0.0,0.0,330.0,0.0,330.0
2024-01-01 04:00:00+00:00,0.0,0.0,1.0,509.0,0.0,510.0
2024-01-01 05:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 06:00:00+00:00,0.0,0.0,1.0,509.0,0.0,510.0
2024-01-01 07:00:00+00:00,0.0,0.0,13.0,509.0,0.0,522.0
2024-01-01 08:00:00+00:00,0.0,0.0,1.0,509.0,0.0,510.0
2024-01-01 09:00:00+00:00,0.0,0.0,16.0,509.0,0.0,525.0
2024-01-01 10:00:00+00:00,0.0,0.0,15.0,509.0,0.0,524.0
2024-01-01 11:00:00+00:00,0.0,0.0,15.0,509.0,0.0,524.0
2024-01-01 12:00:00+00:00,0.0,0.0,13.0,508.0,0.0,521.0
2024-01-01 13:00:00+00:00,0.0,0.0,0.0,480.0,0.0,480.0
2024-01-01 14:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 15:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 16:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 17:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 18:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 19:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 20:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 21:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 22:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-01 23:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 00:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 01:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 02:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 03:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 04:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 05:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 06:00:00+00:00,0.0,0.0,7.0,509.0,0.0,516.0
2024-01-02 07:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 08:00:00+00:00,0.0,0.0,1.0,509.0,0.0,510.0
2024-01-02 09:00:00+00:00,0.0,0.0,0.0,503.0,0.0,503.0
2024-01-02 10:00:00+00:00,0.0,0.0,0.0,484.0,0.0,484.0
2024-01-02 11:00:00+00:00,0.0,0.0,0.0,481.0,0.0,481.0
2024-01-02 12:00:00+00:00,0.0,0.0,0.0,268.0,0.0,268.0
2024-01-02 13:00:00+00:00,0.0,0.0,0.0,243.0,0.0,243.0
2024-01-02 14:00:00+00:00,0.0,0.0,0.0,408.0,0.0,408.0
2024-01-02 15:00:00+00:00,0.0,0.0,0.0,508.0,0.0,508.0
2024-01-02 16:00:00+00:00,0.0,0.0,0.0,439.0,0.0,439.0
2024-01-02 17:00:00+00:00,0.0,0.0,0.0,483.0,0.0,483.0
2024-01-02 18:00:00+00:00,0.0,0.0,0.0,474.0,0.0,474.0
2024-01-02 19:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 20:00:00+00:00,0.0,0.0,0.0,509.0,0.0,509.0
2024-01-02 21:00:00+00:00,0.0,0.0,0.0,506.0,0.0,506.0
2024-01-02 22:00:00+00:00,0.0,0.0,1.0,497.0,0.0,498.0
2024-01-02 23:00:00+00:00,0.0,0.0,0.0,173.0,0.0,173.0
2024-01-03 00:00:00+00:00,0.0,0.0,0.0,178.0,0.0,178.0
2024-01-03 01:00:00+00:00,0.0,0.0,0.0,354.0,0.0,354.0
2024-01-03 02:00:00+00:00,0.0,0.0,0.0,456.0,0.0,456.0
2024-01-03 03:00:00+00:00,0.0,0.0,0.0,405.0,0.0,405.0
2024-01-03 04:00:00+00:00,0.0,0.0,2.0,264.0,0.0,266.0
2024-01-03 05:00:00+00:00,0.0,0.0,0.0,497.0,0.0,497.0
2024-01-03 06:00:00+00:00,0.0,0.0,0.0,491.0,0.0,491.0
2024-01-03 07:00:00+00:00,0.0,0.0,0.0,478.0,0.0,478.0
2024-01-03 08:00:00+00:00,0.0,0.0,0.0,458.0,0.0,458.0
2024-01-03 09:00:00+00:00,0.0,0.0,0.0,314.0,0.0,314.0
2024-01-03 10:00:00+00:00,0.0,0.0,0.0,202.0,0.0,202.0
2024-01-03 11:00:00+00:00,0.0,0.0,0.0,162.0,0.0,162.0
2024-01-03 12:00:00+00:00,0.0,0.0,0.0,5.0,0.0,5.0
2024-01-03 13:00:00+00:00,0.0,0.0,0.0,55.0,0.0,55.0
