,AT,HR,RO,RS,SK,SI,UA,sum
2024-01-01 00:00:00+00:00,0.0,927.0,270.0,284.0,0.0,290.0,0.0,1771.0
2024-01-01 00:15:00+00:00,0.0,884.0,258.0,,,305.0,,1447.0
2024-01-01 00:30:00+00:00,0.0,878.0,269.0,,,285.0,,1432.0
2024-01-01 00:45:00+00:00,0.0,886.0,271.0,,,279.0,,1436.0
2024-01-01 01:00:00+00:00,0.0,825.0,229.0,252.0,0.0,284.0,0.0,1590.0
2024-01-01 01:15:00+00:00,0.0,856.0,246.0,,,308.0,,1410.0
2024-01-01 01:30:00+00:00,0.0,874.0,252.0,,,322.0,,1448.0
2024-01-01 01:45:00+00:00,0.0,841.0,237.0,,,322.0,,1400.0
2024-01-01 02:00:00+00:00,0.0,773.0,211.0,178.0,0.0,315.0,0.0,1477.0
2024-01-01 02:15:00+00:00,0.0,729.0,213.0,,,306.0,,1248.0
2024-01-01 02:30:00+00:00,0.0,725.0,211.0,,,325.0,,1261.0
2024-01-01 02:45:00+00:00,0.0,726.0,207.0,,,334.0,,1267.0
2024-01-01 03:00:00+00:00,0.0,659.0,164.0,101.0,0.0,329.0,0.0,1253.0
2024-01-01 03:15:00+00:00,0.0,609.0,161.0,,,314.0,,1084.0
2024-01-01 03:30:00+00:00,0.0,570.0,144.0,,,318.0,,1032.0
2024-01-01 03:45:00+00:00,0.0,588.0,144.0,,,313.0,,1045.0
2024-01-01 04:00:00+00:00,0.0,525.0,118.0,40.0,0.0,297.0,0.0,980.0
2024-01-01 04:15:00+00:00,0.0,498.0,117.0,,,288.0,,903.0
2024-01-01 04:30:00+00:00,0.0,512.0,125.0,,,277.0,,914.0
2024-01-01 04:45:00+00:00,0.0,548.0,145.0,,,267.0,,960.0
2024-01-01 05:00:00+00:00,0.0,603.0,162.0,101.0,0.0,283.0,0.0,1149.0
2024-01-01 05:15:00+00:00,0.0,655.0,170.0,,,277.0,,1102.0
2024-01-01 05:30:00+00:00,0.0,643.0,164.0,,,267.0,,1074.0
2024-01-01 05:45:00+00:00,0.0,604.0,139.0,,,273.0,,1016.0
2024-01-01 06:00:00+00:00,0.0,607.0,138.0,96.0,0.0,281.0,2.0,1124.0
2024-01-01 06:15:00+00:00,0.0,637.0,153.0,,,280.0,,1070.0
2024-01-01 06:30:00+00:00,0.0,631.0,143.0,,,273.0,,1047.0
2024-01-01 06:45:00+00:00,0.0,622.0,131.0,,,261.0,,1014.0
2024-01-01 07:00:00+00:00,0.0,676.0,159.0,157.0,0.0,271.0,0.0,1263.0
2024-01-01 07:15:00+00:00,0.0,701.0,165.0,,,250.0,,1116.0
2024-01-01 07:30:00+00:00,0.0,679.0,148.0,,,234.0,,1061.0
2024-01-01 07:45:00+00:00,0.0,682.0,139.0,,,231.0,,1052.0
2024-01-01 08:00:00+00:00,0.0,663.0,119.0,72.0,0.0,233.0,0.0,1087.0
