,BE,DE,UK,NO,DK,sum
2024-01-01 00:00:00+00:00,0.0,1470.0,671.0,648.0,694.0,3483.0
2024-01-01 00:15:00+00:00,,1521.0,671.0,,,2192.0
2024-01-01 00:30:00+00:00,,1489.0,671.0,,,2160.0
2024-01-01 00:45:00+00:00,,1505.0,672.0,,,2177.0
2024-01-01 01:00:00+00:00,0.0,1458.0,670.0,648.0,599.0,3375.0
2024-01-01 01:15:00+00:00,,1518.0,671.0,,,2189.0
2024-01-01 01:30:00+00:00,,1426.0,670.0,,,2096.0
2024-01-01 01:45:00+00:00,,1241.0,671.0,,,1912.0
2024-01-01 02:00:00+00:00,0.0,1281.0,671.0,648.0,649.0,3249.0
2024-01-01 02:15:00+00:00,,1345.0,671.0,,,2016.0
2024-01-01 02:30:00+00:00,,1343.0,670.0,,,2013.0
2024-01-01 02:45:00+00:00,,1304.0,648.0,,,1952.0
2024-01-01 03:00:00+00:00,0.0,1191.0,550.0,648.0,292.0,2681.0
2024-01-01 03:15:00+00:00,,1116.0,549.0,,,1665.0
2024-01-01 03:30:00+00:00,,1058.0,549.0,,,1607.0
2024-01-01 03:45:00+00:00,,1096.0,501.0,,,1597.0
2024-01-01 04:00:00+00:00,0.0,958.0,264.0,647.0,695.0,2564.0
2024-01-01 04:15:00+00:00,,902.0,263.0,,,1165.0
2024-01-01 04:30:00+00:00,,878.0,263.0,,,1141.0
2024-01-01 04:45:00+00:00,,864.0,270.0,,,1134.0
2024-01-01 05:00:00+00:00,0.0,1088.0,298.0,619.0,623.0,2628.0
2024-01-01 05:15:00+00:00,,1120.0,299.0,,,1419.0
2024-01-01 05:30:00+00:00,,1031.0,299.0,,,1330.0
2024-01-01 05:45:00+00:00,,1067.0,297.0,,,1364.0
2024-01-01 06:00:00+00:00,0.0,992.0,119.0,533.0,463.0,2107.0
2024-01-01 06:15:00+00:00,,980.0,120.0,,,1100.0
2024-01-01 06:30:00+00:00,,834.0,120.0,,,954.0
2024-01-01 06:45:00+00:00,,837.0,115.0,,,952.0
2024-01-01 07:00:00+00:00,0.0,861.0,104.0,649.0,697.0,2311.0
2024-01-01 07:15:00+00:00,,793.0,104.0,,,897.0
