,DE,LT,CZ,SK,SE,sum
2023-01-01 00:00:00+00:00,0.0,0.0,1377.0,991.0,7.0,2375.0
2023-01-01 01:00:00+00:00,0.0,0.0,1508.0,1056.0,0.0,2564.0
2023-01-01 02:00:00+00:00,0.0,0.0,1552.0,1073.0,0.0,2625.0
2023-01-01 03:00:00+00:00,0.0,0.0,1504.0,1035.0,0.0,2539.0
2023-01-01 04:00:00+00:00,0.0,0.0,1354.0,1010.0,0.0,2364.0
2023-01-01 05:00:00+00:00,0.0,0.0,1328.0,1005.0,0.0,2333.0
2023-01-01 06:00:00+00:00,0.0,1.0,1256.0,974.0,0.0,2231.0
2023-01-01 07:00:00+00:00,0.0,164.0,1017.0,710.0,0.0,1891.0
2023-01-01 08:00:00+00:00,0.0,385.0,864.0,610.0,5.0,1864.0
2023-01-01 09:00:00+00:00,0.0,358.0,899.0,626.0,195.0,2078.0
2023-01-01 10:00:00+00:00,0.0,491.0,1077.0,686.0,322.0,2576.0
2023-01-01 11:00:00+00:00,0.0,492.0,850.0,640.0,238.0,2220.0
2023-01-01 12:00:00+00:00,0.0,492.0,652.0,534.0,390.0,2068.0
2023-01-01 13:00:00+00:00,0.0,492.0,674.0,554.0,301.0,2021.0
2023-01-01 14:00:00+00:00,0.0,482.0,604.0,550.0,182.0,1818.0
2023-01-01 15:00:00+00:00,0.0,7.0,778.0,720.0,0.0,1505.0
2023-01-01 16:00:00+00:00,0.0,0.0,683.0,679.0,0.0,1362.0
2023-01-01 17:00:00+00:00,0.0,0.0,760.0,693.0,0.0,1453.0
2023-01-01 18:00:00+00:00,0.0,0.0,642.0,729.0,0.0,1371.0
2023-01-01 19:00:00+00:00,0.0,0.0,666.0,762.0,0.0,1428.0
2023-01-01 20:00:00+00:00,0.0,0.0,823.0,769.0,0.0,1592.0
2023-01-01 21:00:00+00:00,0.0,0.0,678.0,630.0,0.0,1308.0
2023-01-01 22:00:00+00:00,0.0,0.0,624.0,558.0,0.0,1182.0
2023-01-01 23:00:00+00:00,0.0,0.0,886.0,818.0,0.0,1704.0
2023-01-02 00:00:00+00:00,0.0,0.0,794.0,706.0,0.0,1500.0
2023-01-02 01:00:00+00:00,0.0,0.0,717.0,609.0,0.0,1326.0
2023-01-02 02:00:00+00:00,0.0,0.0,783.0,596.0,0.0,1379.0
2023-01-02 03:00:00+00:00,0.0,142.0,814.0,610.0,0.0,1566.0
2023-01-02 04:00:00+00:00,0.0,1.0,1069.0,729.0,0.0,1799.0
2023-01-02 05:00:00+00:00,0.0,0.0,1339.0,747.0,0.0,2086.0
2023-01-02 06:00:00+00:00,0.0,0.0,1081.0,652.0,0.0,1733.0
2023-01-02 07:00:00+00:00,0.0,0.0,1018.0,655.0,0.0,1673.0
2023-01-02 08:00:00+00:00,0.0,288.0,502.0,432.0,174.0,1396.0
2023-01-02 09:00:00+00:00,0.0,258.0,407.0,351.0,209.0,1225.0
2023-01-02 10:00:00+00:00,0.0,485.0,205.0,234.0,424.0,1348.0
2023-01-02 11:00:00+00:00,0.0,369.0,445.0,420.0,218.0,1452.0
2023-01-02 12:00:00+00:00,0.0,427.0,245.0,338.0,393.0,1403.0
2023-01-02 13:00:00+00:00,0.0,389.0,411.0,479.0,379.0,1658.0
2023-01-02 14:00:00+00:00,0.0,74.0,697.0,649.0,15.0,1435.0
2023-01-02 15:00:00+00:00,0.0,0.0,1229.0,946.0,0.0,2175.0
2023-01-02 16:00:00+00:00,0.0,0.0,1145.0,877.0,0.0,2022.0
2023-01-02 17:00:00+00:00,0.0,0.0,924.0,768.0,0.0,1692.0
2023-01-02 18:00:00+00:00,0.0,43.0,639.0,574.0,0.0,1256.0
2023-01-02 19:00:00+00:00,0.0,0.0,871.0,689.0,0.0,1560.0
2023-01-02 20:00:00+00:00,0.0,0.0,1270.0,868.0,0.0,2138.0
2023-01-02 21:00:00+00:00,0.0,0.0,1228.0,945.0,0.0,2173.0
2023-01-02 22:00:00+00:00,0.0,0.0,1478.0,1049.0,0.0,2527.0
2023-01-02 23:00:00+00:00,2.0,0.0,1700.0,1143.0,0.0,2845.0
2023-01-03 00:00:00+00:00,37.0,0.0,1681.0,1114.0,0.0,2832.0
2023-01-03 01:00:00+00:00,47.0,0.0,1751.0,1059.0,0.0,2857.0
2023-01-03 02:00:00+00:00,0.0,0.0,1572.0,980.0,0.0,2552.0
2023-01-03 03:00:00+00:00,5.0,0.0,1683.0,1090.0,0.0,2778.0
2023-01-03 04:00:00+00:00,0.0,0.0,1492.0,1082.0,0.0,2574.0
2023-01-03 05:00:00+00:00,0.0,0.0,1321.0,1014.0,0.0,2335.0
2023-01-03 06:00:00+00:00,0.0,0.0,1411.0,1059.0,0.0,2470.0
2023-01-03 07:00:00+00:00,0.0,0.0,1132.0,838.0,0.0,1970.0
2023-01-03 08:00:00+00:00,0.0,0.0,1102.0,807.0,0.0,1909.0
2023-01-03 09:00:00+00:00,0.0,0.0,1072.0,840.0,0.0,1912.0
2023-01-03 10:00:00+00:00,0.0,0.0,1220.0,943.0,0.0,2163.0
