,DE,LT,CZ,SK,UA,SE,sum
2024-01-01 00:00:00+00:00,0.0,492.0,205.0,265.0,0.0,595.0,1557.0
2024-01-01 01:00:00+00:00,0.0,492.0,291.0,253.0,0.0,595.0,1631.0
2024-01-01 02:00:00+00:00,0.0,492.0,339.0,214.0,0.0,595.0,1640.0
2024-01-01 03:00:00+00:00,0.0,492.0,306.0,156.0,0.0,595.0,1549.0
2024-01-01 04:00:00+00:00,0.0,492.0,354.0,163.0,0.0,595.0,1604.0
2024-01-01 05:00:00+00:00,0.0,492.0,223.0,136.0,0.0,595.0,1446.0
2024-01-01 06:00:00+00:00,0.0,492.0,186.0,154.0,0.0,595.0,1427.0
2024-01-01 07:00:00+00:00,0.0,492.0,176.0,166.0,0.0,595.0,1429.0
2024-01-01 08:00:00+00:00,0.0,492.0,20.0,57.0,0.0,595.0,1164.0
2024-01-01 09:00:00+00:00,0.0,492.0,0.0,18.0,0.0,595.0,1105.0
2024-01-01 10:00:00+00:00,0.0,488.0,0.0,0.0,0.0,587.0,1075.0
2024-01-01 11:00:00+00:00,0.0,293.0,0.0,0.0,0.0,415.0,708.0
2024-01-01 12:00:00+00:00,0.0,492.0,0.0,0.0,0.0,573.0,1065.0
2024-01-01 13:00:00+00:00,0.0,491.0,0.0,0.0,0.0,181.0,672.0
2024-01-01 14:00:00+00:00,0.0,299.0,0.0,0.0,0.0,0.0,299.0
2024-01-01 15:00:00+00:00,0.0,208.0,0.0,0.0,0.0,0.0,208.0
2024-01-01 16:00:00+00:00,0.0,114.0,0.0,0.0,0.0,0.0,114.0
2024-01-01 17:00:00+00:00,0.0,207.0,0.0,0.0,0.0,0.0,207.0
2024-01-01 18:00:00+00:00,0.0,439.0,0.0,0.0,0.0,0.0,439.0
2024-01-01 19:00:00+00:00,0.0,474.0,0.0,0.0,0.0,20.0,494.0
2024-01-01 20:00:00+00:00,0.0,492.0,0.0,0.0,0.0,472.0,964.0
2024-01-01 21:00:00+00:00,0.0,492.0,0.0,5.0,0.0,487.0,984.0
2024-01-01 22:00:00+00:00,0.0,492.0,0.0,25.0,0.0,591.0,1108.0
2024-01-01 23:00:00+00:00,0.0,492.0,0.0,88.0,0.0,595.0,1175.0
2024-01-02 00:00:00+00:00,0.0,492.0,26.0,98.0,0.0,594.0,1210.0
2024-01-02 01:00:00+00:00,0.0,492.0,0.0,117.0,0.0,585.0,1194.0
2024-01-02 02:00:00+00:00,0.0,492.0,32.0,142.0,0.0,592.0,1258.0
2024-01-02 03:00:00+00:00,0.0,492.0,213.0,308.0,0.0,497.0,1510.0
2024-01-02 04:00:00+00:00,0.0,492.0,133.0,385.0,0.0,68.0,1078.0
2024-01-02 05:00:00+00:00,0.0,492.0,137.0,347.0,0.0,0.0,976.0
2024-01-02 06:00:00+00:00,0.0,492.0,129.0,370.0,0.0,0.0,991.0
2024-01-02 07:00:00+00:00,0.0,492.0,0.0,226.0,0.0,0.0,718.0
2024-01-02 08:00:00+00:00,0.0,492.0,0.0,94.0,0.0,0.0,586.0
2024-01-02 09:00:00+00:00,0.0,492.0,0.0,1.0,0.0,0.0,493.0
2024-01-02 10:00:00+00:00,0.0,492.0,0.0,0.0,0.0,0.0,492.0
2024-01-02 11:00:00+00:00,0.0,482.0,0.0,0.0,0.0,0.0,482.0
2024-01-02 12:00:00+00:00,0.0,492.0,0.0,0.0,0.0,0.0,492.0
