,NO,FI,DK,DE,PL,LT,sum
2023-01-01 00:00:00+00:00,3009.0,0.0,0.0,0.0,0.0,326.0,3335.0
2023-01-01 01:00:00+00:00,3356.0,0.0,0.0,0.0,0.0,285.0,3641.0
2023-01-01 02:00:00+00:00,3278.0,0.0,0.0,0.0,0.0,521.0,3799.0
2023-01-01 03:00:00+00:00,3052.0,0.0,0.0,0.0,0.0,407.0,3459.0
2023-01-01 04:00:00+00:00,3181.0,0.0,0.0,0.0,0.0,663.0,3844.0
2023-01-01 05:00:00+00:00,3210.0,0.0,0.0,0.0,0.0,611.0,3821.0
2023-01-01 06:00:00+00:00,3138.0,0.0,0.0,0.0,0.0,473.0,3611.0
2023-01-01 07:00:00+00:00,3295.0,0.0,0.0,0.0,0.0,463.0,3758.0
2023-01-01 08:00:00+00:00,3328.0,0.0,0.0,0.0,0.0,301.0,3629.0
2023-01-01 09:00:00+00:00,3792.0,0.0,0.0,0.0,0.0,79.0,3871.0
2023-01-01 10:00:00+00:00,3703.0,0.0,0.0,0.0,0.0,0.0,3703.0
2023-01-01 11:00:00+00:00,3707.0,0.0,0.0,0.0,0.0,0.0,3707.0
2023-01-01 12:00:00+00:00,3727.0,0.0,0.0,0.0,0.0,0.0,3727.0
2023-01-01 13:00:00+00:00,3895.0,0.0,0.0,0.0,0.0,0.0,3895.0
2023-01-01 14:00:00+00:00,3315.0,0.0,0.0,0.0,1.0,117.0,3433.0
2023-01-01 15:00:00+00:00,2187.0,0.0,419.0,0.0,377.0,403.0,3386.0
2023-01-01 16:00:00+00:00,2499.0,0.0,685.0,0.0,587.0,149.0,3920.0
2023-01-01 17:00:00+00:00,2915.0,0.0,671.0,56.0,597.0,124.0,4363.0
2023-01-01 18:00:00+00:00,2791.0,0.0,724.0,285.0,597.0,0.0,4397.0
2023-01-01 19:00:00+00:00,2773.0,0.0,755.0,304.0,597.0,0.0,4429.0
2023-01-01 20:00:00+00:00,2338.0,149.0,679.0,27.0,597.0,329.0,4119.0
2023-01-01 21:00:00+00:00,2351.0,187.0,725.0,0.0,597.0,266.0,4126.0
2023-01-01 22:00:00+00:00,2335.0,0.0,861.0,0.0,597.0,548.0,4341.0
2023-01-01 23:00:00+00:00,2131.0,0.0,1022.0,0.0,597.0,311.0,4061.0
2023-01-02 00:00:00+00:00,2167.0,0.0,919.0,0.0,597.0,192.0,3875.0
2023-01-02 01:00:00+00:00,2472.0,0.0,835.0,0.0,597.0,73.0,3977.0
2023-01-02 02:00:00+00:00,2423.0,39.0,337.0,0.0,588.0,305.0,3692.0
2023-01-02 03:00:00+00:00,2294.0,0.0,698.0,0.0,151.0,472.0,3615.0
2023-01-02 04:00:00+00:00,2120.0,640.0,303.0,0.0,530.0,667.0,4260.0
2023-01-02 05:00:00+00:00,1935.0,1070.0,432.0,0.0,596.0,731.0,4764.0
2023-01-02 06:00:00+00:00,1074.0,1063.0,653.0,0.0,590.0,702.0,4082.0
2023-01-02 07:00:00+00:00,1103.0,959.0,563.0,0.0,368.0,657.0,3650.0
2023-01-02 08:00:00+00:00,1925.0,592.0,377.0,0.0,2.0,726.0,3622.0
2023-01-02 09:00:00+00:00,2001.0,1156.0,37.0,0.0,0.0,733.0,3927.0
2023-01-02 10:00:00+00:00,1565.0,1398.0,385.0,0.0,0.0,598.0,3946.0
2023-01-02 11:00:00+00:00,1372.0,1317.0,202.0,0.0,0.0,686.0,3577.0
2023-01-02 12:00:00+00:00,1605.0,1369.0,1.0,0.0,0.0,684.0,3659.0
2023-01-02 13:00:00+00:00,1697.0,1245.0,0.0,0.0,0.0,625.0,3567.0
2023-01-02 14:00:00+00:00,1339.0,1250.0,0.0,0.0,14.0,704.0,3307.0
2023-01-02 15:00:00+00:00,813.0,1823.0,0.0,0.0,520.0,600.0,3756.0
2023-01-02 16:00:00+00:00,1026.0,1453.0,0.0,0.0,593.0,553.0,3625.0
2023-01-02 17:00:00+00:00,779.0,1106.0,63.0,0.0,578.0,612.0,3138.0
2023-01-02 18:00:00+00:00,1180.0,974.0,826.0,0.0,157.0,433.0,3570.0
2023-01-02 19:00:00+00:00,1587.0,1049.0,464.0,0.0,572.0,629.0,4301.0
2023-01-02 20:00:00+00:00,2323.0,1255.0,296.0,0.0,596.0,599.0,5069.0
2023-01-02 21:00:00+00:00,2368.0,1338.0,374.0,148.0,598.0,567.0,5393.0
2023-01-02 22:00:00+00:00,1971.0,1394.0,314.0,548.0,593.0,441.0,5261.0
2023-01-02 23:00:00+00:00,1740.0,1145.0,284.0,617.0,426.0,611.0,4823.0
