,AT,HR,IT,HU,sum
2023-01-01 00:00:00+00:00,0.0,0.0,965.0,0.0,965.0
2023-01-01 00:15:00+00:00,0.0,,,0.0,0.0
2023-01-01 00:30:00+00:00,0.0,,,0.0,0.0
2023-01-01 00:45:00+00:00,0.0,,,0.0,0.0
2023-01-01 01:00:00+00:00,0.0,0.0,1054.0,0.0,1054.0
2023-01-01 01:15:00+00:00,1.0,,,0.0,1.0
2023-01-01 01:30:00+00:00,1.0,,,0.0,1.0
2023-01-01 01:45:00+00:00,3.0,,,0.0,3.0
2023-01-01 02:00:00+00:00,12.0,0.0,908.0,0.0,920.0
2023-01-01 02:15:00+00:00,25.0,,,0.0,25.0
2023-01-01 02:30:00+00:00,18.0,,,0.0,18.0
2023-01-01 02:45:00+00:00,50.0,,,0.0,50.0
2023-01-01 03:00:00+00:00,73.0,0.0,799.0,0.0,872.0
2023-01-01 03:15:00+00:00,69.0,,,0.0,69.0
2023-01-01 03:30:00+00:00,62.0,,,0.0,62.0
2023-01-01 03:45:00+00:00,59.0,,,0.0,59.0
2023-01-01 04:00:00+00:00,59.0,0.0,717.0,0.0,776.0
2023-01-01 04:15:00+00:00,56.0,,,0.0,56.0
2023-01-01 04:30:00+00:00,61.0,,,0.0,61.0
2023-01-01 04:45:00+00:00,53.0,,,0.0,53.0
2023-01-01 05:00:00+00:00,14.0,0.0,833.0,0.0,847.0
2023-01-01 05:15:00+00:00,16.0,,,0.0,16.0
2023-01-01 05:30:00+00:00,17.0,,,0.0,17.0
2023-01-01 05:45:00+00:00,20.0,,,0.0,20.0
2023-01-01 06:00:00+00:00,33.0,0.0,916.0,0.0,949.0
2023-01-01 06:15:00+00:00,33.0,,,0.0,33.0
2023-01-01 06:30:00+00:00,17.0,,,0.0,17.0
2023-01-01 06:45:00+00:00,46.0,,,0.0,46.0
2023-01-01 07:00:00+00:00,56.0,0.0,841.0,0.0,897.0
2023-01-01 07:15:00+00:00,63.0,,,0.0,63.0
2023-01-01 07:30:00+00:00,71.0,,,0.0,71.0
2023-01-01 07:45:00+00:00,126.0,,,0.0,126.0
2023-01-01 08:00:00+00:00,86.0,0.0,739.0,0.0,825.0
2023-01-01 08:15:00+00:00,53.0,,,0.0,53.0
2023-01-01 08:30:00+00:00,63.0,,,0.0,63.0
2023-01-01 08:45:00+00:00,48.0,,,0.0,48.0
2023-01-01 09:00:00+00:00,30.0,0.0,734.0,0.0,764.0
2023-01-01 09:15:00+00:00,32.0,,,0.0,32.0
2023-01-01 09:30:00+00:00,23.0,,,0.0,23.0
2023-01-01 09:45:00+00:00,27.0,,,0.0,27.0
2023-01-01 10:00:00+00:00,40.0,0.0,776.0,0.0,816.0
2023-01-01 10:15:00+00:00,31.0,,,0.0,31.0
2023-01-01 10:30:00+00:00,33.0,,,0.0,33.0
2023-01-01 10:45:00+00:00,33.0,,,0.0,33.0
2023-01-01 11:00:00+00:00,26.0,44.0,624.0,0.0,694.0
2023-01-01 11:15:00+00:00,36.0,,,0.0,36.0
2023-01-01 11:30:00+00:00,31.0,,,0.0,31.0
2023-01-01 11:45:00+00:00,16.0,,,0.0,16.0
2023-01-01 12:00:00+00:00,16.0,85.0,675.0,0.0,776.0
2023-01-01 12:15:00+00:00,7.0,,,0.0,7.0
2023-01-01 12:30:00+00:00,3.0,,,0.0,3.0
