,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2023-01-01 02:00:00+02:00,19.0,1748.0,360.0,72.0,0.0,57.0,9.0,2167.0,0.0,4.0,49.0
2023-01-01 03:00:00+02:00,20.0,1589.0,359.0,72.0,0.0,58.0,9.0,2167.0,0.0,4.0,51.0
2023-01-01 04:00:00+02:00,20.0,1590.0,360.0,71.0,0.0,58.0,9.0,2168.0,0.0,4.0,55.0
2023-01-01 05:00:00+02:00,20.0,1580.0,361.0,70.0,0.0,58.0,9.0,2167.0,0.0,5.0,52.0
2023-01-01 06:00:00+02:00,20.0,1587.0,360.0,71.0,0.0,71.0,9.0,2168.0,0.0,5.0,52.0
2023-01-01 07:00:00+02:00,20.0,1583.0,359.0,72.0,0.0,69.0,9.0,2168.0,0.0,5.0,49.0
2023-01-01 08:00:00+02:00,20.0,1579.0,360.0,72.0,0.0,78.0,9.0,2167.0,40.0,4.0,47.0
2023-01-01 09:00:00+02:00,19.0,1581.0,356.0,71.0,0.0,88.0,9.0,2169.0,162.0,4.0,45.0
2023-01-01 10:00:00+02:00,20.0,1581.0,356.0,71.0,0.0,100.0,9.0,2167.0,273.0,4.0,28.0
2023-01-01 11:00:00+02:00,20.0,1583.0,353.0,69.0,0.0,95.0,9.0,2167.0,342.0,4.0,22.0
2023-01-01 12:00:00+02:00,20.0,1586.0,360.0,70.0,0.0,92.0,9.0,2167.0,360.0,4.0,30.0
2023-01-01 13:00:00+02:00,19.0,1581.0,360.0,71.0,0.0,92.0,9.0,2168.0,338.0,4.0,28.0
2023-01-01 14:00:00+02:00,18.0,1582.0,360.0,72.0,0.0,87.0,9.0,2166.0,266.0,4.0,40.0
2023-01-01 15:00:00+02:00,20.0,1581.0,359.0,72.0,0.0,74.0,9.0,2166.0,140.0,4.0,49.0
2023-01-01 16:00:00+02:00,20.0,1581.0,360.0,72.0,0.0,139.0,9.0,2166.0,24.0,4.0,52.0
2023-01-01 17:00:00+02:00,20.0,1710.0,354.0,72.0,0.0,156.0,208.0,2165.0,0.0,4.0,58.0
2023-01-01 18:00:00+02:00,19.0,1676.0,354.0,72.0,0.0,159.0,328.0,2165.0,0.0,4.0,60.0
2023-01-01 19:00:00+02:00,20.0,1717.0,357.0,71.0,0.0,160.0,284.0,2166.0,0.0,4.0,71.0
2023-01-01 20:00:00+02:00,33.0,1636.0,359.0,71.0,0.0,162.0,92.0,2166.0,0.0,4.0,191.0
2023-01-01 21:00:00+02:00,31.0,1664.0,357.0,72.0,0.0,138.0,46.0,2166.0,0.0,4.0,195.0
2023-01-01 22:00:00+02:00,31.0,1755.0,356.0,72.0,0.0,115.0,37.0,2168.0,0.0,4.0,163.0
2023-01-01 23:00:00+02:00,31.0,1839.0,357.0,72.0,0.0,79.0,9.0,2165.0,0.0,4.0,181.0
2023-01-02 00:00:00+02:00,32.0,1809.0,358.0,71.0,0.0,73.0,9.0,2165.0,0.0,4.0,178.0
2023-01-02 01:00:00+02:00,32.0,1759.0,359.0,71.0,0.0,101.0,9.0,2165.0,0.0,4.0,160.0
2023-01-02 02:00:00+02:00,32.0,1764.0,358.0,73.0,0.0,90.0,9.0,2166.0,0.0,4.0,183.0
2023-01-02 03:00:00+02:00,31.0,1746.0,359.0,73.0,0.0,69.0,9.0,2166.0,0.0,4.0,198.0
2023-01-02 04:00:00+02:00,32.0,1782.0,359.0,73.0,0.0,71.0,9.0,2167.0,0.0,4.0,144.0
2023-01-02 05:00:00+02:00,32.0,1833.0,359.0,73.0,0.0,71.0,9.0,2166.0,0.0,4.0,133.0
2023-01-02 06:00:00+02:00,33.0,1843.0,360.0,72.0,0.0,78.0,91.0,2166.0,0.0,4.0,135.0
2023-01-02 07:00:00+02:00,32.0,1880.0,361.0,71.0,0.0,110.0,152.0,2167.0,2.0,5.0,112.0
2023-01-02 08:00:00+02:00,33.0,2084.0,362.0,71.0,0.0,115.0,144.0,2167.0,94.0,4.0,115.0
2023-01-02 09:00:00+02:00,33.0,2158.0,362.0,71.0,0.0,121.0,154.0,2167.0,364.0,4.0,118.0
2023-01-02 10:00:00+02:00,33.0,2071.0,360.0,71.0,0.0,121.0,112.0,2167.0,637.0,4.0,101.0
2023-01-02 11:00:00+02:00,32.0,1920.0,360.0,72.0,0.0,104.0,176.0,2168.0,779.0,4.0,110.0
2023-01-02 12:00:00+02:00,33.0,1926.0,360.0,71.0,0.0,104.0,31.0,2167.0,827.0,4.0,104.0
2023-01-02 13:00:00+02:00,34.0,1814.0,362.0,71.0,0.0,95.0,9.0,2166.0,780.0,5.0,93.0
2023-01-02 14:00:00+02:00,34.0,1808.0,360.0,71.0,0.0,96.0,9.0,2166.0,594.0,4.0,135.0
2023-01-02 15:00:00+02:00,33.0,1852.0,361.0,70.0,0.0,103.0,42.0,2166.0,295.0,4.0,140.0
2023-01-02 16:00:00+02:00,34.0,1981.0,365.0,72.0,0.0,124.0,321.0,2166.0,47.0,5.0,153.0
2023-01-02 17:00:00+02:00,33.0,2048.0,364.0,72.0,0.0,145.0,719.0,2166.0,0.0,5.0,158.0
2023-01-02 18:00:00+02:00,31.0,2077.0,363.0,70.0,0.0,172.0,926.0,2165.0,0.0,4.0,189.0
2023-01-02 19:00:00+02:00,32.0,2106.0,367.0,69.0,0.0,179.0,877.0,2167.0,0.0,4.0,234.0
2023-01-02 20:00:00+02:00,32.0,2182.0,366.0,70.0,0.0,173.0,705.0,2167.0,0.0,4.0,287.0
2023-01-02 21:00:00+02:00,31.0,2235.0,367.0,71.0,0.0,161.0,477.0,2167.0,0.0,4.0,295.0
2023-01-02 22:00:00+02:00,32.0,2082.0,368.0,70.0,0.0,159.0,356.0,2166.0,0.0,5.0,314.0
2023-01-02 23:00:00+02:00,32.0,1836.0,366.0,70.0,0.0,122.0,76.0,2168.0,0.0,4.0,268.0
2023-01-03 00:00:00+02:00,31.0,1948.0,363.0,70.0,0.0,116.0,9.0,2168.0,0.0,4.0,265.0
2023-01-03 01:00:00+02:00,31.0,1774.0,366.0,70.0,0.0,74.0,9.0,2168.0,0.0,4.0,249.0
2023-01-03 02:00:00+02:00,32.0,1801.0,367.0,71.0,0.0,64.0,9.0,2167.0,0.0,4.0,198.0
2023-01-03 03:00:00+02:00,32.0,1838.0,365.0,73.0,0.0,65.0,9.0,2166.0,0.0,4.0,151.0
2023-01-03 04:00:00+02:00,31.0,1890.0,366.0,73.0,0.0,67.0,9.0,2166.0,0.0,4.0,125.0
2023-01-03 05:00:00+02:00,32.0,1995.0,368.0,72.0,0.0,67.0,9.0,2166.0,0.0,3.0,94.0
2023-01-03 06:00:00+02:00,31.0,2200.0,369.0,72.0,0.0,72.0,9.0,2166.0,0.0,3.0,67.0
2023-01-03 07:00:00+02:00,32.0,2491.0,368.0,72.0,0.0,89.0,73.0,2166.0,1.0,4.0,48.0
2023-01-03 08:00:00+02:00,32.0,2569.0,364.0,71.0,0.0,139.0,333.0,2165.0,116.0,4.0,45.0
2023-01-03 09:00:00+02:00,32.0,2617.0,364.0,70.0,0.0,148.0,303.0,2166.0,427.0,4.0,48.0
2023-01-03 10:00:00+02:00,32.0,2593.0,367.0,70.0,0.0,141.0,156.0,2166.0,696.0,3.0,44.0
2023-01-03 11:00:00+02:00,31.0,2587.0,360.0,68.0,0.0,109.0,30.0,2167.0,847.0,3.0,41.0
2023-01-03 12:00:00+02:00,30.0,2554.0,367.0,69.0,0.0,85.0,9.0,2166.0,880.0,4.0,42.0
2023-01-03 13:00:00+02:00,31.0,2476.0,362.0,69.0,0.0,77.0,9.0,2166.0,829.0,5.0,41.0
2023-01-03 14:00:00+02:00,32.0,2590.0,368.0,69.0,0.0,82.0,9.0,2166.0,656.0,5.0,49.0
2023-01-03 15:00:00+02:00,33.0,2659.0,369.0,70.0,0.0,139.0,9.0,2166.0,357.0,4.0,44.0
2023-01-03 16:00:00+02:00,33.0,2750.0,369.0,70.0,0.0,172.0,27.0,2165.0,55.0,3.0,44.0
