,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore
2022-01-01 02:00:00+02:00,63.0,0.0,0.0,53.0,12.0
2022-01-01 03:00:00+02:00,65.0,0.0,0.0,57.0,10.0
2022-01-01 04:00:00+02:00,63.0,0.0,0.0,54.0,12.0
2022-01-01 05:00:00+02:00,63.0,0.0,0.0,53.0,13.0
2022-01-01 06:00:00+02:00,63.0,0.0,0.0,53.0,24.0
2022-01-01 07:00:00+02:00,63.0,0.0,0.0,53.0,28.0
2022-01-01 08:00:00+02:00,63.0,0.0,0.0,53.0,29.0
2022-01-01 09:00:00+02:00,63.0,0.0,2.0,53.0,27.0
2022-01-01 10:00:00+02:00,63.0,0.0,55.0,53.0,14.0
2022-01-01 11:00:00+02:00,66.0,0.0,90.0,56.0,19.0
2022-01-01 12:00:00+02:00,70.0,0.0,91.0,61.0,21.0
2022-01-01 13:00:00+02:00,69.0,0.0,193.0,61.0,20.0
2022-01-01 14:00:00+02:00,68.0,0.0,329.0,61.0,24.0
2022-01-01 15:00:00+02:00,61.0,0.0,350.0,52.0,12.0
2022-01-01 16:00:00+02:00,63.0,0.0,351.0,53.0,6.0
2022-01-01 17:00:00+02:00,63.0,0.0,351.0,53.0,5.0
2022-01-01 18:00:00+02:00,63.0,0.0,351.0,53.0,4.0
2022-01-01 19:00:00+02:00,63.0,0.0,345.0,53.0,2.0
2022-01-01 20:00:00+02:00,63.0,0.0,422.0,53.0,0.0
2022-01-01 21:00:00+02:00,63.0,0.0,397.0,53.0,0.0
2022-01-01 22:00:00+02:00,63.0,0.0,392.0,53.0,1.0
2022-01-01 23:00:00+02:00,62.0,0.0,301.0,52.0,3.0
2022-01-02 00:00:00+02:00,64.0,0.0,116.0,54.0,4.0
2022-01-02 01:00:00+02:00,62.0,0.0,6.0,52.0,8.0
2022-01-02 02:00:00+02:00,61.0,0.0,0.0,52.0,11.0
2022-01-02 03:00:00+02:00,60.0,0.0,0.0,51.0,14.0
2022-01-02 04:00:00+02:00,60.0,0.0,0.0,51.0,17.0
2022-01-02 05:00:00+02:00,61.0,0.0,1.0,51.0,19.0
2022-01-02 06:00:00+02:00,61.0,0.0,91.0,52.0,29.0
2022-01-02 07:00:00+02:00,61.0,0.0,138.0,52.0,33.0
2022-01-02 08:00:00+02:00,61.0,0.0,194.0,52.0,21.0
2022-01-02 09:00:00+02:00,62.0,0.0,198.0,53.0,16.0
2022-01-02 10:00:00+02:00,62.0,0.0,296.0,53.0,13.0
2022-01-02 11:00:00+02:00,60.0,0.0,332.0,53.0,13.0
2022-01-02 12:00:00+02:00,61.0,0.0,318.0,53.0,11.0
2022-01-02 13:00:00+02:00,62.0,0.0,295.0,53.0,9.0
2022-01-02 14:00:00+02:00,62.0,0.0,309.0,53.0,6.0
2022-01-02 15:00:00+02:00,62.0,0.0,406.0,53.0,4.0
2022-01-02 16:00:00+02:00,63.0,0.0,395.0,53.0,3.0
2022-01-02 17:00:00+02:00,63.0,0.0,404.0,53.0,4.0
2022-01-02 18:00:00+02:00,63.0,0.0,394.0,53.0,2.0
2022-01-02 19:00:00+02:00,63.0,0.0,398.0,53.0,2.0
2022-01-02 20:00:00+02:00,63.0,0.0,393.0,54.0,2.0
2022-01-02 21:00:00+02:00,63.0,0.0,306.0,54.0,2.0
2022-01-02 22:00:00+02:00,63.0,0.0,210.0,54.0,0.0
2022-01-02 23:00:00+02:00,63.0,0.0,64.0,53.0,0.0
2022-01-03 00:00:00+02:00,63.0,0.0,0.0,53.0,0.0
2022-01-03 01:00:00+02:00,63.0,0.0,0.0,53.0,0.0
2022-01-03 02:00:00+02:00,63.0,0.0,0.0,53.0,1.0
2022-01-03 03:00:00+02:00,62.0,0.0,0.0,53.0,1.0
2022-01-03 04:00:00+02:00,61.0,0.0,0.0,52.0,1.0
2022-01-03 05:00:00+02:00,62.0,0.0,0.0,52.0,1.0
2022-01-03 06:00:00+02:00,62.0,0.0,30.0,52.0,3.0
2022-01-03 07:00:00+02:00,62.0,0.0,197.0,52.0,6.0
2022-01-03 08:00:00+02:00,62.0,0.0,274.0,52.0,8.0
2022-01-03 09:00:00+02:00,63.0,0.0,265.0,53.0,7.0
2022-01-03 10:00:00+02:00,63.0,0.0,335.0,53.0,7.0
2022-01-03 11:00:00+02:00,63.0,0.0,265.0,53.0,7.0
2022-01-03 12:00:00+02:00,63.0,0.0,265.0,53.0,9.0
2022-01-03 13:00:00+02:00,63.0,0.0,465.0,53.0,11.0
2022-01-03 14:00:00+02:00,62.0,0.0,466.0,53.0,8.0
2022-01-03 15:00:00+02:00,62.0,0.0,563.0,53.0,6.0
2022-01-03 16:00:00+02:00,63.0,0.0,564.0,53.0,7.0
2022-01-03 17:00:00+02:00,63.0,0.0,565.0,53.0,7.0
2022-01-03 18:00:00+02:00,63.0,0.0,565.0,53.0,7.0
2022-01-03 19:00:00+02:00,63.0,0.0,566.0,53.0,6.0
2022-01-03 20:00:00+02:00,64.0,0.0,539.0,54.0,8.0
2022-01-03 21:00:00+02:00,64.0,0.0,377.0,54.0,8.0
2022-01-03 22:00:00+02:00,64.0,0.0,101.0,54.0,11.0
2022-01-03 23:00:00+02:00,63.0,0.0,4.0,53.0,11.0
2022-01-04 00:00:00+02:00,63.0,0.0,0.0,53.0,14.0
2022-01-04 01:00:00+02:00,63.0,0.0,0.0,53.0,17.0
2022-01-04 02:00:00+02:00,63.0,0.0,0.0,53.0,18.0
2022-01-04 03:00:00+02:00,62.0,0.0,0.0,53.0,19.0
2022-01-04 04:00:00+02:00,62.0,28.0,0.0,53.0,22.0
2022-01-04 05:00:00+02:00,62.0,57.0,168.0,52.0,27.0
2022-01-04 06:00:00+02:00,62.0,76.0,280.0,52.0,33.0
2022-01-04 07:00:00+02:00,62.0,121.0,486.0,52.0,33.0
2022-01-04 08:00:00+02:00,62.0,143.0,636.0,52.0,32.0
2022-01-04 09:00:00+02:00,64.0,210.0,571.0,54.0,29.0
2022-01-04 10:00:00+02:00,65.0,220.0,694.0,56.0,29.0
2022-01-04 11:00:00+02:00,70.0,220.0,871.0,62.0,23.0
2022-01-04 12:00:00+02:00,69.0,220.0,799.0,61.0,12.0
2022-01-04 13:00:00+02:00,65.0,220.0,765.0,56.0,6.0
2022-01-04 14:00:00+02:00,64.0,220.0,766.0,56.0,1.0
2022-01-04 15:00:00+02:00,64.0,220.0,757.0,57.0,0.0
2022-01-04 16:00:00+02:00,66.0,220.0,857.0,57.0,1.0
2022-01-04 17:00:00+02:00,67.0,220.0,720.0,58.0,2.0
2022-01-04 18:00:00+02:00,67.0,220.0,804.0,58.0,3.0
2022-01-04 19:00:00+02:00,67.0,220.0,580.0,58.0,10.0
2022-01-04 20:00:00+02:00,71.0,220.0,478.0,63.0,8.0
2022-01-04 21:00:00+02:00,70.0,219.0,491.0,62.0,5.0
2022-01-04 22:00:00+02:00,69.0,217.0,303.0,60.0,5.0
2022-01-04 23:00:00+02:00,65.0,204.0,206.0,56.0,6.0
2022-01-05 00:00:00+02:00,65.0,204.0,188.0,56.0,5.0
2022-01-05 01:00:00+02:00,64.0,204.0,10.0,54.0,6.0
2022-01-05 02:00:00+02:00,64.0,205.0,0.0,54.0,7.0
2022-01-05 03:00:00+02:00,63.0,205.0,0.0,54.0,12.0
2022-01-05 04:00:00+02:00,64.0,205.0,0.0,55.0,7.0
2022-01-05 05:00:00+02:00,64.0,205.0,0.0,54.0,4.0
2022-01-05 06:00:00+02:00,64.0,215.0,0.0,54.0,4.0
2022-01-05 07:00:00+02:00,64.0,220.0,199.0,54.0,7.0
2022-01-05 08:00:00+02:00,69.0,240.0,279.0,60.0,8.0
2022-01-05 09:00:00+02:00,64.0,285.0,368.0,54.0,12.0
2022-01-05 10:00:00+02:00,64.0,296.0,373.0,54.0,12.0
2022-01-05 11:00:00+02:00,64.0,326.0,342.0,54.0,13.0
2022-01-05 12:00:00+02:00,74.0,358.0,420.0,66.0,20.0
2022-01-05 13:00:00+02:00,72.0,352.0,421.0,64.0,24.0
2022-01-05 14:00:00+02:00,71.0,340.0,421.0,64.0,26.0
2022-01-05 15:00:00+02:00,64.0,413.0,371.0,56.0,27.0
2022-01-05 16:00:00+02:00,65.0,428.0,365.0,56.0,25.0
2022-01-05 17:00:00+02:00,77.0,428.0,498.0,70.0,15.0
2022-01-05 18:00:00+02:00,65.0,429.0,426.0,56.0,22.0
2022-01-05 19:00:00+02:00,65.0,425.0,429.0,56.0,22.0
2022-01-05 20:00:00+02:00,65.0,366.0,348.0,56.0,7.0
2022-01-05 21:00:00+02:00,65.0,315.0,252.0,56.0,8.0
2022-01-05 22:00:00+02:00,65.0,253.0,60.0,56.0,5.0
2022-01-05 23:00:00+02:00,74.0,205.0,3.0,67.0,2.0
2022-01-06 00:00:00+02:00,69.0,205.0,0.0,61.0,3.0
2022-01-06 01:00:00+02:00,69.0,205.0,0.0,61.0,4.0
2022-01-06 02:00:00+02:00,71.0,205.0,0.0,63.0,8.0
2022-01-06 03:00:00+02:00,63.0,205.0,0.0,54.0,13.0
2022-01-06 04:00:00+02:00,62.0,205.0,0.0,54.0,11.0
2022-01-06 05:00:00+02:00,63.0,204.0,0.0,54.0,16.0
2022-01-06 06:00:00+02:00,63.0,208.0,4.0,54.0,15.0
2022-01-06 07:00:00+02:00,63.0,224.0,181.0,54.0,23.0
2022-01-06 08:00:00+02:00,64.0,318.0,354.0,54.0,26.0
2022-01-06 09:00:00+02:00,64.0,319.0,285.0,54.0,25.0
2022-01-06 10:00:00+02:00,66.0,335.0,374.0,57.0,25.0
2022-01-06 11:00:00+02:00,66.0,339.0,432.0,57.0,25.0
2022-01-06 12:00:00+02:00,66.0,352.0,624.0,57.0,23.0
2022-01-06 13:00:00+02:00,66.0,371.0,685.0,57.0,20.0
2022-01-06 14:00:00+02:00,65.0,390.0,523.0,57.0,10.0
2022-01-06 15:00:00+02:00,65.0,434.0,412.0,58.0,10.0
2022-01-06 16:00:00+02:00,67.0,439.0,750.0,58.0,10.0
2022-01-06 17:00:00+02:00,69.0,439.0,943.0,61.0,12.0
2022-01-06 18:00:00+02:00,67.0,439.0,1030.0,58.0,17.0
2022-01-06 19:00:00+02:00,67.0,433.0,996.0,58.0,14.0
2022-01-06 20:00:00+02:00,67.0,409.0,903.0,58.0,18.0
2022-01-06 21:00:00+02:00,68.0,392.0,578.0,59.0,23.0
2022-01-06 22:00:00+02:00,68.0,382.0,150.0,59.0,24.0
2022-01-06 23:00:00+02:00,68.0,378.0,33.0,59.0,26.0
2022-01-07 00:00:00+02:00,67.0,310.0,84.0,59.0,24.0
2022-01-07 01:00:00+02:00,67.0,214.0,62.0,59.0,25.0
2022-01-07 02:00:00+02:00,67.0,216.0,29.0,59.0,26.0
2022-01-07 03:00:00+02:00,66.0,215.0,0.0,58.0,28.0
2022-01-07 04:00:00+02:00,66.0,215.0,0.0,58.0,26.0
