,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore
2023-01-01 02:00:00+02:00,20.0,0.0,0.0,14.0,0.0,33.0
2023-01-01 03:00:00+02:00,19.0,0.0,0.0,14.0,0.0,15.0
2023-01-01 04:00:00+02:00,19.0,0.0,0.0,14.0,0.0,18.0
2023-01-01 05:00:00+02:00,19.0,0.0,0.0,13.0,0.0,11.0
2023-01-01 06:00:00+02:00,19.0,0.0,0.0,13.0,0.0,7.0
2023-01-01 07:00:00+02:00,19.0,0.0,0.0,14.0,0.0,3.0
2023-01-01 08:00:00+02:00,19.0,0.0,89.0,14.0,0.0,4.0
2023-01-01 09:00:00+02:00,20.0,0.0,91.0,14.0,0.0,10.0
2023-01-01 10:00:00+02:00,20.0,0.0,105.0,14.0,0.0,10.0
2023-01-01 11:00:00+02:00,19.0,0.0,560.0,13.0,0.0,4.0
2023-01-01 12:00:00+02:00,19.0,0.0,573.0,13.0,0.0,6.0
2023-01-01 13:00:00+02:00,20.0,0.0,559.0,14.0,0.0,3.0
2023-01-01 14:00:00+02:00,20.0,0.0,556.0,14.0,0.0,0.0
2023-01-01 15:00:00+02:00,20.0,0.0,572.0,14.0,0.0,0.0
2023-01-01 16:00:00+02:00,19.0,0.0,664.0,13.0,0.0,0.0
2023-01-01 17:00:00+02:00,22.0,0.0,665.0,14.0,0.0,2.0
2023-01-01 18:00:00+02:00,25.0,0.0,881.0,14.0,0.0,5.0
2023-01-01 19:00:00+02:00,27.0,0.0,890.0,14.0,0.0,3.0
2023-01-01 20:00:00+02:00,26.0,0.0,895.0,13.0,0.0,11.0
2023-01-01 21:00:00+02:00,23.0,0.0,892.0,13.0,0.0,16.0
2023-01-01 22:00:00+02:00,19.0,0.0,815.0,13.0,0.0,2.0
2023-01-01 23:00:00+02:00,18.0,0.0,763.0,12.0,0.0,0.0
2023-01-02 00:00:00+02:00,21.0,0.0,531.0,15.0,0.0,0.0
2023-01-02 01:00:00+02:00,24.0,0.0,454.0,15.0,0.0,0.0
2023-01-02 02:00:00+02:00,22.0,0.0,452.0,15.0,0.0,0.0
2023-01-02 03:00:00+02:00,23.0,0.0,452.0,15.0,0.0,0.0
2023-01-02 04:00:00+02:00,27.0,0.0,452.0,15.0,0.0,0.0
2023-01-02 05:00:00+02:00,30.0,0.0,452.0,15.0,0.0,1.0
2023-01-02 06:00:00+02:00,30.0,0.0,452.0,15.0,0.0,9.0
2023-01-02 07:00:00+02:00,31.0,0.0,508.0,15.0,0.0,17.0
2023-01-02 08:00:00+02:00,32.0,0.0,664.0,15.0,0.0,16.0
2023-01-02 09:00:00+02:00,33.0,0.0,671.0,17.0,0.0,24.0
2023-01-02 10:00:00+02:00,32.0,0.0,632.0,17.0,0.0,22.0
2023-01-02 11:00:00+02:00,33.0,0.0,719.0,17.0,0.0,15.0
2023-01-02 12:00:00+02:00,33.0,0.0,797.0,17.0,0.0,15.0
2023-01-02 13:00:00+02:00,32.0,0.0,858.0,17.0,0.0,16.0
2023-01-02 14:00:00+02:00,31.0,0.0,849.0,16.0,0.0,15.0
2023-01-02 15:00:00+02:00,33.0,0.0,932.0,16.0,0.0,16.0
2023-01-02 16:00:00+02:00,34.0,0.0,967.0,17.0,0.0,23.0
2023-01-02 17:00:00+02:00,34.0,0.0,967.0,17.0,0.0,28.0
2023-01-02 18:00:00+02:00,34.0,0.0,975.0,17.0,0.0,36.0
2023-01-02 19:00:00+02:00,34.0,0.0,984.0,18.0,0.0,35.0
2023-01-02 20:00:00+02:00,34.0,0.0,984.0,17.0,0.0,31.0
2023-01-02 21:00:00+02:00,34.0,0.0,965.0,18.0,0.0,52.0
2023-01-02 22:00:00+02:00,32.0,0.0,709.0,17.0,0.0,76.0
2023-01-02 23:00:00+02:00,28.0,0.0,633.0,17.0,0.0,84.0
2023-01-03 00:00:00+02:00,24.0,0.0,494.0,15.0,0.0,99.0
2023-01-03 01:00:00+02:00,28.0,0.0,645.0,20.0,0.0,98.0
2023-01-03 02:00:00+02:00,26.0,0.0,644.0,20.0,0.0,101.0
2023-01-03 03:00:00+02:00,28.0,0.0,644.0,21.0,0.0,99.0
2023-01-03 04:00:00+02:00,29.0,0.0,642.0,19.0,0.0,96.0
2023-01-03 05:00:00+02:00,33.0,0.0,627.0,20.0,0.0,87.0
2023-01-03 06:00:00+02:00,33.0,0.0,684.0,18.0,0.0,89.0
2023-01-03 07:00:00+02:00,35.0,0.0,821.0,19.0,0.0,97.0
2023-01-03 08:00:00+02:00,36.0,2.0,848.0,21.0,0.0,87.0
2023-01-03 09:00:00+02:00,38.0,17.0,938.0,23.0,0.0,89.0
2023-01-03 10:00:00+02:00,40.0,42.0,974.0,26.0,0.0,76.0
2023-01-03 11:00:00+02:00,39.0,68.0,986.0,25.0,0.0,74.0
2023-01-03 12:00:00+02:00,39.0,71.0,1058.0,25.0,0.0,79.0
2023-01-03 13:00:00+02:00,38.0,65.0,1058.0,24.0,0.0,74.0
2023-01-03 14:00:00+02:00,38.0,65.0,1059.0,24.0,0.0,73.0
2023-01-03 15:00:00+02:00,39.0,65.0,1060.0,23.0,0.0,68.0
2023-01-03 16:00:00+02:00,38.0,65.0,1060.0,23.0,0.0,62.0
2023-01-03 17:00:00+02:00,39.0,65.0,1108.0,24.0,0.0,61.0
2023-01-03 18:00:00+02:00,39.0,65.0,1107.0,24.0,0.0,52.0
2023-01-03 19:00:00+02:00,40.0,65.0,1108.0,24.0,0.0,42.0
2023-01-03 20:00:00+02:00,40.0,63.0,1049.0,25.0,0.0,38.0
2023-01-03 21:00:00+02:00,38.0,61.0,994.0,23.0,0.0,37.0
2023-01-03 22:00:00+02:00,37.0,54.0,935.0,22.0,0.0,36.0
2023-01-03 23:00:00+02:00,35.0,53.0,926.0,21.0,0.0,32.0
2023-01-04 00:00:00+02:00,30.0,53.0,775.0,17.0,0.0,30.0
2023-01-04 01:00:00+02:00,32.0,52.0,687.0,21.0,0.0,22.0
2023-01-04 02:00:00+02:00,34.0,52.0,687.0,21.0,0.0,13.0
2023-01-04 03:00:00+02:00,35.0,52.0,682.0,21.0,0.0,8.0
2023-01-04 04:00:00+02:00,35.0,52.0,686.0,21.0,0.0,12.0
2023-01-04 05:00:00+02:00,36.0,51.0,687.0,21.0,0.0,16.0
2023-01-04 06:00:00+02:00,37.0,51.0,688.0,21.0,0.0,17.0
2023-01-04 07:00:00+02:00,37.0,52.0,970.0,21.0,0.0,13.0
2023-01-04 08:00:00+02:00,36.0,52.0,1109.0,20.0,0.0,8.0
2023-01-04 09:00:00+02:00,37.0,52.0,1108.0,21.0,0.0,8.0
2023-01-04 10:00:00+02:00,37.0,63.0,1108.0,20.0,0.0,4.0
2023-01-04 11:00:00+02:00,37.0,63.0,1108.0,21.0,0.0,3.0
2023-01-04 12:00:00+02:00,37.0,63.0,1096.0,21.0,0.0,7.0
2023-01-04 13:00:00+02:00,36.0,63.0,1095.0,21.0,0.0,10.0
2023-01-04 14:00:00+02:00,35.0,63.0,1105.0,21.0,0.0,14.0
2023-01-04 15:00:00+02:00,36.0,63.0,1107.0,21.0,0.0,16.0
2023-01-04 16:00:00+02:00,36.0,63.0,1106.0,21.0,0.0,26.0
2023-01-04 17:00:00+02:00,37.0,63.0,1111.0,22.0,0.0,37.0
2023-01-04 18:00:00+02:00,37.0,63.0,1107.0,22.0,0.0,42.0
2023-01-04 19:00:00+02:00,37.0,63.0,1108.0,22.0,0.0,45.0
2023-01-04 20:00:00+02:00,37.0,63.0,1108.0,23.0,0.0,48.0
2023-01-04 21:00:00+02:00,35.0,63.0,1109.0,21.0,0.0,66.0
2023-01-04 22:00:00+02:00,31.0,63.0,1109.0,21.0,0.0,67.0
2023-01-04 23:00:00+02:00,28.0,63.0,1108.0,21.0,0.0,72.0
2023-01-05 00:00:00+02:00,26.0,64.0,1107.0,21.0,0.0,74.0
2023-01-05 01:00:00+02:00,24.0,78.0,1074.0,19.0,0.0,69.0
2023-01-05 02:00:00+02:00,24.0,86.0,1082.0,19.0,0.0,74.0
2023-01-05 03:00:00+02:00,24.0,142.0,1090.0,19.0,0.0,79.0
2023-01-05 04:00:00+02:00,24.0,211.0,1000.0,19.0,0.0,77.0
2023-01-05 05:00:00+02:00,27.0,212.0,995.0,20.0,0.0,79.0
2023-01-05 06:00:00+02:00,30.0,212.0,1053.0,20.0,0.0,85.0
2023-01-05 07:00:00+02:00,33.0,213.0,1089.0,21.0,0.0,86.0
2023-01-05 08:00:00+02:00,38.0,215.0,1105.0,23.0,0.0,85.0
2023-01-05 09:00:00+02:00,39.0,217.0,1194.0,24.0,0.0,86.0
2023-01-05 10:00:00+02:00,37.0,218.0,1193.0,22.0,0.0,91.0
2023-01-05 11:00:00+02:00,38.0,216.0,1206.0,22.0,0.0,92.0
2023-01-05 12:00:00+02:00,37.0,211.0,1172.0,22.0,0.0,87.0
2023-01-05 13:00:00+02:00,35.0,211.0,1171.0,22.0,0.0,89.0
2023-01-05 14:00:00+02:00,35.0,211.0,1171.0,22.0,0.0,90.0
2023-01-05 15:00:00+02:00,38.0,212.0,1171.0,23.0,0.0,83.0
2023-01-05 16:00:00+02:00,37.0,212.0,1169.0,23.0,0.0,79.0
2023-01-05 17:00:00+02:00,38.0,213.0,1150.0,22.0,0.0,70.0
2023-01-05 18:00:00+02:00,38.0,213.0,1153.0,21.0,0.0,75.0
2023-01-05 19:00:00+02:00,37.0,213.0,1124.0,21.0,0.0,66.0
2023-01-05 20:00:00+02:00,37.0,212.0,1121.0,21.0,0.0,65.0
2023-01-05 21:00:00+02:00,37.0,210.0,1114.0,21.0,0.0,43.0
2023-01-05 22:00:00+02:00,33.0,211.0,1114.0,20.0,0.0,40.0
2023-01-05 23:00:00+02:00,30.0,211.0,1105.0,20.0,0.0,32.0
2023-01-06 00:00:00+02:00,30.0,211.0,1135.0,19.0,0.0,24.0
2023-01-06 01:00:00+02:00,29.0,211.0,1087.0,18.0,0.0,18.0
2023-01-06 02:00:00+02:00,29.0,209.0,1084.0,18.0,0.0,14.0
2023-01-06 03:00:00+02:00,30.0,211.0,1083.0,19.0,0.0,17.0
2023-01-06 04:00:00+02:00,32.0,210.0,1082.0,19.0,0.0,10.0
2023-01-06 05:00:00+02:00,34.0,213.0,1080.0,19.0,0.0,8.0
2023-01-06 06:00:00+02:00,35.0,298.0,1082.0,19.0,0.0,15.0
2023-01-06 07:00:00+02:00,34.0,451.0,1255.0,19.0,0.0,12.0
2023-01-06 08:00:00+02:00,34.0,467.0,1219.0,19.0,0.0,18.0
2023-01-06 09:00:00+02:00,35.0,468.0,1216.0,19.0,0.0,19.0
2023-01-06 10:00:00+02:00,35.0,467.0,1220.0,19.0,0.0,21.0
2023-01-06 11:00:00+02:00,35.0,467.0,1237.0,19.0,0.0,16.0
2023-01-06 12:00:00+02:00,33.0,466.0,1238.0,18.0,0.0,24.0
2023-01-06 13:00:00+02:00,33.0,465.0,1173.0,18.0,0.0,27.0
2023-01-06 14:00:00+02:00,34.0,465.0,1170.0,19.0,0.0,27.0
2023-01-06 15:00:00+02:00,34.0,465.0,1170.0,18.0,0.0,28.0
2023-01-06 16:00:00+02:00,34.0,466.0,1168.0,18.0,0.0,41.0
2023-01-06 17:00:00+02:00,35.0,467.0,1165.0,18.0,0.0,51.0
2023-01-06 18:00:00+02:00,36.0,467.0,1171.0,20.0,0.0,61.0
2023-01-06 19:00:00+02:00,37.0,467.0,1176.0,20.0,0.0,58.0
2023-01-06 20:00:00+02:00,34.0,466.0,1181.0,20.0,0.0,51.0
2023-01-06 21:00:00+02:00,31.0,467.0,1175.0,20.0,0.0,44.0
2023-01-06 22:00:00+02:00,30.0,467.0,951.0,20.0,0.0,47.0
2023-01-06 23:00:00+02:00,30.0,451.0,934.0,20.0,0.0,51.0
2023-01-07 00:00:00+02:00,32.0,317.0,971.0,20.0,0.0,63.0
2023-01-07 01:00:00+02:00,27.0,211.0,561.0,17.0,0.0,57.0
2023-01-07 02:00:00+02:00,28.0,210.0,522.0,17.0,0.0,49.0
2023-01-07 03:00:00+02:00,28.0,207.0,515.0,17.0,0.0,54.0
2023-01-07 04:00:00+02:00,28.0,209.0,515.0,17.0,0.0,41.0
2023-01-07 05:00:00+02:00,28.0,207.0,515.0,17.0,0.0,41.0
2023-01-07 06:00:00+02:00,28.0,215.0,622.0,17.0,0.0,42.0
2023-01-07 07:00:00+02:00,29.0,319.0,651.0,18.0,0.0,38.0
2023-01-07 08:00:00+02:00,29.0,330.0,651.0,18.0,0.0,32.0
2023-01-07 09:00:00+02:00,30.0,326.0,703.0,18.0,0.0,28.0
2023-01-07 10:00:00+02:00,32.0,200.0,890.0,18.0,0.0,25.0
2023-01-07 11:00:00+02:00,33.0,194.0,1073.0,18.0,0.0,27.0
2023-01-07 12:00:00+02:00,31.0,194.0,1072.0,18.0,0.0,31.0
2023-01-07 13:00:00+02:00,29.0,194.0,1122.0,18.0,0.0,25.0
