,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2022-01-01 01:00:00+01:00,0.0,85.0,106.0,2251.0,9836.0,0.0,65.0,35.0,966.0
2022-01-01 02:00:00+01:00,0.0,84.0,109.0,2259.0,10141.0,0.0,62.0,34.0,815.0
2022-01-01 03:00:00+01:00,0.0,85.0,111.0,2258.0,9269.0,0.0,64.0,33.0,706.0
2022-01-01 04:00:00+01:00,0.0,84.0,100.0,2246.0,9031.0,0.0,59.0,32.0,660.0
2022-01-01 05:00:00+01:00,0.0,85.0,104.0,2233.0,9195.0,0.0,63.0,32.0,662.0
2022-01-01 06:00:00+01:00,0.0,84.0,127.0,2219.0,9138.0,0.0,60.0,32.0,719.0
2022-01-01 07:00:00+01:00,0.0,84.0,135.0,2239.0,9050.0,0.0,52.0,28.0,901.0
2022-01-01 08:00:00+01:00,0.0,85.0,140.0,2249.0,9361.0,0.0,48.0,31.0,1146.0
2022-01-01 09:00:00+01:00,0.0,84.0,143.0,2266.0,9692.0,0.0,48.0,35.0,1603.0
2022-01-01 10:00:00+01:00,0.0,84.0,142.0,2246.0,9848.0,0.0,49.0,33.0,2095.0
2022-01-01 11:00:00+01:00,0.0,85.0,141.0,2244.0,9994.0,0.0,50.0,32.0,2358.0
2022-01-01 12:00:00+01:00,0.0,85.0,141.0,2238.0,9785.0,0.0,52.0,31.0,2634.0
2022-01-01 13:00:00+01:00,0.0,85.0,140.0,2227.0,9508.0,0.0,52.0,31.0,2776.0
2022-01-01 14:00:00+01:00,0.0,86.0,143.0,2232.0,10186.0,0.0,53.0,34.0,2799.0
2022-01-01 15:00:00+01:00,0.0,84.0,141.0,2217.0,10546.0,0.0,53.0,31.0,2854.0
2022-01-01 16:00:00+01:00,0.0,85.0,140.0,2243.0,11096.0,0.0,53.0,31.0,2864.0
2022-01-01 17:00:00+01:00,0.0,85.0,150.0,2262.0,12301.0,0.0,52.0,30.0,2804.0
2022-01-01 18:00:00+01:00,0.0,87.0,149.0,2283.0,12403.0,0.0,50.0,29.0,2768.0
2022-01-01 19:00:00+01:00,0.0,105.0,141.0,2296.0,11023.0,0.0,48.0,29.0,2517.0
2022-01-01 20:00:00+01:00,0.0,85.0,138.0,2217.0,10002.0,0.0,49.0,30.0,2396.0
2022-01-01 21:00:00+01:00,0.0,84.0,127.0,2217.0,9523.0,0.0,48.0,28.0,2252.0
2022-01-01 22:00:00+01:00,0.0,88.0,127.0,2228.0,9124.0,0.0,47.0,37.0,2208.0
2022-01-01 23:00:00+01:00,0.0,85.0,128.0,2216.0,8654.0,0.0,50.0,40.0,2309.0
2022-01-02 00:00:00+01:00,0.0,88.0,104.0,2154.0,8606.0,0.0,53.0,41.0,2483.0
2022-01-02 01:00:00+01:00,0.0,84.0,104.0,2131.0,8719.0,0.0,67.0,41.0,2432.0
2022-01-02 02:00:00+01:00,0.0,84.0,102.0,2152.0,8449.0,0.0,51.0,38.0,2332.0
2022-01-02 03:00:00+01:00,0.0,85.0,101.0,2161.0,8193.0,0.0,50.0,37.0,2280.0
2022-01-02 04:00:00+01:00,0.0,84.0,95.0,2179.0,7810.0,0.0,50.0,30.0,2213.0
2022-01-02 05:00:00+01:00,0.0,85.0,102.0,2210.0,7619.0,0.0,50.0,28.0,2112.0
2022-01-02 06:00:00+01:00,0.0,85.0,104.0,2241.0,7770.0,0.0,47.0,35.0,1942.0
