,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Fossil Gas_Actual Consumption,Fossil Hard coal_Actual Aggregated,Fossil Hard coal_Actual Consumption,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Hydro Run-of-river and poundage_Actual Consumption,Hydro Water Reservoir_Actual Aggregated,Hydro Water Reservoir_Actual Consumption,Other_Actual Aggregated,Solar_Actual Aggregated,Wind Offshore_Actual Aggregated,Wind Onshore_Actual Aggregated
2024-01-01 00:00:00+00:00,364.0,193.0,8.0,0.0,0.0,1065.0,1.0,635.0,1.0,141.0,1.0,32.0,0.0,3.0,340.0
2024-01-01 01:00:00+00:00,366.0,190.0,8.0,0.0,0.0,484.0,77.0,501.0,2.0,143.0,1.0,32.0,0.0,3.0,411.0
2024-01-01 02:00:00+00:00,365.0,190.0,8.0,0.0,0.0,248.0,502.0,1097.0,1.0,142.0,1.0,32.0,0.0,2.0,485.0
2024-01-01 03:00:00+00:00,365.0,190.0,8.0,0.0,0.0,267.0,695.0,788.0,1.0,143.0,1.0,32.0,0.0,3.0,508.0
2024-01-01 04:00:00+00:00,364.0,190.0,9.0,0.0,0.0,257.0,887.0,824.0,1.0,143.0,1.0,32.0,0.0,5.0,533.0
2024-01-01 05:00:00+00:00,364.0,190.0,8.0,0.0,0.0,284.0,1031.0,835.0,1.0,143.0,1.0,32.0,0.0,6.0,555.0
2024-01-01 06:00:00+00:00,362.0,191.0,8.0,0.0,0.0,339.0,687.0,416.0,1.0,173.0,1.0,33.0,0.0,7.0,441.0
2024-01-01 07:00:00+00:00,364.0,192.0,9.0,0.0,0.0,279.0,573.0,442.0,1.0,176.0,1.0,33.0,1.0,10.0,331.0
2024-01-01 08:00:00+00:00,363.0,195.0,8.0,0.0,0.0,425.0,655.0,315.0,2.0,207.0,1.0,32.0,119.0,10.0,319.0
2024-01-01 09:00:00+00:00,359.0,199.0,8.0,0.0,0.0,268.0,731.0,362.0,2.0,211.0,1.0,31.0,539.0,13.0,281.0
2024-01-01 10:00:00+00:00,361.0,197.0,8.0,0.0,0.0,226.0,850.0,348.0,2.0,177.0,1.0,33.0,1016.0,14.0,293.0
2024-01-01 11:00:00+00:00,363.0,197.0,8.0,0.0,0.0,168.0,1977.0,357.0,2.0,198.0,0.0,32.0,1247.0,18.0,392.0
2024-01-01 12:00:00+00:00,363.0,196.0,8.0,0.0,0.0,49.0,1706.0,385.0,1.0,148.0,1.0,32.0,1272.0,13.0,514.0
2024-01-01 13:00:00+00:00,365.0,196.0,7.0,0.0,0.0,20.0,1851.0,377.0,1.0,168.0,1.0,32.0,1172.0,11.0,609.0
2024-01-01 14:00:00+00:00,367.0,196.0,8.0,0.0,0.0,0.0,1358.0,435.0,1.0,143.0,1.0,33.0,897.0,16.0,639.0
2024-01-01 15:00:00+00:00,363.0,194.0,8.0,0.0,0.0,27.0,731.0,460.0,2.0,142.0,1.0,32.0,582.0,18.0,697.0
2024-01-01 16:00:00+00:00,364.0,194.0,7.0,0.0,0.0,330.0,636.0,532.0,1.0,144.0,1.0,32.0,155.0,20.0,694.0
2024-01-01 17:00:00+00:00,364.0,195.0,7.0,0.0,0.0,1570.0,222.0,640.0,1.0,286.0,1.0,32.0,4.0,24.0,748.0
2024-01-01 18:00:00+00:00,362.0,196.0,8.0,0.0,0.0,1758.0,4.0,844.0,1.0,436.0,1.0,33.0,0.0,23.0,1013.0
2024-01-01 19:00:00+00:00,353.0,195.0,8.0,0.0,0.0,2034.0,0.0,877.0,1.0,316.0,1.0,33.0,0.0,25.0,1567.0
2024-01-01 20:00:00+00:00,352.0,196.0,8.0,0.0,0.0,1640.0,1.0,810.0,1.0,315.0,1.0,32.0,0.0,25.0,2017.0
2024-01-01 21:00:00+00:00,355.0,195.0,8.0,0.0,0.0,1426.0,1.0,794.0,1.0,197.0,1.0,33.0,0.0,24.0,1702.0
2024-01-01 22:00:00+00:00,351.0,194.0,8.0,0.0,0.0,341.0,348.0,483.0,2.0,123.0,1.0,33.0,0.0,24.0,2028.0
2024-01-01 23:00:00+00:00,350.0,194.0,8.0,0.0,0.0,214.0,970.0,475.0,1.0,139.0,1.0,32.0,0.0,25.0,2446.0
2024-01-02 00:00:00+00:00,359.0,181.0,8.0,0.0,0.0,26.0,1422.0,536.0,1.0,175.0,1.0,32.0,0.0,25.0,2529.0
2024-01-02 01:00:00+00:00,364.0,181.0,9.0,0.0,0.0,0.0,1730.0,448.0,1.0,143.0,1.0,31.0,0.0,25.0,2603.0
2024-01-02 02:00:00+00:00,362.0,180.0,9.0,0.0,0.0,0.0,2134.0,357.0,2.0,142.0,1.0,31.0,0.0,25.0,2889.0
2024-01-02 03:00:00+00:00,365.0,181.0,8.0,0.0,0.0,0.0,2350.0,242.0,2.0,142.0,1.0,31.0,0.0,25.0,3313.0
2024-01-02 04:00:00+00:00,363.0,180.0,8.0,0.0,0.0,2.0,2267.0,257.0,2.0,85.0,1.0,31.0,0.0,25.0,3436.0
2024-01-02 05:00:00+00:00,360.0,180.0,8.0,0.0,0.0,150.0,2006.0,176.0,2.0,142.0,1.0,30.0,0.0,25.0,3342.0
2024-01-02 06:00:00+00:00,367.0,188.0,8.0,0.0,0.0,144.0,2059.0,246.0,2.0,177.0,1.0,32.0,0.0,25.0,3537.0
2024-01-02 07:00:00+00:00,366.0,218.0,9.0,0.0,0.0,707.0,618.0,667.0,1.0,189.0,1.0,32.0,1.0,25.0,3714.0
2024-01-02 08:00:00+00:00,362.0,224.0,8.0,0.0,0.0,1033.0,253.0,699.0,1.0,228.0,1.0,32.0,96.0,25.0,3665.0
2024-01-02 09:00:00+00:00,355.0,227.0,8.0,0.0,0.0,823.0,457.0,551.0,1.0,143.0,1.0,31.0,368.0,25.0,3689.0
2024-01-02 10:00:00+00:00,358.0,223.0,8.0,0.0,0.0,430.0,829.0,301.0,2.0,130.0,1.0,31.0,687.0,25.0,3770.0
2024-01-02 11:00:00+00:00,359.0,224.0,8.0,0.0,0.0,6.0,2059.0,478.0,1.0,142.0,1.0,32.0,827.0,25.0,4017.0
2024-01-02 12:00:00+00:00,361.0,224.0,8.0,0.0,0.0,200.0,1972.0,517.0,1.0,142.0,1.0,32.0,767.0,25.0,4120.0
2024-01-02 13:00:00+00:00,363.0,225.0,8.0,0.0,0.0,117.0,1922.0,521.0,1.0,142.0,1.0,32.0,665.0,25.0,4206.0
2024-01-02 14:00:00+00:00,361.0,224.0,7.0,0.0,0.0,127.0,1575.0,600.0,1.0,142.0,1.0,31.0,487.0,25.0,4274.0
2024-01-02 15:00:00+00:00,353.0,224.0,8.0,0.0,0.0,97.0,1346.0,590.0,1.0,143.0,1.0,30.0,326.0,25.0,4239.0
2024-01-02 16:00:00+00:00,357.0,225.0,8.0,0.0,0.0,390.0,666.0,939.0,1.0,212.0,1.0,30.0,117.0,25.0,4154.0
2024-01-02 17:00:00+00:00,355.0,223.0,8.0,0.0,0.0,742.0,13.0,1047.0,1.0,232.0,1.0,30.0,4.0,23.0,3992.0
2024-01-02 18:00:00+00:00,353.0,220.0,8.0,0.0,0.0,1576.0,1.0,1309.0,0.0,337.0,1.0,31.0,0.0,13.0,3782.0
2024-01-02 19:00:00+00:00,357.0,218.0,8.0,0.0,0.0,882.0,37.0,1310.0,0.0,217.0,1.0,33.0,0.0,12.0,3654.0
2024-01-02 20:00:00+00:00,358.0,219.0,8.0,0.0,0.0,656.0,585.0,1034.0,1.0,226.0,1.0,34.0,0.0,8.0,3678.0
2024-01-02 21:00:00+00:00,359.0,218.0,8.0,0.0,0.0,644.0,915.0,866.0,1.0,220.0,1.0,34.0,0.0,5.0,3540.0
2024-01-02 22:00:00+00:00,360.0,218.0,8.0,0.0,0.0,829.0,1352.0,736.0,1.0,391.0,1.0,34.0,0.0,5.0,3394.0
2024-01-02 23:00:00+00:00,357.0,210.0,8.0,0.0,0.0,388.0,1021.0,456.0,2.0,256.0,1.0,34.0,0.0,3.0,3107.0
2024-01-03 00:00:00+00:00,361.0,183.0,7.0,0.0,0.0,250.0,1459.0,436.0,2.0,163.0,1.0,34.0,0.0,4.0,2845.0
2024-01-03 01:00:00+00:00,359.0,177.0,7.0,0.0,0.0,169.0,1773.0,381.0,2.0,164.0,1.0,33.0,0.0,5.0,2898.0
2024-01-03 02:00:00+00:00,361.0,177.0,8.0,0.0,0.0,161.0,2030.0,385.0,2.0,163.0,1.0,34.0,0.0,3.0,2885.0
2024-01-03 03:00:00+00:00,362.0,175.0,8.0,0.0,0.0,194.0,2301.0,397.0,2.0,167.0,1.0,33.0,0.0,1.0,2928.0
2024-01-03 04:00:00+00:00,353.0,186.0,8.0,0.0,0.0,205.0,2157.0,397.0,2.0,167.0,1.0,32.0,0.0,0.0,2751.0
2024-01-03 05:00:00+00:00,356.0,170.0,8.0,0.0,0.0,447.0,1014.0,480.0,2.0,167.0,1.0,31.0,0.0,0.0,2208.0
2024-01-03 06:00:00+00:00,353.0,179.0,8.0,0.0,0.0,451.0,299.0,524.0,1.0,177.0,1.0,31.0,0.0,0.0,2082.0
2024-01-03 07:00:00+00:00,354.0,221.0,9.0,0.0,0.0,1404.0,2.0,856.0,1.0,213.0,1.0,32.0,1.0,1.0,1930.0
2024-01-03 08:00:00+00:00,363.0,246.0,8.0,0.0,0.0,1781.0,1.0,911.0,1.0,715.0,1.0,31.0,43.0,0.0,1601.0
2024-01-03 09:00:00+00:00,349.0,248.0,10.0,0.0,0.0,1599.0,1.0,974.0,1.0,641.0,1.0,30.0,131.0,0.0,1119.0
2024-01-03 10:00:00+00:00,339.0,249.0,10.0,0.0,0.0,1125.0,2.0,966.0,1.0,783.0,1.0,31.0,240.0,0.0,886.0
2024-01-03 11:00:00+00:00,329.0,251.0,14.0,0.0,0.0,1245.0,2.0,881.0,1.0,784.0,1.0,31.0,304.0,1.0,971.0
2024-01-03 12:00:00+00:00,333.0,271.0,9.0,0.0,0.0,1250.0,2.0,839.0,1.0,774.0,1.0,31.0,334.0,1.0,891.0
2024-01-03 13:00:00+00:00,334.0,297.0,15.0,0.0,0.0,1253.0,2.0,851.0,1.0,782.0,1.0,31.0,297.0,0.0,780.0
2024-01-03 14:00:00+00:00,337.0,488.0,12.0,0.0,0.0,1169.0,3.0,813.0,1.0,559.0,1.0,31.0,215.0,0.0,729.0
2024-01-03 15:00:00+00:00,350.0,622.0,3.0,0.0,0.0,1652.0,1.0,876.0,1.0,578.0,1.0,31.0,129.0,1.0,480.0
2024-01-03 16:00:00+00:00,356.0,807.0,2.0,0.0,0.0,1684.0,1.0,1371.0,1.0,590.0,1.0,33.0,32.0,0.0,364.0
