,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2024-01-01 01:00:00+01:00,30.0,2405.0,210.0,0.0,1705.0,0.0,27.0,244.0
2024-01-01 02:00:00+01:00,30.0,2361.0,209.0,0.0,1631.0,0.0,27.0,254.0
2024-01-01 03:00:00+01:00,30.0,2308.0,207.0,0.0,1431.0,0.0,27.0,262.0
2024-01-01 04:00:00+01:00,30.0,2285.0,207.0,0.0,1282.0,0.0,27.0,264.0
2024-01-01 05:00:00+01:00,30.0,2279.0,204.0,0.0,1240.0,0.0,27.0,263.0
2024-01-01 06:00:00+01:00,30.0,2284.0,206.0,0.0,1299.0,0.0,27.0,262.0
2024-01-01 07:00:00+01:00,30.0,2286.0,205.0,0.0,1422.0,0.0,27.0,260.0
2024-01-01 08:00:00+01:00,30.0,2147.0,209.0,0.0,1463.0,0.0,27.0,258.0
2024-01-01 09:00:00+01:00,30.0,2269.0,210.0,0.0,1574.0,0.0,27.0,264.0
2024-01-01 10:00:00+01:00,30.0,2343.0,215.0,0.0,1633.0,0.0,27.0,258.0
2024-01-01 11:00:00+01:00,30.0,2336.0,211.0,0.0,1762.0,2.0,27.0,222.0
2024-01-01 12:00:00+01:00,30.0,2342.0,220.0,0.0,1872.0,26.0,27.0,118.0
2024-01-01 13:00:00+01:00,30.0,2353.0,220.0,0.0,1856.0,0.0,27.0,135.0
2024-01-01 14:00:00+01:00,30.0,2315.0,216.0,0.0,1696.0,0.0,27.0,98.0
2024-01-01 15:00:00+01:00,30.0,2372.0,209.0,0.0,1706.0,0.0,27.0,64.0
2024-01-01 16:00:00+01:00,30.0,2466.0,214.0,0.0,1730.0,0.0,27.0,66.0
2024-01-01 17:00:00+01:00,30.0,2478.0,215.0,0.0,1619.0,0.0,27.0,63.0
2024-01-01 18:00:00+01:00,30.0,2511.0,214.0,0.0,1562.0,0.0,27.0,51.0
2024-01-01 19:00:00+01:00,30.0,2480.0,213.0,0.0,1569.0,0.0,27.0,44.0
2024-01-01 20:00:00+01:00,30.0,2461.0,215.0,0.0,1581.0,17.0,27.0,52.0
2024-01-01 21:00:00+01:00,30.0,2487.0,214.0,0.0,1526.0,33.0,27.0,37.0
2024-01-01 22:00:00+01:00,30.0,2453.0,213.0,0.0,1504.0,22.0,27.0,11.0
2024-01-01 23:00:00+01:00,30.0,2458.0,211.0,0.0,1570.0,0.0,27.0,1.0
2024-01-02 00:00:00+01:00,30.0,2477.0,209.0,0.0,1560.0,0.0,27.0,0.0
2024-01-02 01:00:00+01:00,30.0,2468.0,209.0,0.0,1476.0,0.0,27.0,0.0
2024-01-02 02:00:00+01:00,30.0,2446.0,209.0,0.0,1402.0,0.0,27.0,0.0
2024-01-02 03:00:00+01:00,30.0,2443.0,209.0,0.0,1254.0,0.0,27.0,0.0
2024-01-02 04:00:00+01:00,30.0,2448.0,209.0,0.0,1368.0,0.0,27.0,0.0
2024-01-02 05:00:00+01:00,30.0,2480.0,209.0,0.0,1362.0,0.0,27.0,0.0
2024-01-02 06:00:00+01:00,30.0,2535.0,228.0,162.0,1400.0,0.0,27.0,0.0
2024-01-02 07:00:00+01:00,30.0,2609.0,233.0,215.0,1560.0,78.0,27.0,1.0
