,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2023-01-01 01:00:00+01:00,7.0,36.0,45.0,0.0,0.0,158.0,699.0,0.0,10.0,0.0
2023-01-01 02:00:00+01:00,7.0,40.0,47.0,0.0,0.0,157.0,699.0,0.0,10.0,0.0
2023-01-01 03:00:00+01:00,7.0,37.0,52.0,0.0,0.0,157.0,698.0,0.0,10.0,0.0
2023-01-01 04:00:00+01:00,7.0,35.0,48.0,0.0,0.0,158.0,698.0,0.0,10.0,0.0
2023-01-01 05:00:00+01:00,7.0,35.0,48.0,0.0,0.0,158.0,698.0,0.0,10.0,0.0
2023-01-01 06:00:00+01:00,7.0,36.0,49.0,0.0,0.0,214.0,698.0,0.0,10.0,0.0
2023-01-01 07:00:00+01:00,7.0,36.0,50.0,0.0,0.0,235.0,698.0,0.0,10.0,0.0
2023-01-01 08:00:00+01:00,7.0,36.0,52.0,0.0,0.0,231.0,698.0,10.0,10.0,0.0
2023-01-01 09:00:00+01:00,7.0,36.0,58.0,0.0,0.0,282.0,698.0,28.0,10.0,0.0
2023-01-01 10:00:00+01:00,7.0,36.0,51.0,0.0,0.0,277.0,698.0,50.0,10.0,0.0
2023-01-01 11:00:00+01:00,6.0,36.0,49.0,0.0,0.0,241.0,698.0,64.0,10.0,0.0
2023-01-01 12:00:00+01:00,7.0,36.0,48.0,0.0,0.0,227.0,699.0,66.0,10.0,0.0
2023-01-01 13:00:00+01:00,6.0,36.0,47.0,0.0,0.0,340.0,699.0,50.0,10.0,0.0
2023-01-01 14:00:00+01:00,6.0,36.0,52.0,0.0,0.0,351.0,699.0,27.0,10.0,0.0
2023-01-01 15:00:00+01:00,6.0,36.0,57.0,0.0,0.0,450.0,699.0,9.0,10.0,0.0
2023-01-01 16:00:00+01:00,7.0,36.0,52.0,0.0,25.0,554.0,699.0,0.0,10.0,0.0
2023-01-01 17:00:00+01:00,7.0,36.0,50.0,0.0,119.0,615.0,698.0,0.0,10.0,0.0
2023-01-01 18:00:00+01:00,7.0,36.0,49.0,0.0,119.0,584.0,698.0,0.0,10.0,0.0
2023-01-01 19:00:00+01:00,7.0,36.0,47.0,0.0,147.0,689.0,698.0,0.0,11.0,0.0
2023-01-01 20:00:00+01:00,7.0,36.0,50.0,0.0,1.0,640.0,698.0,0.0,10.0,0.0
2023-01-01 21:00:00+01:00,7.0,36.0,53.0,0.0,0.0,443.0,698.0,0.0,11.0,0.0
2023-01-01 22:00:00+01:00,7.0,36.0,46.0,0.0,0.0,346.0,698.0,0.0,11.0,0.0
2023-01-01 23:00:00+01:00,7.0,36.0,42.0,0.0,0.0,199.0,698.0,0.0,10.0,0.0
2023-01-02 00:00:00+01:00,6.0,35.0,41.0,0.0,0.0,141.0,698.0,0.0,11.0,0.0
2023-01-02 01:00:00+01:00,6.0,35.0,42.0,0.0,0.0,140.0,698.0,0.0,10.0,0.0
2023-01-02 02:00:00+01:00,6.0,35.0,45.0,0.0,0.0,136.0,698.0,0.0,10.0,0.0
2023-01-02 03:00:00+01:00,6.0,35.0,49.0,0.0,0.0,134.0,698.0,0.0,10.0,0.0
2023-01-02 04:00:00+01:00,6.0,35.0,44.0,0.0,0.0,136.0,698.0,0.0,10.0,0.0
2023-01-02 05:00:00+01:00,6.0,35.0,46.0,0.0,0.0,140.0,698.0,0.0,10.0,0.0
2023-01-02 06:00:00+01:00,6.0,35.0,46.0,0.0,0.0,244.0,698.0,0.0,10.0,0.0
2023-01-02 07:00:00+01:00,6.0,35.0,48.0,0.0,0.0,417.0,698.0,0.0,10.0,0.0
2023-01-02 08:00:00+01:00,6.0,35.0,52.0,0.0,0.0,467.0,698.0,11.0,11.0,0.0
2023-01-02 09:00:00+01:00,6.0,35.0,56.0,0.0,0.0,433.0,698.0,31.0,10.0,0.0
2023-01-02 10:00:00+01:00,6.0,35.0,48.0,0.0,0.0,380.0,698.0,49.0,10.0,0.0
2023-01-02 11:00:00+01:00,6.0,35.0,47.0,0.0,0.0,339.0,698.0,60.0,11.0,0.0
2023-01-02 12:00:00+01:00,6.0,35.0,47.0,0.0,0.0,394.0,698.0,65.0,10.0,0.0
2023-01-02 13:00:00+01:00,6.0,35.0,45.0,0.0,0.0,347.0,698.0,54.0,10.0,0.0
2023-01-02 14:00:00+01:00,6.0,35.0,50.0,0.0,0.0,373.0,698.0,30.0,10.0,0.0
2023-01-02 15:00:00+01:00,6.0,35.0,55.0,0.0,0.0,467.0,698.0,9.0,10.0,0.0
2023-01-02 16:00:00+01:00,6.0,35.0,48.0,0.0,0.0,683.0,698.0,0.0,10.0,0.0
2023-01-02 17:00:00+01:00,6.0,35.0,47.0,0.0,0.0,771.0,698.0,0.0,10.0,0.0
2023-01-02 18:00:00+01:00,6.0,35.0,47.0,0.0,167.0,780.0,698.0,0.0,10.0,0.0
2023-01-02 19:00:00+01:00,6.0,35.0,44.0,0.0,111.0,762.0,698.0,0.0,11.0,0.0
2023-01-02 20:00:00+01:00,6.0,35.0,47.0,0.0,0.0,635.0,698.0,0.0,10.0,0.0
2023-01-02 21:00:00+01:00,6.0,35.0,52.0,0.0,0.0,509.0,698.0,0.0,11.0,0.0
2023-01-02 22:00:00+01:00,6.0,35.0,43.0,0.0,0.0,347.0,698.0,0.0,11.0,0.0
2023-01-02 23:00:00+01:00,6.0,35.0,40.0,0.0,0.0,230.0,698.0,0.0,10.0,0.0
2023-01-03 00:00:00+01:00,6.0,36.0,39.0,0.0,0.0,138.0,698.0,0.0,11.0,0.0
2023-01-03 01:00:00+01:00,6.0,36.0,41.0,0.0,0.0,137.0,698.0,0.0,10.0,0.0
2023-01-03 02:00:00+01:00,6.0,36.0,43.0,0.0,0.0,136.0,698.0,0.0,10.0,0.0
2023-01-03 03:00:00+01:00,6.0,35.0,49.0,0.0,0.0,136.0,698.0,0.0,10.0,0.0
2023-01-03 04:00:00+01:00,6.0,35.0,42.0,0.0,0.0,136.0,698.0,0.0,10.0,0.0
2023-01-03 05:00:00+01:00,5.0,36.0,43.0,0.0,0.0,137.0,698.0,0.0,10.0,0.0
2023-01-03 06:00:00+01:00,5.0,35.0,45.0,0.0,0.0,163.0,698.0,0.0,10.0,0.0
2023-01-03 07:00:00+01:00,5.0,35.0,45.0,0.0,1.0,404.0,698.0,0.0,10.0,0.0
2023-01-03 08:00:00+01:00,5.0,35.0,50.0,0.0,119.0,652.0,697.0,7.0,10.0,0.0
2023-01-03 09:00:00+01:00,5.0,35.0,54.0,0.0,92.0,673.0,698.0,18.0,10.0,0.0
2023-01-03 10:00:00+01:00,5.0,36.0,46.0,0.0,0.0,659.0,698.0,27.0,10.0,0.0
2023-01-03 11:00:00+01:00,5.0,36.0,43.0,0.0,0.0,496.0,698.0,33.0,10.0,0.0
2023-01-03 12:00:00+01:00,5.0,36.0,42.0,0.0,0.0,457.0,698.0,33.0,10.0,0.0
2023-01-03 13:00:00+01:00,5.0,36.0,44.0,0.0,0.0,386.0,698.0,24.0,9.0,0.0
2023-01-03 14:00:00+01:00,5.0,36.0,49.0,0.0,1.0,363.0,698.0,13.0,10.0,0.0
2023-01-03 15:00:00+01:00,5.0,36.0,54.0,0.0,104.0,588.0,698.0,4.0,10.0,0.0
2023-01-03 16:00:00+01:00,5.0,36.0,47.0,0.0,105.0,714.0,698.0,0.0,10.0,0.0
2023-01-03 17:00:00+01:00,6.0,36.0,44.0,0.0,164.0,728.0,698.0,0.0,10.0,0.0
2023-01-03 18:00:00+01:00,6.0,36.0,44.0,0.0,91.0,726.0,698.0,0.0,10.0,0.0
2023-01-03 19:00:00+01:00,6.0,36.0,42.0,0.0,0.0,579.0,698.0,0.0,10.0,0.0
2023-01-03 20:00:00+01:00,6.0,36.0,45.0,0.0,0.0,393.0,698.0,0.0,10.0,0.0
2023-01-03 21:00:00+01:00,6.0,36.0,49.0,0.0,0.0,244.0,698.0,0.0,10.0,0.0
2023-01-03 22:00:00+01:00,6.0,36.0,41.0,0.0,0.0,203.0,698.0,0.0,10.0,0.0
2023-01-03 23:00:00+01:00,6.0,36.0,39.0,0.0,0.0,189.0,698.0,0.0,11.0,0.0
2023-01-04 00:00:00+01:00,5.0,30.0,38.0,0.0,0.0,126.0,698.0,0.0,10.0,1.0
2023-01-04 01:00:00+01:00,5.0,30.0,40.0,0.0,0.0,126.0,698.0,0.0,10.0,1.0
2023-01-04 02:00:00+01:00,5.0,30.0,42.0,0.0,0.0,125.0,698.0,0.0,10.0,0.0
2023-01-04 03:00:00+01:00,5.0,30.0,48.0,0.0,0.0,129.0,698.0,0.0,10.0,1.0
2023-01-04 04:00:00+01:00,5.0,30.0,41.0,0.0,0.0,130.0,698.0,0.0,9.0,0.0
2023-01-04 05:00:00+01:00,5.0,30.0,42.0,0.0,0.0,181.0,698.0,0.0,10.0,0.0
2023-01-04 06:00:00+01:00,6.0,30.0,45.0,0.0,0.0,309.0,698.0,0.0,10.0,0.0
2023-01-04 07:00:00+01:00,5.0,30.0,45.0,0.0,168.0,559.0,698.0,0.0,10.0,0.0
2023-01-04 08:00:00+01:00,5.0,29.0,51.0,0.0,5.0,704.0,698.0,8.0,10.0,0.0
2023-01-04 09:00:00+01:00,5.0,29.0,54.0,0.0,0.0,682.0,698.0,23.0,11.0,0.0
2023-01-04 10:00:00+01:00,5.0,29.0,47.0,0.0,0.0,565.0,698.0,42.0,11.0,0.0
2023-01-04 11:00:00+01:00,5.0,29.0,46.0,0.0,0.0,391.0,698.0,62.0,10.0,1.0
2023-01-04 12:00:00+01:00,5.0,30.0,44.0,0.0,0.0,260.0,698.0,68.0,10.0,0.0
2023-01-04 13:00:00+01:00,5.0,30.0,44.0,0.0,0.0,257.0,698.0,59.0,10.0,1.0
2023-01-04 14:00:00+01:00,5.0,30.0,48.0,0.0,1.0,456.0,698.0,39.0,9.0,1.0
2023-01-04 15:00:00+01:00,5.0,30.0,52.0,0.0,168.0,642.0,698.0,12.0,10.0,1.0
