,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,4.0365943147756,708.7362968411562,341.62455825302777,0.0,279.81316621452885,0.0,28.28031872026205,0.013240557977285985,3117.7504366767475,0.003392963847461498,0.3423981923355357,22.85300225763318,,48.60393748852867,,149.20600340331475,30.12171584989445,205.24420715934116,13.342334210065035,884.5437409264493
2023-01-01 01:00:00+00:00,3.2301275240932408,780.2080349419025,365.5186821644578,0.0,273.60503042653534,0.0,26.961440592867863,0.014444147286090022,3101.4074901916056,0.005127277929476554,0.30040767370882204,23.2029522049046,,44.42392814827623,,147.3303822907357,32.62811256276014,203.472464372005,1.63491215479796,760.7028766424206
2023-01-01 02:00:00+00:00,3.6135509765333818,777.312139304514,346.94292300792995,0.0,267.9954542186074,0.0,26.610517345837938,0.009657678539972524,3121.7566183501417,0.02158515290287419,0.25018228038298523,23.618157994918985,,33.499249333882446,,147.01432015046316,33.35637462062737,203.82636732280713,0.9261580958657321,715.5260224597471
2023-01-01 03:00:00+00:00,3.847126750399268,757.9900739664722,342.7256885156681,0.0,259.38405726222,0.0,24.31111172279812,0.009908810935668371,3184.0162580847355,0.010025492920237647,0.1646361928950427,23.965886744007655,,22.781588557177393,,145.73583220539632,32.11218441477982,208.51798407937093,1.2274370401900951,691.325920613243
2023-01-01 04:00:00+00:00,2.0,360.0,326.0,0.0,266.0,0.0,23.0,0.0,3931.0,0.0,0.0,24.0,89.0,0.0,1951.0,147.0,3.0,258.0,0.0,148.0
2023-01-01 05:00:00+00:00,13.0,323.0,331.0,0.0,267.0,0.0,23.0,0.0,3934.0,0.0,0.0,24.0,186.0,0.0,1937.0,144.0,3.0,262.0,0.0,141.0
2023-01-01 06:00:00+00:00,17.0,249.0,334.0,0.0,268.0,0.0,23.0,3.0,3934.0,0.0,0.0,24.0,146.0,0.0,1945.0,145.0,3.0,263.0,0.0,148.0
2023-01-01 07:00:00+00:00,22.0,235.0,330.0,0.0,267.0,0.0,23.0,54.0,3935.0,0.0,0.0,24.0,200.0,0.0,1937.0,143.0,3.0,267.0,0.0,170.0
2023-01-01 08:00:00+00:00,23.0,250.0,326.0,0.0,268.0,0.0,24.0,289.0,3934.0,0.0,0.0,24.0,126.0,0.0,1822.0,145.0,3.0,268.0,0.0,181.0
2023-01-01 09:00:00+00:00,24.0,285.0,321.0,0.0,268.0,0.0,23.0,542.0,3933.0,0.0,0.0,24.0,129.0,0.0,1817.0,145.0,3.0,268.0,0.0,177.0
2023-01-01 10:00:00+00:00,22.0,297.0,324.0,0.0,267.0,0.0,23.0,674.0,3930.0,0.0,0.0,24.0,129.0,0.0,1823.0,144.0,3.0,268.0,0.0,173.0
2023-01-01 11:00:00+00:00,19.0,297.0,322.0,0.0,267.0,0.0,23.0,645.0,3925.0,0.0,0.0,24.0,158.0,0.0,1810.0,147.0,3.0,266.0,0.0,171.0
2023-01-01 12:00:00+00:00,18.0,322.0,330.0,0.0,266.0,0.0,23.0,487.0,3924.0,0.0,0.0,24.0,128.0,0.0,1810.0,148.0,3.0,266.0,0.0,158.0
2023-01-01 13:00:00+00:00,18.0,338.0,330.0,0.0,262.0,0.0,23.0,274.0,3922.0,0.0,0.0,24.0,111.0,0.0,1819.0,149.0,3.0,266.0,0.0,164.0
2023-01-01 14:00:00+00:00,16.950840374713668,466.19499981223487,326.16428443190387,0.0,322.4267168873164,0.0,34.92009375307442,105.1981227028579,3179.7580764169725,0.0,0.5254827519274924,20.466677616266047,,153.0983095496472,,153.54649777930297,18.289821627493065,210.74663973961916,20.568495074986743,835.428126331552
2023-01-01 15:00:00+00:00,21.70056404280017,522.7999434016709,333.69887295390976,0.0,327.35184716687684,0.004179134054000486,35.68831481463336,7.200799270423669,3106.943953846095,0.010383338132835023,0.600359921698184,20.079834916792098,,163.39788566794294,,154.9897204790394,20.69855583901881,206.3495126177606,63.416245142006616,875.775775223666
2023-01-01 16:00:00+00:00,23.08043390687648,506.706582632956,333.3484035402141,0.0,317.5231158574412,0.1277768645844975,33.980039143396105,0.3791379148731432,3270.6543210234363,0.026081496247016955,0.5016706221323209,20.929540161127004,,129.45788626550512,,160.0861698077877,18.412958168065042,218.77134634890103,279.77810104500196,721.3219393890732
2023-01-01 17:00:00+00:00,24.147080862095958,533.2410036243896,324.92508657620976,0.0,311.9149619232731,0.14220747730369346,33.24112424589779,0.2534739753067194,3267.3045316511248,0.03325954404726114,0.4785643511306457,21.079032376699583,,115.59028227328825,,159.07643755717433,18.720867890089654,219.0620324411527,199.6754422988955,686.975796827383
2023-01-01 18:00:00+00:00,25.27821021797854,477.27334340108416,330.4392923427653,0.0,297.9922396939313,0.17490974622569389,29.73849902681032,0.06872698486703886,3451.0088257985403,0.03787230471439759,0.3275989687564859,22.27176938177534,,75.67859737504972,,156.32607727415873,16.10116362659881,235.80916743611374,598.3777845549776,527.8384842204672
2023-01-01 19:00:00+00:00,26.356791506296798,503.4757758413507,333.28309153937374,0.0,299.45765479154977,0.19667065177533058,30.365501507041376,0.07271472700839067,3436.717978349381,0.04568706605628376,0.3463840630750277,22.304748846684028,,74.70540123727906,,159.62243833824581,16.89799338000045,234.25170672015048,621.968342366906,532.1472084362963
