,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,110.98761671674656,200.60915530662808,130.02950547585652,0.0,260.68967996757624,0.0,91.17127075527534,0.05051579871078617,79.59884255910097,0.0,0.6466369188506291,0.0,,789.1476555068842,,29.916596499766396,18.196738340098445,2.561677024677492,7.5233718443198185,1432.0617293383518
2023-01-01 01:00:00+00:00,123.90150893856686,202.40555513822596,133.33037114831316,0.0,280.930970160988,0.0,89.32032936572546,0.06060891141358147,77.62517269584563,0.0,0.676544978239398,0.0,,673.7402524527175,,31.199131881116852,17.921187866856737,2.6801589522560763,3.681965939264416,1454.46733544596
2023-01-01 02:00:00+00:00,115.5177867616708,203.82557174970836,135.47215173323434,0.0,300.05644787465684,0.0,88.90150343871824,0.057136234198815486,82.7592715184721,0.0,0.7245017191765181,0.0,,605.1684803405719,,33.34797817017299,18.21827415083285,2.8701414259685136,2.682049633489995,1438.9672700666038
2023-01-01 03:00:00+00:00,115.22398933587512,202.21302258555642,129.38927625493272,0.0,288.59537203147335,0.0,88.00890348181808,0.06778636156711892,80.0467148918305,0.0,0.6700859393380462,0.0,,512.3630504479986,,31.651551368247173,17.88150439865511,2.7334198713591586,4.995789230906424,1422.8535124001182
2023-01-01 04:00:00+00:00,0.0,226.0,115.0,0.0,374.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,0.0,20.0,0.0,0.0,1345.0
2023-01-01 05:00:00+00:00,0.0,226.0,115.0,0.0,287.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,20.0,0.0,0.0,1354.0
2023-01-01 06:00:00+00:00,0.0,225.0,114.0,0.0,207.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,20.0,0.0,0.0,1563.0
2023-01-01 07:00:00+00:00,0.0,225.0,113.0,0.0,212.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,0.0,0.0,20.0,0.0,0.0,1974.0
2023-01-01 08:00:00+00:00,0.0,227.0,114.0,0.0,238.0,0.0,119.0,11.0,0.0,0.0,0.0,0.0,0.0,1508.0,0.0,0.0,20.0,0.0,0.0,2187.0
2023-01-01 09:00:00+00:00,0.0,230.0,116.0,0.0,221.0,0.0,121.0,64.0,0.0,0.0,0.0,0.0,0.0,1707.0,0.0,0.0,21.0,0.0,0.0,2397.0
2023-01-01 10:00:00+00:00,0.0,228.0,115.0,0.0,222.0,0.0,124.0,120.0,0.0,0.0,0.0,0.0,0.0,1568.0,0.0,0.0,20.0,0.0,0.0,2440.0
2023-01-01 11:00:00+00:00,0.0,227.0,114.0,0.0,216.0,0.0,135.0,169.0,0.0,0.0,0.0,0.0,0.0,1661.0,0.0,0.0,20.0,0.0,0.0,2641.0
2023-01-01 12:00:00+00:00,0.0,324.0,114.0,0.0,231.0,0.0,134.0,143.0,0.0,0.0,0.0,0.0,0.0,1235.0,0.0,0.0,20.0,0.0,0.0,2816.0
