,Biomass,Other renewable,Fossil Peat,Hydro Water Reservoir,Fossil Brown coal/Lignite,Nuclear,Fossil Oil,Marine,Hydro Pumped Storage,Fossil Coal-derived gas,Geothermal,Fossil Gas,Hydro Run-of-river and poundage,Fossil Hard coal,Other,Waste,Wind Onshore,Fossil Oil shale,Wind Offshore,Solar
2022-01-01 00:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,350.5,154.5,201.5,0.0,0.0,2505.0,0.0,0.0,0.0
2022-01-01 01:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,157.0,206.0,0.0,0.0,2562.0,0.0,0.0,0.0
2022-01-01 02:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,156.5,205.0,0.0,0.0,2426.0,0.0,0.0,0.0
2022-01-01 03:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,156.0,205.0,0.0,0.0,2186.5,0.0,0.0,0.0
2022-01-01 04:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,157.0,210.5,0.0,0.0,1964.9999999999998,0.0,0.0,0.0
2022-01-01 05:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.00000000000006,155.0,202.0,0.0,0.0,1758.0,0.0,0.0,0.0
2022-01-01 06:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.5,154.5,208.0,0.0,0.0,1628.0,0.0,0.0,0.0
2022-01-01 07:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,354.0,156.0,206.5,0.0,0.0,1480.0,0.0,0.0,0.0
2022-01-01 08:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,365.00000000000006,156.5,212.50000000000003,0.0,0.0,1601.0,0.0,0.0,0.0
2022-01-01 09:00:00+00:00,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,367.49999999999994,155.0,212.0,0.0,0.0,1729.0,0.0,0.0,0.0
