,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,0.0,106.5,979.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,,0.0,,151.0,200.0,0.0,0.0,619.9999999999999
2023-01-01 01:00:00+00:00,0.0,108.0,1008.5,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,,0.0,,152.0,0.0,0.0,0.0,691.5
2023-01-01 02:00:00+00:00,0.0,110.5,931.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,,0.0,,152.5,0.0,0.0,0.0,648.0
2023-01-01 03:00:00+00:00,0.0,108.0,855.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,,0.0,,151.5,0.0,0.0,0.0,604.5
2023-01-01 04:00:00+00:00,0.0,110.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,512.5
2023-01-01 05:00:00+00:00,0.0,105.5,761.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,493.5
2023-01-01 06:00:00+00:00,0.0,106.5,662.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,729.5
2023-01-01 07:00:00+00:00,0.0,137.5,650.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,678.0
2023-01-01 08:00:00+00:00,0.0,148.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,573.0
2023-01-01 09:00:00+00:00,0.0,124.5,767.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,151.5,9.0,0.0,0.0,538.0
2023-01-01 10:00:00+00:00,0.0,107.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,151.5,299.0,0.0,0.0,369.0
2023-01-01 11:00:00+00:00,0.0,103.5,1509.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,147.0,401.5,0.0,0.0,291.0
2023-01-01 12:00:00+00:00,0.0,101.0,1777.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,144.5,445.5,0.0,2.5,261.0
2023-01-01 13:00:00+00:00,0.0,101.5,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,145.5,449.0,0.0,49.0,183.5
2023-01-01 14:00:00+00:00,0.0,134.0,1789.5000000000002,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,0.0,,145.0,436.0,0.0,48.5,149.5
2023-01-01 15:00:00+00:00,0.0,141.0,1617.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,0.0,,144.0,433.0,0.0,5.0,230.5
2023-01-01 16:00:00+00:00,0.0,143.5,1670.5000000000002,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,0.0,,146.5,455.50000000000006,0.0,28.0,331.0
2023-01-01 17:00:00+00:00,0.0,129.5,1713.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,50.00000000000001,0.0,0.0,,0.0,,149.5,436.0,0.0,105.00000000000001,503.5
2023-01-01 18:00:00+00:00,0.0,96.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00000000000001,0.0,0.0,,0.0,,153.0,352.5,0.0,241.49999999999997,571.5
2023-01-01 19:00:00+00:00,0.0,96.49999999999999,1687.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,50.49999999999999,0.0,0.0,,0.0,,153.5,292.0,0.0,214.5,576.0
2023-01-01 20:00:00+00:00,0.0,96.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00000000000001,0.0,0.0,,0.0,,147.5,361.5,0.0,98.5,553.5
2023-01-01 21:00:00+00:00,0.0,102.5,1742.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,0.0,,149.5,423.99999999999994,0.0,0.0,567.5
