,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,26.457730148392578,23.70942381934895,304.5891395292615,0.0,37.3386481089488,0.0,1.7944851889332452,0.0002836180588130585,378.82818819943367,0.0001340521917925141,0.007333919059453455,0.3324430451255455,,1.0414699831640073,,806.8297710162896,2.598141015305314,4.126522690092163,0.4550775915743681,173.50618813112698
2023-01-01 01:00:00+00:00,25.9444762689908,24.287997261742287,301.21604557785565,0.0,36.67987975163729,0.0,1.6582176920569345,0.0002872687685932631,355.99806358976525,0.00018060128298657833,0.005974112901813068,0.3169088048668412,,0.8839052327284217,,742.3207539200786,2.431902985428961,3.7850341825467466,0.032513001506996465,215.5716155888725
2023-01-01 02:00:00+00:00,25.934265554954205,22.111092578343303,288.06221765044177,0.0,35.88670933017711,0.0,1.4349927346124487,0.00018261509968992882,325.85579608307074,0.0006964959323957373,0.00472781660509528,0.29539201891649736,,0.634954174774802,,633.5116649844907,2.300581755626086,3.3902171920195476,0.01750209531032638,138.04209229286255
2023-01-01 03:00:00+00:00,26.205748416550897,17.27604926662005,288.45698204117605,0.0,34.95098005734709,0.0,1.0306048302131103,0.00012394452229529774,278.42273371531155,0.0002623942647589172,0.0020586367972448244,0.23524341841908347,,0.28552458730291286,,750.9110288348794,1.8797420633003161,2.807279391205574,0.015348077292380746,87.66799191457439
2023-01-01 04:00:00+00:00,27.0,0.0,238.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,996.0,0.0,0.0,0.0,95.0
2023-01-01 05:00:00+00:00,27.0,0.0,242.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.0,844.0,0.0,0.0,0.0,121.0
2023-01-01 06:00:00+00:00,27.0,0.0,233.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,890.0,0.0,0.0,0.0,116.0
2023-01-01 07:00:00+00:00,27.0,0.0,240.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.0,1099.0,0.0,0.0,0.0,111.0
2023-01-01 08:00:00+00:00,27.0,0.0,233.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,1314.0,0.0,0.0,0.0,70.0
2023-01-01 09:00:00+00:00,27.0,0.0,233.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0,1493.0,0.0,0.0,0.0,92.0
2023-01-01 10:00:00+00:00,27.0,0.0,233.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1948.0,1466.0,0.0,0.0,0.0,66.0
2023-01-01 11:00:00+00:00,27.0,0.0,235.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1957.0,1358.0,0.0,0.0,0.0,61.0
