,CZ,DE,HU,IT,SI,CH,sum
2021-01-01 00:00:00+00:00,1336.0,1549.0,584.0,0.0,784.5,0.0,2089.75
2021-01-01 01:00:00+00:00,1194.0,1619.0,747.0,0.0,829.25,0.0,2279.5
2021-01-01 02:00:00+00:00,1030.0,1450.0,873.0,0.0,936.5,0.0,2429.5
2021-01-01 03:00:00+00:00,1018.0,1305.0,944.0,0.0,1038.25,0.0,2563.0
2021-01-01 04:00:00+00:00,1058.0,1357.0,980.25,0.0,1017.25,0.0,2601.25
2021-01-01 05:00:00+00:00,1069.0,1488.0,1084.25,0.0,959.75,0.0,2683.25
2021-01-01 06:00:00+00:00,1065.0,1502.0,1116.0,0.0,856.5,0.0,2614.25
2021-01-01 07:00:00+00:00,1071.0,1561.0,1151.75,0.0,939.5,0.0,2749.25
2021-01-01 08:00:00+00:00,1058.0,1657.0,1191.5,0.0,977.25,0.0,2847.5
2021-01-01 09:00:00+00:00,1230.0,1782.0,1255.0,0.0,915.0,0.0,2923.0
2021-01-01 10:00:00+00:00,1123.0,1758.0,1301.0,0.0,958.5,0.0,2979.75
2021-01-01 11:00:00+00:00,1055.0,1701.0,1140.25,0.0,1027.5,0.0,2856.75
2021-01-01 12:00:00+00:00,1015.0,1715.0,1122.5,0.0,1033.25,0.0,2838.25
2021-01-01 13:00:00+00:00,1056.0,1613.0,1030.25,0.0,1014.25,0.0,2711.75
2021-01-01 14:00:00+00:00,1082.0,1435.0,995.5,0.0,1069.75,0.0,2694.5
2021-01-01 15:00:00+00:00,1090.0,1077.0,687.5,0.0,1166.0,0.0,2395.25
2021-01-01 16:00:00+00:00,1090.0,938.0,592.25,0.0,948.0,0.0,2047.25
2021-01-01 17:00:00+00:00,1142.0,1100.0,621.5,0.0,855.75,0.0,2037.75
2021-01-01 18:00:00+00:00,1205.0,1378.0,573.5,0.0,720.5,0.0,1939.75
2021-01-01 19:00:00+00:00,1243.0,1569.0,621.5,0.0,634.75,0.0,1959.25
2021-01-01 20:00:00+00:00,1259.0,1844.0,734.25,0.0,691.25,0.0,2201.25
2021-01-01 21:00:00+00:00,1338.0,1665.0,687.0,0.0,833.5,0.0,2271.25
2021-01-01 22:00:00+00:00,1366.0,1768.0,797.75,0.0,817.5,0.0,2398.75
2021-01-01 23:00:00+00:00,1316.0,1663.0,933.5,0.0,,0.0,1678.25
2021-01-02 00:00:00+00:00,1178.0,1642.0,1056.0,0.0,,0.0,1761.0
2021-01-02 01:00:00+00:00,1028.0,1438.0,1113.25,0.0,,0.0,1729.75
2021-01-02 02:00:00+00:00,1059.0,1323.0,1168.25,0.0,,0.0,1763.75
2021-01-02 03:00:00+00:00,1036.0,1315.0,1071.0,0.0,,0.0,1658.75
2021-01-02 04:00:00+00:00,1069.0,1379.0,1007.75,0.0,,0.0,1619.75
2021-01-02 05:00:00+00:00,1026.0,1568.0,798.25,0.0,,0.0,1446.75
2021-01-02 06:00:00+00:00,1105.0,1819.0,835.0,0.0,,0.0,1566.0
2021-01-02 07:00:00+00:00,1143.0,1910.0,879.75,0.0,,0.0,1643.0
2021-01-02 08:00:00+00:00,1195.0,2050.0,866.5,0.0,,0.0,1677.75
2021-01-02 09:00:00+00:00,1169.0,2005.0,944.0,0.0,,0.0,1737.5
2021-01-02 10:00:00+00:00,1064.0,1837.0,945.25,0.0,,0.0,1670.5
2021-01-02 11:00:00+00:00,1028.0,1701.0,952.0,0.0,,0.0,1634.25
2021-01-02 12:00:00+00:00,995.0,1679.0,932.0,0.0,,0.0,1600.5
2021-01-02 13:00:00+00:00,965.0,1723.0,788.75,0.0,,0.0,1460.75
2021-01-02 14:00:00+00:00,912.0,1584.0,722.5,0.0,,0.0,1346.5
2021-01-02 15:00:00+00:00,988.0,1268.0,331.75,0.0,,0.0,895.75
2021-01-02 16:00:00+00:00,1040.0,997.0,116.5,0.0,,0.0,625.75
2021-01-02 17:00:00+00:00,1013.0,1168.0,72.75,0.0,,0.0,618.0
