,FR,DE,LU,NL,UK,sum
2022-01-01 00:00:00+00:00,0.0,176.75,125.25,728.0,101.0,509.25
2022-01-01 01:00:00+00:00,0.0,0.0,148.25,1070.0,11.0,418.5
2022-01-01 02:00:00+00:00,0.0,118.75,87.25,344.0,573.0,435.25
2022-01-01 03:00:00+00:00,0.0,0.0,51.5,154.0,910.0,317.5
2022-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,968.0,242.0
2022-01-01 05:00:00+00:00,0.0,0.0,27.75,0.0,989.0,275.0
2022-01-01 06:00:00+00:00,0.0,0.0,14.5,0.0,989.0,261.75
2022-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,1001.0,250.25
2022-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,998.0,249.5
2022-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,622.0,155.5
2022-01-01 10:00:00+00:00,51.0,0.0,0.0,0.0,0.0,12.75
2022-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 13:00:00+00:00,296.0,0.0,0.0,0.0,0.0,74.0
2022-01-01 14:00:00+00:00,983.0,0.0,0.0,0.0,0.0,245.75
2022-01-01 15:00:00+00:00,905.0,0.0,0.0,0.0,0.0,226.25
2022-01-01 16:00:00+00:00,106.0,0.0,0.0,0.0,0.0,26.5
2022-01-01 17:00:00+00:00,0.0,0.0,26.0,0.0,0.0,26.0
2022-01-01 18:00:00+00:00,0.0,97.5,23.0,0.0,0.0,120.5
2022-01-01 19:00:00+00:00,0.0,32.5,18.5,0.0,0.0,51.0
2022-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 21:00:00+00:00,0.0,224.75,59.25,0.0,0.0,284.0
2022-01-01 22:00:00+00:00,0.0,59.5,15.5,0.0,0.0,75.0
2022-01-01 23:00:00+00:00,0.0,0.0,0.0,56.0,0.0,14.0
2022-01-02 00:00:00+00:00,0.0,0.0,28.5,610.0,0.0,181.0
2022-01-02 01:00:00+00:00,0.0,0.0,8.75,85.0,0.0,30.0
2022-01-02 02:00:00+00:00,0.0,0.0,3.0,18.0,0.0,7.5
2022-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,323.0,80.75
2022-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,815.0,203.75
2022-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,729.0,182.25
2022-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,885.0,221.25
2022-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,766.0,191.5
2022-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,55.0,13.75
2022-01-02 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02 11:00:00+00:00,0.0,51.0,0.0,0.0,0.0,51.0
2022-01-02 12:00:00+00:00,0.0,8.0,0.0,0.0,0.0,8.0
2022-01-02 13:00:00+00:00,0.0,605.0,0.0,0.0,0.0,605.0
2022-01-02 14:00:00+00:00,0.0,929.5,0.0,0.0,0.0,929.5
2022-01-02 15:00:00+00:00,0.0,928.5,0.0,0.0,0.0,928.5
2022-01-02 16:00:00+00:00,69.0,698.0,0.0,0.0,0.0,715.25
2022-01-02 17:00:00+00:00,0.0,211.5,3.0,0.0,0.0,214.5
2022-01-02 18:00:00+00:00,0.0,69.5,32.25,0.0,0.0,101.75
2022-01-02 19:00:00+00:00,0.0,114.25,71.5,0.0,0.0,185.75
2022-01-02 20:00:00+00:00,0.0,85.75,132.0,0.0,0.0,217.75
2022-01-02 21:00:00+00:00,0.0,21.0,103.0,0.0,0.0,124.0
2022-01-02 22:00:00+00:00,0.0,0.0,94.25,0.0,0.0,94.25
2022-01-02 23:00:00+00:00,0.0,0.0,69.25,0.0,0.0,69.25
2022-01-03 00:00:00+00:00,0.0,0.0,77.75,0.0,0.0,77.75
2022-01-03 01:00:00+00:00,0.0,0.0,22.75,0.0,0.0,22.75
2022-01-03 02:00:00+00:00,0.0,0.0,25.75,0.0,0.0,25.75
2022-01-03 03:00:00+00:00,0.0,0.0,5.25,0.0,0.0,5.25
2022-01-03 04:00:00+00:00,0.0,23.25,34.25,0.0,394.0,156.0
2022-01-03 05:00:00+00:00,0.0,594.5,102.0,0.0,807.0,898.25
