,AT,DE,PL,SK,sum
2024-01-01 00:00:00+00:00,0.0,1220.0,205.0,0.0,1425.0
2024-01-01 01:00:00+00:00,0.0,1056.0,291.0,0.0,1347.0
2024-01-01 02:00:00+00:00,0.0,872.0,339.0,0.0,1211.0
2024-01-01 03:00:00+00:00,0.0,700.0,306.0,0.0,1006.0
2024-01-01 04:00:00+00:00,0.0,781.0,354.0,0.0,1135.0
2024-01-01 05:00:00+00:00,0.0,709.0,223.0,0.0,932.0
2024-01-01 06:00:00+00:00,0.0,734.0,186.0,0.0,920.0
2024-01-01 07:00:00+00:00,0.0,637.0,176.0,0.0,813.0
2024-01-01 08:00:00+00:00,0.0,370.0,20.0,0.0,390.0
2024-01-01 09:00:00+00:00,0.0,480.0,0.0,0.0,480.0
2024-01-01 10:00:00+00:00,0.0,348.0,0.0,0.0,348.0
2024-01-01 11:00:00+00:00,0.0,293.0,0.0,0.0,293.0
2024-01-01 12:00:00+00:00,0.0,390.0,0.0,0.0,390.0
2024-01-01 13:00:00+00:00,0.0,830.0,0.0,0.0,830.0
2024-01-01 14:00:00+00:00,0.0,844.0,0.0,0.0,844.0
2024-01-01 15:00:00+00:00,0.0,860.0,0.0,0.0,860.0
2024-01-01 16:00:00+00:00,0.0,978.0,0.0,0.0,978.0
2024-01-01 17:00:00+00:00,0.0,958.0,0.0,0.0,958.0
2024-01-01 18:00:00+00:00,0.0,920.0,0.0,0.0,920.0
2024-01-01 19:00:00+00:00,0.0,842.0,0.0,0.0,842.0
2024-01-01 20:00:00+00:00,0.0,744.0,0.0,0.0,744.0
2024-01-01 21:00:00+00:00,0.0,781.0,0.0,0.0,781.0
2024-01-01 22:00:00+00:00,0.0,521.0,0.0,0.0,521.0
2024-01-01 23:00:00+00:00,0.0,685.0,0.0,0.0,685.0
2024-01-02 00:00:00+00:00,0.0,803.0,26.0,3.0,832.0
2024-01-02 01:00:00+00:00,0.0,588.0,0.0,0.0,588.0
2024-01-02 02:00:00+00:00,0.0,744.0,32.0,0.0,776.0
2024-01-02 03:00:00+00:00,0.0,1111.0,213.0,0.0,1324.0
2024-01-02 04:00:00+00:00,0.0,1529.0,133.0,0.0,1662.0
2024-01-02 05:00:00+00:00,0.0,1746.0,137.0,0.0,1883.0
2024-01-02 06:00:00+00:00,0.0,2440.0,129.0,0.0,2569.0
2024-01-02 07:00:00+00:00,0.0,2527.0,0.0,0.0,2527.0
2024-01-02 08:00:00+00:00,0.0,2260.0,0.0,0.0,2260.0
2024-01-02 09:00:00+00:00,0.0,2199.0,0.0,0.0,2199.0
2024-01-02 10:00:00+00:00,0.0,2082.0,0.0,158.0,2240.0
2024-01-02 11:00:00+00:00,0.0,2003.0,0.0,152.0,2155.0
2024-01-02 12:00:00+00:00,0.0,2071.0,0.0,27.0,2098.0
2024-01-02 13:00:00+00:00,0.0,2388.0,0.0,0.0,2388.0
2024-01-02 14:00:00+00:00,0.0,2588.0,172.0,0.0,2760.0
2024-01-02 15:00:00+00:00,0.0,2770.0,285.0,0.0,3055.0
2024-01-02 16:00:00+00:00,0.0,2739.0,281.0,0.0,3020.0
2024-01-02 17:00:00+00:00,0.0,2599.0,195.0,0.0,2794.0
2024-01-02 18:00:00+00:00,0.0,2495.0,12.0,0.0,2507.0
2024-01-02 19:00:00+00:00,0.0,2468.0,29.0,0.0,2497.0
2024-01-02 20:00:00+00:00,0.0,2178.0,275.0,0.0,2453.0
2024-01-02 21:00:00+00:00,0.0,1941.0,420.0,0.0,2361.0
2024-01-02 22:00:00+00:00,0.0,1840.0,402.0,0.0,2242.0
2024-01-02 23:00:00+00:00,0.0,1820.0,518.0,0.0,2338.0
2024-01-03 00:00:00+00:00,0.0,1876.0,522.0,0.0,2398.0
2024-01-03 01:00:00+00:00,0.0,1724.0,416.0,0.0,2140.0
2024-01-03 02:00:00+00:00,0.0,1668.0,328.0,0.0,1996.0
2024-01-03 03:00:00+00:00,0.0,1727.0,379.0,0.0,2106.0
2024-01-03 04:00:00+00:00,0.0,2011.0,566.0,0.0,2577.0
2024-01-03 05:00:00+00:00,0.0,2284.0,484.0,0.0,2768.0
2024-01-03 06:00:00+00:00,0.0,2681.0,469.0,0.0,3150.0
2024-01-03 07:00:00+00:00,0.0,2619.0,344.0,0.0,2963.0
2024-01-03 08:00:00+00:00,0.0,2280.0,675.0,0.0,2955.0
2024-01-03 09:00:00+00:00,0.0,2153.0,545.0,0.0,2698.0
2024-01-03 10:00:00+00:00,0.0,1973.0,341.0,0.0,2314.0
2024-01-03 11:00:00+00:00,0.0,2022.0,254.0,0.0,2276.0
2024-01-03 12:00:00+00:00,0.0,2076.0,186.0,0.0,2262.0
2024-01-03 13:00:00+00:00,0.0,1975.0,0.0,0.0,1975.0
2024-01-03 14:00:00+00:00,0.0,1987.0,0.0,0.0,1987.0
2024-01-03 15:00:00+00:00,0.0,2300.0,142.0,0.0,2442.0
2024-01-03 16:00:00+00:00,0.0,2246.0,142.0,0.0,2388.0
