,DE,SE,NO,UK,NL,sum
2024-01-01 00:00:00+00:00,3518.25,0.0,0.0,0.0,694.0,3691.75
2024-01-01 01:00:00+00:00,3415.25,0.0,0.0,0.0,599.0,3565.0
2024-01-01 02:00:00+00:00,3501.0,0.0,0.0,0.0,649.0,3663.25
2024-01-01 03:00:00+00:00,3424.25,0.0,0.0,365.0,292.0,3588.5
2024-01-01 04:00:00+00:00,2918.0,0.0,0.0,434.0,695.0,3200.25
2024-01-01 05:00:00+00:00,3014.5,0.0,0.0,507.0,623.0,3297.0
2024-01-01 06:00:00+00:00,3281.25,0.0,0.0,464.0,463.0,3513.0
2024-01-01 07:00:00+00:00,3231.0,0.0,0.0,566.0,697.0,3546.75
2024-01-01 08:00:00+00:00,3498.0,0.0,0.0,151.0,698.0,3710.25
2024-01-01 09:00:00+00:00,3389.75,0.0,0.0,0.0,698.0,3564.25
2024-01-01 10:00:00+00:00,3503.5,0.0,0.0,0.0,698.0,3678.0
2024-01-01 11:00:00+00:00,3504.25,0.0,0.0,0.0,697.0,3678.5
2024-01-01 12:00:00+00:00,3489.25,36.0,0.0,0.0,698.0,3672.75
2024-01-01 13:00:00+00:00,3451.5,242.0,0.0,0.0,698.0,3686.5
2024-01-01 14:00:00+00:00,3365.5,9.0,0.0,0.0,673.0,3536.0
2024-01-01 15:00:00+00:00,3391.5,0.0,0.0,0.0,98.0,3416.0
2024-01-01 16:00:00+00:00,3476.0,0.0,0.0,0.0,0.0,3476.0
2024-01-01 17:00:00+00:00,3347.0,0.0,0.0,0.0,90.0,3369.5
2024-01-01 18:00:00+00:00,3528.5,0.0,0.0,0.0,8.0,3530.5
2024-01-01 19:00:00+00:00,3399.0,0.0,0.0,0.0,610.0,3551.5
2024-01-01 20:00:00+00:00,3380.0,0.0,0.0,0.0,560.0,3520.0
2024-01-01 21:00:00+00:00,3351.5,0.0,0.0,53.0,143.0,3400.5
2024-01-01 22:00:00+00:00,2316.75,0.0,0.0,760.0,697.0,2681.0
2024-01-01 23:00:00+00:00,2804.25,0.0,0.0,696.0,698.0,3152.75
2024-01-02 00:00:00+00:00,3047.5,0.0,0.0,469.0,698.0,3339.25
2024-01-02 01:00:00+00:00,2901.0,0.0,0.0,775.0,698.0,3269.25
2024-01-02 02:00:00+00:00,3012.75,0.0,0.0,782.0,698.0,3382.75
2024-01-02 03:00:00+00:00,2794.75,0.0,0.0,781.0,697.0,3164.25
2024-01-02 04:00:00+00:00,2334.5,0.0,0.0,769.0,697.0,2701.0
2024-01-02 05:00:00+00:00,2447.0,0.0,0.0,293.0,684.0,2691.25
2024-01-02 06:00:00+00:00,2290.75,0.0,0.0,98.0,380.0,2410.25
2024-01-02 07:00:00+00:00,2464.75,0.0,0.0,0.0,0.0,2464.75
2024-01-02 08:00:00+00:00,2507.0,0.0,0.0,0.0,0.0,2507.0
2024-01-02 09:00:00+00:00,1381.5,0.0,0.0,0.0,0.0,1381.5
2024-01-02 10:00:00+00:00,820.75,0.0,0.0,0.0,0.0,820.75
2024-01-02 11:00:00+00:00,257.0,0.0,0.0,0.0,0.0,257.0
2024-01-02 12:00:00+00:00,482.75,0.0,0.0,0.0,0.0,482.75
2024-01-02 13:00:00+00:00,220.0,0.0,0.0,0.0,0.0,220.0
2024-01-02 14:00:00+00:00,260.25,8.0,0.0,0.0,0.0,262.25
2024-01-02 15:00:00+00:00,477.5,1.0,0.0,0.0,0.0,477.75
2024-01-02 16:00:00+00:00,282.0,0.0,0.0,0.0,0.0,282.0
2024-01-02 17:00:00+00:00,443.0,0.0,0.0,0.0,0.0,443.0
2024-01-02 18:00:00+00:00,2068.0,0.0,0.0,0.0,0.0,2068.0
2024-01-02 19:00:00+00:00,1889.75,0.0,0.0,0.0,0.0,1889.75
2024-01-02 20:00:00+00:00,2836.5,0.0,0.0,0.0,0.0,2836.5
2024-01-02 21:00:00+00:00,2542.25,0.0,0.0,0.0,0.0,2542.25
2024-01-02 22:00:00+00:00,2961.25,0.0,0.0,0.0,0.0,2961.25
2024-01-02 23:00:00+00:00,3255.5,0.0,0.0,0.0,0.0,3255.5
2024-01-03 00:00:00+00:00,3265.25,0.0,0.0,0.0,77.0,3284.5
2024-01-03 01:00:00+00:00,3215.5,0.0,0.0,0.0,0.0,3215.5
2024-01-03 02:00:00+00:00,3206.0,0.0,0.0,0.0,69.0,3223.25
2024-01-03 03:00:00+00:00,3190.5,0.0,0.0,0.0,256.0,3254.5
2024-01-03 04:00:00+00:00,2930.25,0.0,0.0,0.0,493.0,3053.5
2024-01-03 05:00:00+00:00,2719.5,0.0,0.0,0.0,500.0,2844.5
2024-01-03 06:00:00+00:00,2445.5,0.0,0.0,0.0,0.0,2445.5
2024-01-03 07:00:00+00:00,2804.5,0.0,0.0,0.0,0.0,2804.5
2024-01-03 08:00:00+00:00,3011.25,0.0,0.0,0.0,0.0,3011.25
2024-01-03 09:00:00+00:00,3106.25,0.0,0.0,0.0,0.0,3106.25
2024-01-03 10:00:00+00:00,3271.75,0.0,0.0,0.0,0.0,3271.75
2024-01-03 11:00:00+00:00,3293.0,0.0,0.0,0.0,0.0,3293.0
2024-01-03 12:00:00+00:00,3302.0,0.0,0.0,0.0,0.0,3302.0
2024-01-03 13:00:00+00:00,2940.75,0.0,0.0,0.0,0.0,2940.75
2024-01-03 14:00:00+00:00,2354.5,0.0,0.0,0.0,0.0,2354.5
2024-01-03 15:00:00+00:00,2303.25,0.0,0.0,0.0,0.0,2303.25
2024-01-03 16:00:00+00:00,1086.75,0.0,0.0,0.0,0.0,1086.75
2024-01-03 17:00:00+00:00,140.25,51.0,0.0,0.0,0.0,153.0
2024-01-03 18:00:00+00:00,269.5,0.0,0.0,0.0,0.0,269.5
2024-01-03 19:00:00+00:00,817.5,0.0,0.0,0.0,0.0,817.5
2024-01-03 20:00:00+00:00,1230.75,0.0,0.0,0.0,0.0,1230.75
2024-01-03 21:00:00+00:00,1287.75,156.0,0.0,0.0,0.0,1326.75
2024-01-03 22:00:00+00:00,1984.0,0.0,0.0,0.0,0.0,1984.0
2024-01-03 23:00:00+00:00,2096.5,0.0,0.0,0.0,154.0,2135.0
2024-01-04 00:00:00+00:00,2036.25,0.0,0.0,0.0,697.0,2210.5
2024-01-04 01:00:00+00:00,2398.25,0.0,0.0,0.0,682.0,2568.75
2024-01-04 02:00:00+00:00,2496.5,0.0,0.0,0.0,698.0,2671.0
2024-01-04 03:00:00+00:00,2507.25,0.0,0.0,0.0,682.0,2677.75
2024-01-04 04:00:00+00:00,2072.5,0.0,0.0,0.0,328.0,2154.5
2024-01-04 05:00:00+00:00,1182.25,0.0,0.0,0.0,0.0,1182.25
2024-01-04 06:00:00+00:00,850.0,0.0,0.0,0.0,0.0,850.0
2024-01-04 07:00:00+00:00,757.0,0.0,0.0,73.0,0.0,775.25
