,ES,IT,CH,BE,DE,UK,sum
2023-01-01 00:00:00+00:00,0.0,60.0,190.0,3918.0,2008.0,0.0,6176.0
2023-01-01 01:00:00+00:00,0.0,61.0,78.0,4227.0,1970.0,0.0,6336.0
2023-01-01 02:00:00+00:00,0.0,0.0,0.0,3614.0,1443.0,0.0,5057.0
2023-01-01 03:00:00+00:00,0.0,0.0,0.0,3858.0,1473.0,0.0,5331.0
2023-01-01 04:00:00+00:00,0.0,67.0,0.0,3685.0,1445.0,0.0,5197.0
2023-01-01 05:00:00+00:00,0.0,223.0,0.0,4660.0,1671.0,0.0,6554.0
2023-01-01 06:00:00+00:00,0.0,310.0,0.0,4700.0,1867.0,0.0,6877.0
2023-01-01 07:00:00+00:00,0.0,474.0,0.0,4585.0,2082.0,0.0,7141.0
2023-01-01 08:00:00+00:00,0.0,209.0,0.0,3963.0,2024.0,0.0,6196.0
2023-01-01 09:00:00+00:00,0.0,0.0,0.0,3202.0,1822.0,0.0,5024.0
2023-01-01 10:00:00+00:00,608.0,0.0,0.0,1696.0,1346.0,0.0,3650.0
2023-01-01 11:00:00+00:00,1864.0,0.0,0.0,1696.0,826.0,0.0,4386.0
2023-01-01 12:00:00+00:00,2251.0,0.0,0.0,1076.0,24.0,0.0,3351.0
2023-01-01 13:00:00+00:00,2306.0,0.0,0.0,709.0,0.0,0.0,3015.0
2023-01-01 14:00:00+00:00,2421.0,0.0,0.0,35.0,0.0,0.0,2456.0
2023-01-01 15:00:00+00:00,2349.0,0.0,0.0,0.0,0.0,0.0,2349.0
2023-01-01 16:00:00+00:00,2460.0,0.0,0.0,0.0,0.0,0.0,2460.0
2023-01-01 17:00:00+00:00,2317.0,0.0,0.0,0.0,0.0,0.0,2317.0
2023-01-01 18:00:00+00:00,2496.0,0.0,0.0,0.0,0.0,0.0,2496.0
2023-01-01 19:00:00+00:00,2599.0,0.0,0.0,0.0,0.0,0.0,2599.0
2023-01-01 20:00:00+00:00,2691.0,0.0,0.0,0.0,0.0,0.0,2691.0
2023-01-01 21:00:00+00:00,2808.0,0.0,0.0,0.0,0.0,0.0,2808.0
2023-01-01 22:00:00+00:00,2788.0,0.0,0.0,0.0,0.0,0.0,2788.0
2023-01-01 23:00:00+00:00,3078.0,0.0,0.0,0.0,0.0,0.0,3078.0
2023-01-02 00:00:00+00:00,3002.0,0.0,0.0,0.0,0.0,0.0,3002.0
2023-01-02 01:00:00+00:00,2886.0,0.0,0.0,0.0,0.0,0.0,2886.0
2023-01-02 02:00:00+00:00,2893.0,0.0,0.0,0.0,0.0,0.0,2893.0
2023-01-02 03:00:00+00:00,2777.0,0.0,0.0,0.0,0.0,0.0,2777.0
2023-01-02 04:00:00+00:00,2876.0,0.0,0.0,0.0,0.0,0.0,2876.0
2023-01-02 05:00:00+00:00,2479.0,0.0,0.0,0.0,0.0,0.0,2479.0
2023-01-02 06:00:00+00:00,1863.0,0.0,0.0,0.0,0.0,0.0,1863.0
2023-01-02 07:00:00+00:00,1901.0,0.0,0.0,0.0,0.0,0.0,1901.0
2023-01-02 08:00:00+00:00,1419.0,0.0,0.0,0.0,0.0,0.0,1419.0
2023-01-02 09:00:00+00:00,1661.0,0.0,0.0,0.0,0.0,0.0,1661.0
2023-01-02 10:00:00+00:00,1736.0,0.0,0.0,0.0,0.0,0.0,1736.0
2023-01-02 11:00:00+00:00,1993.0,0.0,0.0,0.0,0.0,0.0,1993.0
2023-01-02 12:00:00+00:00,2275.0,0.0,0.0,0.0,0.0,0.0,2275.0
2023-01-02 13:00:00+00:00,2396.0,0.0,0.0,0.0,0.0,0.0,2396.0
2023-01-02 14:00:00+00:00,2608.0,0.0,0.0,0.0,0.0,0.0,2608.0
2023-01-02 15:00:00+00:00,2544.0,0.0,0.0,0.0,0.0,0.0,2544.0
2023-01-02 16:00:00+00:00,1655.0,0.0,0.0,0.0,0.0,0.0,1655.0
2023-01-02 17:00:00+00:00,406.0,0.0,44.0,434.0,180.0,0.0,1064.0
2023-01-02 18:00:00+00:00,0.0,0.0,314.0,1183.0,691.0,0.0,2188.0
2023-01-02 19:00:00+00:00,0.0,0.0,0.0,1033.0,751.0,0.0,1784.0
2023-01-02 20:00:00+00:00,0.0,0.0,0.0,304.0,616.0,0.0,920.0
2023-01-02 21:00:00+00:00,263.0,0.0,0.0,235.0,418.0,0.0,916.0
2023-01-02 22:00:00+00:00,787.0,0.0,0.0,1083.0,811.0,0.0,2681.0
2023-01-02 23:00:00+00:00,139.0,0.0,0.0,1265.0,519.0,0.0,1923.0
2023-01-03 00:00:00+00:00,0.0,0.0,0.0,760.0,545.0,0.0,1305.0
2023-01-03 01:00:00+00:00,216.0,0.0,0.0,2.0,6.0,0.0,224.0
2023-01-03 02:00:00+00:00,705.0,0.0,0.0,0.0,0.0,0.0,705.0
2023-01-03 03:00:00+00:00,1102.0,0.0,0.0,0.0,0.0,0.0,1102.0
2023-01-03 04:00:00+00:00,1782.0,0.0,0.0,0.0,0.0,88.0,1870.0
2023-01-03 05:00:00+00:00,2309.0,0.0,0.0,0.0,0.0,1144.0,3453.0
2023-01-03 06:00:00+00:00,2286.0,0.0,0.0,0.0,0.0,520.0,2806.0
2023-01-03 07:00:00+00:00,2089.0,0.0,0.0,0.0,0.0,531.0,2620.0
2023-01-03 08:00:00+00:00,2160.0,0.0,0.0,0.0,0.0,0.0,2160.0
2023-01-03 09:00:00+00:00,2059.0,0.0,0.0,0.0,0.0,0.0,2059.0
2023-01-03 10:00:00+00:00,1916.0,0.0,0.0,0.0,0.0,0.0,1916.0
2023-01-03 11:00:00+00:00,1901.0,0.0,0.0,0.0,0.0,0.0,1901.0
2023-01-03 12:00:00+00:00,1951.0,0.0,0.0,0.0,0.0,0.0,1951.0
