,AL,BG,TR,IT,MK,sum
2024-01-01 00:00:00+00:00,335.0,699.0,85.0,0.0,709.0,1828.0
2024-01-01 01:00:00+00:00,346.0,717.0,93.0,0.0,731.0,1887.0
2024-01-01 02:00:00+00:00,350.0,674.0,72.0,0.0,736.0,1832.0
2024-01-01 03:00:00+00:00,348.0,666.0,74.0,0.0,756.0,1844.0
2024-01-01 04:00:00+00:00,353.0,615.0,57.0,0.0,764.0,1789.0
2024-01-01 05:00:00+00:00,397.0,665.0,64.0,0.0,830.0,1956.0
2024-01-01 06:00:00+00:00,398.0,620.0,36.0,0.0,898.0,1952.0
2024-01-01 07:00:00+00:00,364.0,620.0,16.0,0.0,840.0,1840.0
2024-01-01 08:00:00+00:00,275.0,655.0,53.0,0.0,759.0,1742.0
2024-01-01 09:00:00+00:00,223.0,627.0,12.0,0.0,701.0,1563.0
2024-01-01 10:00:00+00:00,145.0,597.0,12.0,0.0,578.0,1332.0
2024-01-01 11:00:00+00:00,88.0,561.0,12.0,0.0,496.0,1157.0
2024-01-01 12:00:00+00:00,107.0,544.0,15.0,0.0,443.0,1109.0
2024-01-01 13:00:00+00:00,266.0,618.0,64.0,0.0,604.0,1552.0
2024-01-01 14:00:00+00:00,353.0,642.0,95.0,0.0,757.0,1847.0
2024-01-01 15:00:00+00:00,293.0,596.0,148.0,0.0,661.0,1698.0
2024-01-01 16:00:00+00:00,341.0,645.0,166.0,0.0,674.0,1826.0
2024-01-01 17:00:00+00:00,335.0,670.0,158.0,0.0,685.0,1848.0
2024-01-01 18:00:00+00:00,328.0,694.0,172.0,0.0,677.0,1871.0
2024-01-01 19:00:00+00:00,309.0,719.0,186.0,0.0,671.0,1885.0
2024-01-01 20:00:00+00:00,258.0,725.0,165.0,0.0,638.0,1786.0
2024-01-01 21:00:00+00:00,225.0,807.0,157.0,0.0,613.0,1802.0
2024-01-01 22:00:00+00:00,220.0,818.0,139.0,0.0,574.0,1751.0
2024-01-01 23:00:00+00:00,214.0,821.0,173.0,0.0,605.0,1813.0
2024-01-02 00:00:00+00:00,240.0,835.0,188.0,0.0,654.0,1917.0
2024-01-02 01:00:00+00:00,218.0,771.0,153.0,0.0,648.0,1790.0
2024-01-02 02:00:00+00:00,224.0,700.0,126.0,0.0,683.0,1733.0
2024-01-02 03:00:00+00:00,298.0,706.0,114.0,0.0,787.0,1905.0
2024-01-02 04:00:00+00:00,348.0,668.0,130.0,0.0,817.0,1963.0
2024-01-02 05:00:00+00:00,354.0,503.0,65.0,0.0,733.0,1655.0
2024-01-02 06:00:00+00:00,361.0,410.0,43.0,0.0,698.0,1512.0
2024-01-02 07:00:00+00:00,338.0,421.0,104.0,0.0,620.0,1483.0
2024-01-02 08:00:00+00:00,289.0,303.0,59.0,0.0,492.0,1143.0
2024-01-02 09:00:00+00:00,279.0,360.0,129.0,0.0,519.0,1287.0
2024-01-02 10:00:00+00:00,144.0,351.0,129.0,0.0,357.0,981.0
2024-01-02 11:00:00+00:00,132.0,307.0,89.0,0.0,346.0,874.0
2024-01-02 12:00:00+00:00,158.0,334.0,113.0,0.0,358.0,963.0
2024-01-02 13:00:00+00:00,328.0,425.0,101.0,0.0,604.0,1458.0
2024-01-02 14:00:00+00:00,366.0,442.0,153.0,0.0,630.0,1591.0
2024-01-02 15:00:00+00:00,450.0,479.0,172.0,0.0,657.0,1758.0
2024-01-02 16:00:00+00:00,426.0,464.0,161.0,0.0,650.0,1701.0
2024-01-02 17:00:00+00:00,437.0,479.0,157.0,0.0,661.0,1734.0
2024-01-02 18:00:00+00:00,446.0,502.0,163.0,0.0,683.0,1794.0
2024-01-02 19:00:00+00:00,435.0,543.0,194.0,0.0,730.0,1902.0
2024-01-02 20:00:00+00:00,399.0,561.0,199.0,0.0,730.0,1889.0
2024-01-02 21:00:00+00:00,333.0,554.0,120.0,0.0,637.0,1644.0
2024-01-02 22:00:00+00:00,362.0,551.0,73.0,0.0,627.0,1613.0
2024-01-02 23:00:00+00:00,306.0,584.0,95.0,0.0,622.0,1607.0
2024-01-03 00:00:00+00:00,367.0,614.0,109.0,0.0,705.0,1795.0
2024-01-03 01:00:00+00:00,428.0,659.0,87.0,0.0,790.0,1964.0
2024-01-03 02:00:00+00:00,421.0,643.0,85.0,0.0,811.0,1960.0
2024-01-03 03:00:00+00:00,395.0,616.0,80.0,0.0,777.0,1868.0
2024-01-03 04:00:00+00:00,443.0,578.0,78.0,0.0,783.0,1882.0
2024-01-03 05:00:00+00:00,490.0,535.0,105.0,0.0,860.0,1990.0
2024-01-03 06:00:00+00:00,432.0,452.0,160.0,0.0,774.0,1818.0
2024-01-03 07:00:00+00:00,369.0,410.0,171.0,0.0,659.0,1609.0
2024-01-03 08:00:00+00:00,326.0,344.0,134.0,0.0,577.0,1381.0
2024-01-03 09:00:00+00:00,279.0,412.0,188.0,0.0,534.0,1413.0
2024-01-03 10:00:00+00:00,305.0,421.0,193.0,0.0,560.0,1479.0
2024-01-03 11:00:00+00:00,350.0,504.0,213.0,0.0,645.0,1712.0
2024-01-03 12:00:00+00:00,331.0,536.0,225.0,0.0,600.0,1692.0
2024-01-03 13:00:00+00:00,323.0,544.0,230.0,0.0,610.0,1707.0
2024-01-03 14:00:00+00:00,267.0,425.0,188.0,0.0,468.0,1348.0
2024-01-03 15:00:00+00:00,292.0,470.0,212.0,0.0,495.0,1469.0
2024-01-03 16:00:00+00:00,179.0,341.0,168.0,162.0,342.0,1192.0
2024-01-03 17:00:00+00:00,286.0,460.0,188.0,0.0,490.0,1424.0
2024-01-03 18:00:00+00:00,342.0,498.0,203.0,0.0,595.0,1638.0
2024-01-03 19:00:00+00:00,309.0,579.0,234.0,0.0,605.0,1727.0
2024-01-03 20:00:00+00:00,272.0,659.0,256.0,0.0,628.0,1815.0
2024-01-03 21:00:00+00:00,194.0,676.0,247.0,0.0,505.0,1622.0
2024-01-03 22:00:00+00:00,191.0,698.0,250.0,0.0,469.0,1608.0
2024-01-03 23:00:00+00:00,204.0,738.0,158.0,0.0,510.0,1610.0
2024-01-04 00:00:00+00:00,215.0,764.0,151.0,0.0,567.0,1697.0
2024-01-04 01:00:00+00:00,250.0,793.0,132.0,0.0,641.0,1816.0
2024-01-04 02:00:00+00:00,241.0,753.0,94.0,0.0,632.0,1720.0
2024-01-04 03:00:00+00:00,229.0,718.0,81.0,40.0,604.0,1672.0
2024-01-04 04:00:00+00:00,320.0,687.0,137.0,0.0,707.0,1851.0
2024-01-04 05:00:00+00:00,345.0,600.0,170.0,0.0,709.0,1824.0
2024-01-04 06:00:00+00:00,305.0,492.0,185.0,0.0,581.0,1563.0
2024-01-04 07:00:00+00:00,86.0,264.0,139.0,0.0,165.0,654.0
2024-01-04 08:00:00+00:00,0.0,51.0,73.0,0.0,1.0,125.0
2024-01-04 09:00:00+00:00,0.0,0.0,60.0,101.0,0.0,161.0
2024-01-04 10:00:00+00:00,0.0,0.0,40.0,426.0,0.0,466.0
2024-01-04 11:00:00+00:00,0.0,0.0,47.0,428.0,0.0,475.0
2024-01-04 12:00:00+00:00,0.0,0.0,42.0,292.0,0.0,334.0
2024-01-04 13:00:00+00:00,69.0,22.0,83.0,0.0,61.0,235.0
2024-01-04 14:00:00+00:00,253.0,58.0,124.0,0.0,269.0,704.0
2024-01-04 15:00:00+00:00,84.0,0.0,65.0,0.0,6.0,155.0
2024-01-04 16:00:00+00:00,65.0,0.0,62.0,0.0,1.0,128.0
2024-01-04 17:00:00+00:00,5.0,3.0,104.0,0.0,0.0,112.0
2024-01-04 18:00:00+00:00,113.0,117.0,148.0,0.0,91.0,469.0
2024-01-04 19:00:00+00:00,185.0,192.0,185.0,0.0,204.0,766.0
2024-01-04 20:00:00+00:00,244.0,377.0,241.0,0.0,376.0,1238.0
2024-01-04 21:00:00+00:00,176.0,507.0,303.0,0.0,338.0,1324.0
2024-01-04 22:00:00+00:00,135.0,489.0,308.0,0.0,247.0,1179.0
2024-01-04 23:00:00+00:00,224.0,625.0,344.0,0.0,463.0,1656.0
2024-01-05 00:00:00+00:00,302.0,716.0,374.0,0.0,619.0,2011.0
2024-01-05 01:00:00+00:00,400.0,692.0,350.0,0.0,665.0,2107.0
2024-01-05 02:00:00+00:00,405.0,676.0,327.0,0.0,688.0,2096.0
2024-01-05 03:00:00+00:00,445.0,658.0,330.0,0.0,738.0,2171.0
2024-01-05 04:00:00+00:00,435.0,504.0,270.0,87.0,681.0,1977.0
2024-01-05 05:00:00+00:00,403.0,428.0,248.0,0.0,587.0,1666.0
