,AT,HR,RO,RS,SK,SI,UA,sum
2022-01-01 00:00:00+00:00,502.25,0.0,0.0,0.0,1381.0,0.0,155.0,886.25
2022-01-01 01:00:00+00:00,367.75,0.0,0.0,0.0,1206.0,0.0,148.0,706.25
2022-01-01 02:00:00+00:00,303.75,0.0,0.0,0.0,1145.0,0.0,136.0,624.0
2022-01-01 03:00:00+00:00,299.0,0.0,0.0,0.0,1122.0,0.0,136.0,613.5
2022-01-01 04:00:00+00:00,274.75,0.0,0.0,0.0,1100.0,0.0,140.0,584.75
2022-01-01 05:00:00+00:00,191.5,0.0,2.0,0.0,1084.0,0.0,137.0,498.75
2022-01-01 06:00:00+00:00,62.75,0.0,12.0,10.0,970.0,0.0,194.0,368.25
2022-01-01 07:00:00+00:00,84.5,0.0,40.0,12.0,1031.0,0.0,179.0,430.0
2022-01-01 08:00:00+00:00,4.75,0.0,95.0,1.0,936.0,0.0,135.0,367.75
2022-01-01 09:00:00+00:00,109.0,0.0,124.0,0.0,782.0,0.0,81.0,448.75
2022-01-01 10:00:00+00:00,304.25,0.0,131.75,0.0,537.0,0.0,25.0,576.5
2022-01-01 11:00:00+00:00,262.0,0.0,107.5,1.0,593.0,0.0,60.0,533.0
2022-01-01 12:00:00+00:00,318.5,0.0,66.25,1.0,567.0,0.0,107.0,553.5
2022-01-01 13:00:00+00:00,273.25,0.0,63.25,24.0,725.0,0.0,132.0,556.75
2022-01-01 14:00:00+00:00,308.5,0.0,9.5,15.0,1053.0,0.0,124.0,616.0
2022-01-01 15:00:00+00:00,431.0,0.0,1.5,22.0,1288.0,0.0,138.0,794.5
2022-01-01 16:00:00+00:00,357.25,0.0,16.0,1.0,1485.0,0.0,191.0,792.5
2022-01-01 17:00:00+00:00,341.25,0.0,20.0,3.0,1527.0,0.0,197.0,793.0
2022-01-01 18:00:00+00:00,313.5,0.0,12.0,3.0,1604.0,0.0,218.0,781.75
2022-01-01 19:00:00+00:00,301.5,0.0,19.0,3.0,1558.0,0.0,157.0,750.0
2022-01-01 20:00:00+00:00,256.5,0.0,11.25,0.0,1671.0,0.0,187.0,732.25
2022-01-01 21:00:00+00:00,17.0,0.0,67.75,2.0,1625.0,0.0,221.0,546.75
2022-01-01 22:00:00+00:00,0.0,0.0,92.75,0.0,1513.0,0.0,134.0,504.5
2022-01-01 23:00:00+00:00,0.25,0.0,14.0,0.0,1997.0,0.0,191.0,561.25
