,FR,SI,CH,AT,GR,MT,ME,sum
2023-01-01 00:00:00+00:00,0.0,965.0,1997.0,214.0,0.0,0.0,590.0,3766.0
2023-01-01 01:00:00+00:00,0.0,1054.0,1839.0,204.0,0.0,1.0,590.0,3688.0
2023-01-01 02:00:00+00:00,33.0,908.0,1664.0,217.0,0.0,0.0,452.0,3274.0
2023-01-01 03:00:00+00:00,6.0,799.0,2218.0,212.0,0.0,0.0,1.0,3236.0
2023-01-01 04:00:00+00:00,0.0,717.0,2277.0,194.0,0.0,0.0,1.0,3189.0
2023-01-01 05:00:00+00:00,0.0,833.0,2563.0,221.0,0.0,0.0,1.0,3618.0
2023-01-01 06:00:00+00:00,0.0,916.0,2554.0,210.0,0.0,0.0,1.0,3681.0
2023-01-01 07:00:00+00:00,0.0,841.0,2069.0,200.0,0.0,0.0,1.0,3111.0
2023-01-01 08:00:00+00:00,0.0,739.0,2347.0,186.0,210.0,0.0,81.0,3563.0
2023-01-01 09:00:00+00:00,12.0,734.0,1921.0,189.0,500.0,0.0,542.0,3898.0
2023-01-01 10:00:00+00:00,379.0,776.0,1543.0,195.0,508.0,0.0,599.0,4000.0
2023-01-01 11:00:00+00:00,799.0,624.0,1306.0,200.0,508.0,4.0,601.0,4042.0
2023-01-01 12:00:00+00:00,1109.0,675.0,507.0,171.0,505.0,2.0,601.0,3570.0
2023-01-01 13:00:00+00:00,1142.0,594.0,700.0,191.0,160.0,0.0,601.0,3388.0
2023-01-01 14:00:00+00:00,1664.0,454.0,1123.0,164.0,0.0,0.0,601.0,4006.0
2023-01-01 15:00:00+00:00,1919.0,163.0,1056.0,155.0,0.0,0.0,600.0,3893.0
2023-01-01 16:00:00+00:00,2339.0,88.0,459.0,156.0,0.0,0.0,589.0,3631.0
2023-01-01 17:00:00+00:00,2097.0,164.0,710.0,174.0,0.0,0.0,569.0,3714.0
2023-01-01 18:00:00+00:00,1891.0,277.0,946.0,170.0,0.0,21.0,572.0,3877.0
2023-01-01 19:00:00+00:00,1852.0,314.0,1279.0,109.0,0.0,0.0,492.0,4046.0
2023-01-01 20:00:00+00:00,1866.0,341.0,1248.0,108.0,0.0,0.0,500.0,4063.0
2023-01-01 21:00:00+00:00,1673.0,459.0,1123.0,124.0,0.0,0.0,484.0,3863.0
2023-01-01 22:00:00+00:00,1588.0,448.0,988.0,136.0,0.0,0.0,580.0,3740.0
2023-01-01 23:00:00+00:00,2015.0,331.0,498.0,167.0,0.0,0.0,589.0,3600.0
2023-01-02 00:00:00+00:00,1450.0,320.0,239.0,149.0,0.0,0.0,600.0,2758.0
2023-01-02 01:00:00+00:00,1276.0,257.0,386.0,162.0,0.0,0.0,601.0,2682.0
2023-01-02 02:00:00+00:00,1386.0,193.0,142.0,170.0,0.0,0.0,601.0,2492.0
2023-01-02 03:00:00+00:00,1406.0,24.0,221.0,165.0,0.0,0.0,601.0,2417.0
2023-01-02 04:00:00+00:00,1626.0,87.0,278.0,200.0,0.0,0.0,601.0,2792.0
2023-01-02 05:00:00+00:00,2066.0,33.0,691.0,192.0,0.0,0.0,601.0,3583.0
2023-01-02 06:00:00+00:00,2070.0,155.0,809.0,195.0,0.0,0.0,601.0,3830.0
