,BY,LV,PL,SE,sum
2022-01-01 00:00:00+00:00,509.0,0.0,0.0,592.0,1101.0
2022-01-01 01:00:00+00:00,546.0,0.0,0.0,576.0,1122.0
2022-01-01 02:00:00+00:00,512.0,0.0,0.0,681.0,1193.0
2022-01-01 03:00:00+00:00,493.0,0.0,0.0,734.0,1227.0
2022-01-01 04:00:00+00:00,506.0,0.0,0.0,726.0,1232.0
2022-01-01 05:00:00+00:00,363.0,0.0,0.0,412.0,775.0
2022-01-01 06:00:00+00:00,426.0,0.0,0.0,429.0,855.0
2022-01-01 07:00:00+00:00,585.0,0.0,0.0,231.0,816.0
2022-01-01 08:00:00+00:00,634.0,0.0,0.0,95.0,729.0
2022-01-01 09:00:00+00:00,616.0,0.0,146.0,0.0,762.0
2022-01-01 10:00:00+00:00,590.0,0.0,117.0,62.0,769.0
2022-01-01 11:00:00+00:00,568.0,0.0,367.0,0.0,935.0
2022-01-01 12:00:00+00:00,530.0,2.0,460.0,0.0,992.0
2022-01-01 13:00:00+00:00,400.0,0.0,451.0,0.0,851.0
2022-01-01 14:00:00+00:00,363.0,0.0,447.0,218.0,1028.0
2022-01-01 15:00:00+00:00,371.0,0.0,302.0,249.0,922.0
2022-01-01 16:00:00+00:00,486.0,0.0,14.0,448.0,948.0
2022-01-01 17:00:00+00:00,449.0,0.0,0.0,527.0,976.0
2022-01-01 18:00:00+00:00,542.0,0.0,0.0,730.0,1272.0
2022-01-01 19:00:00+00:00,511.0,0.0,0.0,733.0,1244.0
2022-01-01 20:00:00+00:00,444.0,0.0,0.0,734.0,1178.0
2022-01-01 21:00:00+00:00,450.0,0.0,0.0,734.0,1184.0
2022-01-01 22:00:00+00:00,244.0,0.0,401.0,734.0,1379.0
2022-01-01 23:00:00+00:00,282.0,0.0,491.0,734.0,1507.0
2022-01-02 00:00:00+00:00,303.0,0.0,492.0,734.0,1529.0
2022-01-02 01:00:00+00:00,325.0,0.0,492.0,734.0,1551.0
2022-01-02 02:00:00+00:00,345.0,0.0,492.0,734.0,1571.0
2022-01-02 03:00:00+00:00,363.0,0.0,492.0,734.0,1589.0
2022-01-02 04:00:00+00:00,342.0,0.0,492.0,734.0,1568.0
2022-01-02 05:00:00+00:00,341.0,0.0,490.0,734.0,1565.0
2022-01-02 06:00:00+00:00,220.0,0.0,256.0,734.0,1210.0
2022-01-02 07:00:00+00:00,254.0,0.0,78.0,734.0,1066.0
2022-01-02 08:00:00+00:00,238.0,0.0,315.0,734.0,1287.0
2022-01-02 09:00:00+00:00,359.0,0.0,58.0,734.0,1151.0
2022-01-02 10:00:00+00:00,349.0,0.0,218.0,734.0,1301.0
2022-01-02 11:00:00+00:00,362.0,0.0,300.0,726.0,1388.0
2022-01-02 12:00:00+00:00,398.0,0.0,299.0,612.0,1309.0
2022-01-02 13:00:00+00:00,365.0,0.0,143.0,734.0,1242.0
2022-01-02 14:00:00+00:00,359.0,0.0,284.0,734.0,1377.0
2022-01-02 15:00:00+00:00,349.0,0.0,231.0,614.0,1194.0
2022-01-02 16:00:00+00:00,327.0,0.0,241.0,687.0,1255.0
2022-01-02 17:00:00+00:00,332.0,0.0,481.0,604.0,1417.0
2022-01-02 18:00:00+00:00,427.0,0.0,143.0,713.0,1283.0
2022-01-02 19:00:00+00:00,344.0,0.0,247.0,720.0,1311.0
2022-01-02 20:00:00+00:00,415.0,0.0,442.0,426.0,1283.0
2022-01-02 21:00:00+00:00,444.0,0.0,59.0,722.0,1225.0
2022-01-02 22:00:00+00:00,363.0,0.0,269.0,734.0,1366.0
2022-01-02 23:00:00+00:00,325.0,0.0,489.0,734.0,1548.0
2022-01-03 00:00:00+00:00,346.0,0.0,492.0,734.0,1572.0
2022-01-03 01:00:00+00:00,310.0,0.0,492.0,734.0,1536.0
2022-01-03 02:00:00+00:00,178.0,0.0,492.0,734.0,1404.0
2022-01-03 03:00:00+00:00,245.0,0.0,492.0,734.0,1471.0
2022-01-03 04:00:00+00:00,323.0,0.0,492.0,734.0,1549.0
2022-01-03 05:00:00+00:00,132.0,0.0,436.0,734.0,1302.0
2022-01-03 06:00:00+00:00,217.0,0.0,489.0,734.0,1440.0
2022-01-03 07:00:00+00:00,256.0,0.0,182.0,734.0,1172.0
2022-01-03 08:00:00+00:00,192.0,0.0,242.0,734.0,1168.0
2022-01-03 09:00:00+00:00,319.0,0.0,322.0,734.0,1375.0
2022-01-03 10:00:00+00:00,276.0,0.0,347.0,734.0,1357.0
2022-01-03 11:00:00+00:00,294.0,0.0,479.0,734.0,1507.0
2022-01-03 12:00:00+00:00,335.0,0.0,439.0,734.0,1508.0
2022-01-03 13:00:00+00:00,340.0,0.0,485.0,734.0,1559.0
2022-01-03 14:00:00+00:00,264.0,0.0,482.0,734.0,1480.0
2022-01-03 15:00:00+00:00,291.0,0.0,202.0,734.0,1227.0
2022-01-03 16:00:00+00:00,307.0,0.0,1.0,725.0,1033.0
2022-01-03 17:00:00+00:00,372.0,0.0,0.0,693.0,1065.0
2022-01-03 18:00:00+00:00,495.0,0.0,0.0,733.0,1228.0
2022-01-03 19:00:00+00:00,542.0,0.0,0.0,734.0,1276.0
2022-01-03 20:00:00+00:00,459.0,0.0,48.0,734.0,1241.0
2022-01-03 21:00:00+00:00,438.0,0.0,0.0,734.0,1172.0
2022-01-03 22:00:00+00:00,465.0,0.0,0.0,734.0,1199.0
2022-01-03 23:00:00+00:00,471.0,0.0,61.0,734.0,1266.0
2022-01-04 00:00:00+00:00,446.0,0.0,50.0,734.0,1230.0
2022-01-04 01:00:00+00:00,450.0,0.0,0.0,734.0,1184.0
2022-01-04 02:00:00+00:00,440.0,0.0,0.0,734.0,1174.0
2022-01-04 03:00:00+00:00,450.0,0.0,0.0,730.0,1180.0
2022-01-04 04:00:00+00:00,475.0,0.0,0.0,610.0,1085.0
2022-01-04 05:00:00+00:00,485.0,204.0,0.0,232.0,921.0
2022-01-04 06:00:00+00:00,430.0,235.0,0.0,348.0,1013.0
2022-01-04 07:00:00+00:00,506.0,249.0,0.0,185.0,940.0
2022-01-04 08:00:00+00:00,561.0,330.0,0.0,203.0,1094.0
2022-01-04 09:00:00+00:00,518.0,354.0,0.0,243.0,1115.0
2022-01-04 10:00:00+00:00,542.0,311.0,0.0,313.0,1166.0
2022-01-04 11:00:00+00:00,575.0,287.0,0.0,571.0,1433.0
2022-01-04 12:00:00+00:00,571.0,227.0,0.0,636.0,1434.0
2022-01-04 13:00:00+00:00,594.0,191.0,0.0,684.0,1469.0
2022-01-04 14:00:00+00:00,589.0,237.0,0.0,715.0,1541.0
2022-01-04 15:00:00+00:00,545.0,202.0,0.0,545.0,1292.0
2022-01-04 16:00:00+00:00,550.0,254.0,0.0,430.0,1234.0
2022-01-04 17:00:00+00:00,589.0,202.0,0.0,396.0,1187.0
2022-01-04 18:00:00+00:00,571.0,95.0,0.0,694.0,1360.0
2022-01-04 19:00:00+00:00,664.0,257.0,0.0,541.0,1462.0
2022-01-04 20:00:00+00:00,505.0,0.0,0.0,620.0,1125.0
2022-01-04 21:00:00+00:00,561.0,0.0,0.0,641.0,1202.0
2022-01-04 22:00:00+00:00,541.0,0.0,0.0,734.0,1275.0
2022-01-04 23:00:00+00:00,657.0,21.0,0.0,734.0,1412.0
2022-01-05 00:00:00+00:00,595.0,7.0,66.0,734.0,1402.0
2022-01-05 01:00:00+00:00,611.0,1.0,2.0,734.0,1348.0
2022-01-05 02:00:00+00:00,474.0,0.0,189.0,700.0,1363.0
2022-01-05 03:00:00+00:00,310.0,0.0,327.0,733.0,1370.0
2022-01-05 04:00:00+00:00,167.0,0.0,367.0,734.0,1268.0
2022-01-05 05:00:00+00:00,87.0,0.0,489.0,734.0,1310.0
2022-01-05 06:00:00+00:00,118.0,0.0,491.0,734.0,1343.0
2022-01-05 07:00:00+00:00,151.0,0.0,200.0,734.0,1085.0
2022-01-05 08:00:00+00:00,200.0,0.0,251.0,734.0,1185.0
2022-01-05 09:00:00+00:00,179.0,0.0,368.0,734.0,1281.0
2022-01-05 10:00:00+00:00,180.0,0.0,450.0,734.0,1364.0
2022-01-05 11:00:00+00:00,175.0,0.0,491.0,734.0,1400.0
2022-01-05 12:00:00+00:00,208.0,0.0,492.0,734.0,1434.0
2022-01-05 13:00:00+00:00,226.0,0.0,492.0,734.0,1452.0
2022-01-05 14:00:00+00:00,240.0,0.0,492.0,734.0,1466.0
2022-01-05 15:00:00+00:00,278.0,0.0,257.0,734.0,1269.0
2022-01-05 16:00:00+00:00,314.0,0.0,105.0,721.0,1140.0
2022-01-05 17:00:00+00:00,343.0,0.0,486.0,181.0,1010.0
2022-01-05 18:00:00+00:00,338.0,0.0,437.0,212.0,987.0
2022-01-05 19:00:00+00:00,439.0,0.0,83.0,709.0,1231.0
2022-01-05 20:00:00+00:00,298.0,0.0,187.0,648.0,1133.0
2022-01-05 21:00:00+00:00,405.0,0.0,8.0,733.0,1146.0
2022-01-05 22:00:00+00:00,467.0,0.0,0.0,734.0,1201.0
2022-01-05 23:00:00+00:00,651.0,47.0,0.0,734.0,1432.0
2022-01-06 00:00:00+00:00,631.0,16.0,0.0,734.0,1381.0
2022-01-06 01:00:00+00:00,607.0,31.0,0.0,734.0,1372.0
2022-01-06 02:00:00+00:00,489.0,47.0,136.0,734.0,1406.0
2022-01-06 03:00:00+00:00,347.0,0.0,301.0,728.0,1376.0
2022-01-06 04:00:00+00:00,240.0,0.0,253.0,549.0,1042.0
2022-01-06 05:00:00+00:00,188.0,0.0,489.0,466.0,1143.0
2022-01-06 06:00:00+00:00,182.0,0.0,491.0,519.0,1192.0
2022-01-06 07:00:00+00:00,279.0,173.0,492.0,149.0,1093.0
2022-01-06 08:00:00+00:00,336.0,337.0,423.0,0.0,1096.0
2022-01-06 09:00:00+00:00,350.0,426.0,280.0,0.0,1056.0
2022-01-06 10:00:00+00:00,323.0,572.0,64.0,0.0,959.0
2022-01-06 11:00:00+00:00,364.0,583.0,119.0,0.0,1066.0
2022-01-06 12:00:00+00:00,343.0,385.0,259.0,47.0,1034.0
2022-01-06 13:00:00+00:00,357.0,260.0,221.0,171.0,1009.0
2022-01-06 14:00:00+00:00,448.0,533.0,2.0,136.0,1119.0
