,EE,LT,RU,sum
2022-01-01 00:00:00+00:00,213.0,312.0,13.0,538.0
2022-01-01 01:00:00+00:00,196.0,319.0,3.0,518.0
2022-01-01 02:00:00+00:00,161.0,346.0,0.0,507.0
2022-01-01 03:00:00+00:00,133.0,381.0,0.0,514.0
2022-01-01 04:00:00+00:00,140.0,369.0,0.0,509.0
2022-01-01 05:00:00+00:00,133.0,418.0,0.0,551.0
2022-01-01 06:00:00+00:00,123.0,432.0,0.0,555.0
2022-01-01 07:00:00+00:00,325.0,165.0,47.0,537.0
2022-01-01 08:00:00+00:00,360.0,120.0,52.0,532.0
2022-01-01 09:00:00+00:00,337.0,157.0,31.0,525.0
2022-01-01 10:00:00+00:00,314.0,187.0,30.0,531.0
2022-01-01 11:00:00+00:00,332.0,80.0,23.0,435.0
2022-01-01 12:00:00+00:00,300.0,0.0,6.0,306.0
2022-01-01 13:00:00+00:00,90.0,279.0,0.0,369.0
2022-01-01 14:00:00+00:00,40.0,398.0,0.0,438.0
2022-01-01 15:00:00+00:00,83.0,371.0,0.0,454.0
2022-01-01 16:00:00+00:00,133.0,297.0,0.0,430.0
2022-01-01 17:00:00+00:00,91.0,354.0,0.0,445.0
2022-01-01 18:00:00+00:00,98.0,244.0,0.0,342.0
2022-01-01 19:00:00+00:00,99.0,249.0,0.0,348.0
2022-01-01 20:00:00+00:00,0.0,370.0,0.0,370.0
2022-01-01 21:00:00+00:00,50.0,313.0,0.0,363.0
2022-01-01 22:00:00+00:00,0.0,687.0,0.0,687.0
2022-01-01 23:00:00+00:00,0.0,858.0,0.0,858.0
2022-01-02 00:00:00+00:00,0.0,733.0,0.0,733.0
2022-01-02 01:00:00+00:00,0.0,602.0,0.0,602.0
2022-01-02 02:00:00+00:00,30.0,528.0,0.0,558.0
2022-01-02 03:00:00+00:00,74.0,480.0,0.0,554.0
2022-01-02 04:00:00+00:00,37.0,462.0,0.0,499.0
2022-01-02 05:00:00+00:00,0.0,496.0,0.0,496.0
2022-01-02 06:00:00+00:00,0.0,559.0,0.0,559.0
2022-01-02 07:00:00+00:00,44.0,493.0,0.0,537.0
2022-01-02 08:00:00+00:00,0.0,507.0,0.0,507.0
2022-01-02 09:00:00+00:00,155.0,291.0,6.0,452.0
2022-01-02 10:00:00+00:00,143.0,320.0,3.0,466.0
2022-01-02 11:00:00+00:00,111.0,374.0,0.0,485.0
2022-01-02 12:00:00+00:00,164.0,293.0,9.0,466.0
2022-01-02 13:00:00+00:00,146.0,226.0,8.0,380.0
2022-01-02 14:00:00+00:00,149.0,285.0,1.0,435.0
2022-01-02 15:00:00+00:00,169.0,266.0,1.0,436.0
2022-01-02 16:00:00+00:00,108.0,358.0,0.0,466.0
2022-01-02 17:00:00+00:00,113.0,332.0,0.0,445.0
2022-01-02 18:00:00+00:00,126.0,290.0,0.0,416.0
2022-01-02 19:00:00+00:00,102.0,388.0,0.0,490.0
2022-01-02 20:00:00+00:00,103.0,427.0,0.0,530.0
2022-01-02 21:00:00+00:00,149.0,449.0,0.0,598.0
2022-01-02 22:00:00+00:00,168.0,439.0,0.0,607.0
2022-01-02 23:00:00+00:00,36.0,569.0,0.0,605.0
2022-01-03 00:00:00+00:00,0.0,657.0,0.0,657.0
2022-01-03 01:00:00+00:00,0.0,668.0,0.0,668.0
2022-01-03 02:00:00+00:00,0.0,730.0,0.0,730.0
2022-01-03 03:00:00+00:00,0.0,734.0,0.0,734.0
2022-01-03 04:00:00+00:00,47.0,622.0,0.0,669.0
2022-01-03 05:00:00+00:00,96.0,495.0,0.0,591.0
2022-01-03 06:00:00+00:00,181.0,396.0,21.0,598.0
2022-01-03 07:00:00+00:00,219.0,402.0,32.0,653.0
2022-01-03 08:00:00+00:00,197.0,391.0,14.0,602.0
2022-01-03 09:00:00+00:00,243.0,401.0,30.0,674.0
