,DE,LT,CZ,SK,UA,SE,sum
2022-01-01 00:00:00+00:00,396.0,366.0,0.0,0.0,0.0,498.0,1260.0
2022-01-01 01:00:00+00:00,408.0,480.0,0.0,0.0,0.0,498.0,1386.0
2022-01-01 02:00:00+00:00,450.0,302.0,0.0,0.0,0.0,498.0,1250.0
2022-01-01 03:00:00+00:00,367.0,301.0,0.0,0.0,0.0,498.0,1166.0
2022-01-01 04:00:00+00:00,333.0,298.0,0.0,0.0,0.0,501.0,1132.0
2022-01-01 05:00:00+00:00,325.0,60.0,0.0,0.0,0.0,598.0,983.0
2022-01-01 06:00:00+00:00,219.0,101.0,0.0,0.0,0.0,598.0,918.0
2022-01-01 07:00:00+00:00,5.0,298.0,0.0,0.0,0.0,587.0,890.0
2022-01-01 08:00:00+00:00,19.0,182.0,0.0,0.0,0.0,414.0,615.0
2022-01-01 09:00:00+00:00,379.0,1.0,0.0,2.0,0.0,16.0,398.0
2022-01-01 10:00:00+00:00,449.0,0.0,146.0,92.0,0.0,0.0,687.0
2022-01-01 11:00:00+00:00,373.0,0.0,87.0,97.0,0.0,0.0,557.0
2022-01-01 12:00:00+00:00,380.0,0.0,144.0,151.0,0.0,0.0,675.0
2022-01-01 13:00:00+00:00,456.0,0.0,144.0,140.0,0.0,0.0,740.0
2022-01-01 14:00:00+00:00,670.0,0.0,0.0,28.0,0.0,0.0,698.0
2022-01-01 15:00:00+00:00,917.0,0.0,70.0,15.0,0.0,0.0,1002.0
2022-01-01 16:00:00+00:00,622.0,57.0,0.0,0.0,0.0,103.0,782.0
2022-01-01 17:00:00+00:00,814.0,1.0,0.0,0.0,0.0,575.0,1390.0
2022-01-01 18:00:00+00:00,815.0,406.0,0.0,0.0,0.0,598.0,1819.0
2022-01-01 19:00:00+00:00,871.0,308.0,0.0,0.0,0.0,598.0,1777.0
2022-01-01 20:00:00+00:00,805.0,225.0,0.0,0.0,0.0,598.0,1628.0
2022-01-01 21:00:00+00:00,747.0,200.0,0.0,0.0,0.0,598.0,1545.0
2022-01-01 22:00:00+00:00,1059.0,3.0,0.0,0.0,0.0,598.0,1660.0
2022-01-01 23:00:00+00:00,913.0,0.0,0.0,0.0,84.0,598.0,1595.0
2022-01-02 00:00:00+00:00,962.0,0.0,0.0,0.0,118.0,597.0,1677.0
