,BG,HU,MD,RS,UA,sum
2022-01-01 00:00:00+00:00,19.0,89.75,0.0,0.0,80.0,114.5
2022-01-01 01:00:00+00:00,7.0,70.0,0.0,0.0,60.0,86.75
2022-01-01 02:00:00+00:00,9.0,81.25,0.0,0.0,58.0,98.0
2022-01-01 03:00:00+00:00,5.0,90.0,0.0,0.0,67.0,108.0
2022-01-01 04:00:00+00:00,46.0,74.0,0.0,0.0,53.0,98.75
2022-01-01 05:00:00+00:00,24.0,21.5,0.0,0.0,15.0,31.25
2022-01-01 06:00:00+00:00,83.0,7.25,0.0,0.0,0.0,28.0
2022-01-01 07:00:00+00:00,108.0,2.25,0.0,0.0,0.0,29.25
2022-01-01 08:00:00+00:00,74.0,0.0,0.0,0.0,0.0,18.5
2022-01-01 09:00:00+00:00,61.0,0.0,0.0,0.0,0.0,15.25
2022-01-01 10:00:00+00:00,55.0,0.0,0.0,0.0,0.0,13.75
2022-01-01 11:00:00+00:00,69.0,0.0,0.0,0.0,0.0,17.25
2022-01-01 12:00:00+00:00,95.0,0.0,0.0,0.0,0.0,23.75
2022-01-01 13:00:00+00:00,124.0,0.0,0.0,0.0,0.0,31.0
2022-01-01 14:00:00+00:00,140.0,6.5,0.0,0.0,0.0,41.5
2022-01-01 15:00:00+00:00,228.0,23.25,0.0,0.0,0.0,80.25
2022-01-01 16:00:00+00:00,224.0,5.25,0.0,0.0,0.0,61.25
2022-01-01 17:00:00+00:00,270.0,2.25,0.0,0.0,0.0,69.75
2022-01-01 18:00:00+00:00,270.0,4.25,0.0,0.0,0.0,71.75
2022-01-01 19:00:00+00:00,238.0,5.25,0.0,0.0,24.0,70.75
2022-01-01 20:00:00+00:00,138.0,4.0,0.0,0.0,51.0,51.25
2022-01-01 21:00:00+00:00,81.0,0.0,0.0,0.0,15.0,24.0
2022-01-01 22:00:00+00:00,41.0,0.0,0.0,0.0,0.0,10.25
2022-01-01 23:00:00+00:00,59.0,6.0,0.0,0.0,53.0,34.0
2022-01-02 00:00:00+00:00,25.0,5.0,0.0,0.0,38.0,20.75
2022-01-02 01:00:00+00:00,52.0,0.0,0.0,0.0,4.0,14.0
2022-01-02 02:00:00+00:00,33.0,0.0,0.0,0.0,0.0,8.25
2022-01-02 03:00:00+00:00,58.0,0.0,0.0,0.0,0.0,14.5
2022-01-02 04:00:00+00:00,156.0,0.0,0.0,0.0,0.0,39.0
2022-01-02 05:00:00+00:00,162.0,0.0,0.0,0.0,0.0,40.5
2022-01-02 06:00:00+00:00,128.0,0.0,0.0,0.0,0.0,32.0
2022-01-02 07:00:00+00:00,118.0,2.5,0.0,0.0,3.0,32.75
2022-01-02 08:00:00+00:00,162.0,58.0,0.0,0.0,57.0,112.75
2022-01-02 09:00:00+00:00,220.0,160.5,0.0,0.0,172.0,258.5
2022-01-02 10:00:00+00:00,241.0,193.25,0.0,0.0,255.0,317.25
2022-01-02 11:00:00+00:00,292.0,218.25,,0.0,285.0,362.5
2022-01-02 12:00:00+00:00,321.0,270.25,,0.0,350.0,438.0
2022-01-02 13:00:00+00:00,446.0,303.5,,0.0,400.0,515.0
2022-01-02 14:00:00+00:00,525.0,314.25,,0.0,431.0,553.25
2022-01-02 15:00:00+00:00,622.0,391.5,,0.0,469.0,664.25
2022-01-02 16:00:00+00:00,571.0,342.5,0.0,0.0,440.0,595.25
2022-01-02 17:00:00+00:00,539.0,284.75,0.0,0.0,411.0,522.25
2022-01-02 18:00:00+00:00,447.0,287.0,0.0,0.0,391.0,496.5
2022-01-02 19:00:00+00:00,198.0,248.25,0.0,0.0,282.0,368.25
2022-01-02 20:00:00+00:00,10.0,227.75,0.0,0.0,221.0,285.5
2022-01-02 21:00:00+00:00,0.0,138.25,0.0,0.0,187.0,185.0
2022-01-02 22:00:00+00:00,0.0,48.25,0.0,0.0,115.0,77.0
2022-01-02 23:00:00+00:00,0.0,2.0,0.0,0.0,51.0,14.75
2022-01-03 00:00:00+00:00,0.0,0.25,0.0,0.0,20.0,5.25
2022-01-03 01:00:00+00:00,12.0,51.25,0.0,0.0,56.0,68.25
2022-01-03 02:00:00+00:00,57.0,106.75,0.0,0.0,67.0,137.75
2022-01-03 03:00:00+00:00,98.0,172.5,0.0,0.0,112.0,225.0
2022-01-03 04:00:00+00:00,90.0,192.5,0.0,0.0,165.0,256.25
2022-01-03 05:00:00+00:00,163.0,212.0,0.0,0.0,245.0,314.0
2022-01-03 06:00:00+00:00,252.0,123.75,0.0,0.0,269.0,254.0
2022-01-03 07:00:00+00:00,326.0,140.0,0.0,0.0,291.0,294.25
2022-01-03 08:00:00+00:00,334.0,74.5,0.0,0.0,237.0,217.25
2022-01-03 09:00:00+00:00,367.0,116.75,0.0,0.0,224.0,264.5
2022-01-03 10:00:00+00:00,316.0,101.75,0.0,0.0,226.0,237.25
2022-01-03 11:00:00+00:00,336.0,120.5,0.0,0.0,257.0,268.75
2022-01-03 12:00:00+00:00,271.0,73.25,0.0,0.0,220.0,196.0
2022-01-03 13:00:00+00:00,262.0,101.0,,0.0,231.0,224.25
2022-01-03 14:00:00+00:00,344.0,93.75,0.0,0.0,183.0,225.5
2022-01-03 15:00:00+00:00,396.0,124.75,0.0,0.0,228.0,280.75
2022-01-03 16:00:00+00:00,342.0,94.25,0.0,0.0,246.0,241.25
2022-01-03 17:00:00+00:00,312.0,57.5,0.0,0.0,231.0,193.25
2022-01-03 18:00:00+00:00,261.0,41.25,0.0,0.0,223.0,162.25
2022-01-03 19:00:00+00:00,195.0,37.5,0.0,0.0,179.0,131.0
2022-01-03 20:00:00+00:00,150.0,10.75,0.0,0.0,145.0,84.5
2022-01-03 21:00:00+00:00,110.0,0.0,0.0,0.0,82.0,48.0
2022-01-03 22:00:00+00:00,73.0,0.0,0.0,0.0,68.0,35.25
2022-01-03 23:00:00+00:00,47.0,1.25,0.0,0.0,108.0,40.0
2022-01-04 00:00:00+00:00,51.0,0.25,0.0,0.0,73.0,31.25
2022-01-04 01:00:00+00:00,112.0,1.75,0.0,0.0,65.0,46.0
2022-01-04 02:00:00+00:00,129.0,25.0,0.0,0.0,81.0,77.5
2022-01-04 03:00:00+00:00,114.0,24.0,0.0,0.0,108.0,79.5
2022-01-04 04:00:00+00:00,114.0,145.5,0.0,0.0,269.0,241.25
