,BA,BG,HR,HU,XK,ME,MK,RO,sum
2023-01-01 00:00:00+00:00,0.0,246.0,214.0,522.0,0.0,0.0,0.0,449.0,1431.0
2023-01-01 01:00:00+00:00,0.0,249.0,164.0,455.0,0.0,0.0,0.0,440.0,1308.0
2023-01-01 02:00:00+00:00,0.0,208.0,159.0,394.0,0.0,0.0,8.0,402.0,1171.0
2023-01-01 03:00:00+00:00,0.0,142.0,123.0,313.0,0.0,0.0,67.0,348.0,993.0
2023-01-01 04:00:00+00:00,0.0,160.0,109.0,289.0,0.0,75.0,61.0,299.0,993.0
2023-01-01 05:00:00+00:00,0.0,157.0,125.0,293.0,0.0,84.0,52.0,325.0,1036.0
2023-01-01 06:00:00+00:00,0.0,148.0,97.0,262.0,0.0,120.0,15.0,277.0,919.0
2023-01-01 07:00:00+00:00,0.0,247.0,21.0,245.0,0.0,179.0,0.0,325.0,1017.0
2023-01-01 08:00:00+00:00,0.0,296.0,51.0,318.0,0.0,151.0,0.0,319.0,1135.0
2023-01-01 09:00:00+00:00,0.0,364.0,74.0,395.0,0.0,88.0,0.0,331.0,1252.0
2023-01-01 10:00:00+00:00,0.0,414.0,38.0,371.0,0.0,121.0,0.0,441.0,1385.0
2023-01-01 11:00:00+00:00,0.0,387.0,86.0,370.0,0.0,101.0,0.0,450.0,1394.0
2023-01-01 12:00:00+00:00,0.0,348.0,119.0,353.0,0.0,121.0,0.0,381.0,1322.0
2023-01-01 13:00:00+00:00,0.0,224.0,208.0,410.0,0.0,49.0,0.0,325.0,1216.0
2023-01-01 14:00:00+00:00,30.0,84.0,265.0,426.0,0.0,0.0,0.0,340.0,1145.0
2023-01-01 15:00:00+00:00,101.0,61.0,290.0,423.0,0.0,0.0,0.0,325.0,1200.0
2023-01-01 16:00:00+00:00,151.0,61.0,271.0,410.0,0.0,0.0,0.0,357.0,1250.0
2023-01-01 17:00:00+00:00,119.0,97.0,223.0,361.0,0.0,0.0,0.0,391.0,1191.0
2023-01-01 18:00:00+00:00,143.0,55.0,266.0,401.0,0.0,0.0,0.0,387.0,1252.0
2023-01-01 19:00:00+00:00,76.0,95.0,225.0,391.0,0.0,0.0,0.0,433.0,1220.0
2023-01-01 20:00:00+00:00,30.0,120.0,185.0,371.0,0.0,0.0,0.0,465.0,1171.0
2023-01-01 21:00:00+00:00,0.0,188.0,145.0,342.0,0.0,0.0,0.0,461.0,1136.0
2023-01-01 22:00:00+00:00,0.0,220.0,192.0,439.0,0.0,0.0,0.0,445.0,1296.0
2023-01-01 23:00:00+00:00,0.0,271.0,228.0,508.0,0.0,0.0,0.0,529.0,1536.0
2023-01-02 00:00:00+00:00,0.0,286.0,192.0,442.0,0.0,18.0,0.0,567.0,1505.0
2023-01-02 01:00:00+00:00,0.0,273.0,142.0,355.0,0.0,48.0,0.0,594.0,1412.0
2023-01-02 02:00:00+00:00,0.0,244.0,121.0,304.0,0.0,39.0,0.0,584.0,1292.0
2023-01-02 03:00:00+00:00,0.0,195.0,135.0,291.0,0.0,11.0,0.0,569.0,1201.0
2023-01-02 04:00:00+00:00,0.0,221.0,142.0,311.0,0.0,16.0,0.0,629.0,1319.0
2023-01-02 05:00:00+00:00,0.0,237.0,87.0,247.0,0.0,68.0,0.0,605.0,1244.0
2023-01-02 06:00:00+00:00,0.0,206.0,0.0,95.0,0.0,6.0,0.0,512.0,819.0
2023-01-02 07:00:00+00:00,0.0,263.0,0.0,93.0,0.0,15.0,0.0,437.0,808.0
2023-01-02 08:00:00+00:00,0.0,282.0,0.0,130.0,0.0,0.0,0.0,409.0,821.0
2023-01-02 09:00:00+00:00,0.0,296.0,0.0,146.0,0.0,0.0,0.0,402.0,844.0
2023-01-02 10:00:00+00:00,0.0,310.0,0.0,121.0,0.0,0.0,0.0,424.0,855.0
2023-01-02 11:00:00+00:00,0.0,259.0,10.0,162.0,0.0,0.0,0.0,354.0,785.0
2023-01-02 12:00:00+00:00,0.0,235.0,10.0,130.0,0.0,0.0,0.0,338.0,713.0
2023-01-02 13:00:00+00:00,40.0,150.0,57.0,163.0,0.0,0.0,0.0,233.0,643.0
2023-01-02 14:00:00+00:00,95.0,100.0,84.0,164.0,0.0,0.0,2.0,127.0,572.0
2023-01-02 15:00:00+00:00,116.0,61.0,75.0,158.0,0.0,0.0,55.0,49.0,514.0
2023-01-02 16:00:00+00:00,77.0,121.0,95.0,231.0,0.0,0.0,0.0,158.0,682.0
2023-01-02 17:00:00+00:00,42.0,162.0,65.0,211.0,0.0,0.0,0.0,213.0,693.0
2023-01-02 18:00:00+00:00,40.0,185.0,49.0,194.0,0.0,0.0,0.0,255.0,723.0
