,AT,HR,IT,HU,sum
2024-01-01 00:00:00+00:00,616.0,0.0,0.0,289.75,905.75
2024-01-01 01:00:00+00:00,509.75,77.5,0.0,309.0,896.25
2024-01-01 02:00:00+00:00,360.75,191.0,0.0,320.0,871.75
2024-01-01 03:00:00+00:00,152.0,298.25,0.0,318.5,768.75
2024-01-01 04:00:00+00:00,92.25,256.25,0.0,282.25,630.75
2024-01-01 05:00:00+00:00,175.0,156.25,0.0,275.0,606.25
2024-01-01 06:00:00+00:00,198.25,137.75,0.0,273.75,609.75
2024-01-01 07:00:00+00:00,223.5,58.25,0.0,246.5,528.25
2024-01-01 08:00:00+00:00,145.25,49.75,0.0,240.0,435.0
2024-01-01 09:00:00+00:00,198.75,68.0,0.0,260.75,527.5
2024-01-01 10:00:00+00:00,220.5,68.0,0.0,263.0,551.5
2024-01-01 11:00:00+00:00,166.5,68.0,0.0,280.25,514.75
2024-01-01 12:00:00+00:00,184.75,68.0,0.0,242.5,495.25
2024-01-01 13:00:00+00:00,351.75,68.0,0.0,150.75,570.5
2024-01-01 14:00:00+00:00,349.25,68.0,0.0,41.75,459.0
2024-01-01 15:00:00+00:00,749.25,68.0,0.0,0.0,817.25
2024-01-01 16:00:00+00:00,813.5,68.0,0.0,0.0,881.5
2024-01-01 17:00:00+00:00,794.5,68.0,0.0,0.0,862.5
2024-01-01 18:00:00+00:00,799.25,68.0,0.0,0.0,867.25
2024-01-01 19:00:00+00:00,756.75,68.0,0.0,13.5,838.25
2024-01-01 20:00:00+00:00,726.5,68.0,0.0,91.0,885.5
2024-01-01 21:00:00+00:00,564.0,68.0,0.0,108.0,740.0
2024-01-01 22:00:00+00:00,241.75,68.0,0.0,202.25,512.0
2024-01-01 23:00:00+00:00,23.75,0.0,0.0,262.0,285.75
2024-01-02 00:00:00+00:00,23.5,2.0,0.0,251.0,276.5
2024-01-02 01:00:00+00:00,111.25,70.25,0.0,272.25,453.75
2024-01-02 02:00:00+00:00,179.0,24.0,0.0,228.25,431.25
2024-01-02 03:00:00+00:00,349.75,22.0,0.0,195.75,567.5
2024-01-02 04:00:00+00:00,269.75,22.0,0.0,133.5,425.25
2024-01-02 05:00:00+00:00,357.75,22.0,0.0,16.25,396.0
2024-01-02 06:00:00+00:00,482.5,22.0,0.0,0.0,504.5
2024-01-02 07:00:00+00:00,508.5,22.0,0.0,0.0,530.5
2024-01-02 08:00:00+00:00,471.75,22.0,0.0,0.0,493.75
2024-01-02 09:00:00+00:00,338.75,22.0,0.0,0.0,360.75
2024-01-02 10:00:00+00:00,214.0,22.0,0.0,0.25,236.25
2024-01-02 11:00:00+00:00,305.75,22.0,0.0,0.0,327.75
2024-01-02 12:00:00+00:00,300.75,22.0,0.0,0.0,322.75
2024-01-02 13:00:00+00:00,477.5,22.0,0.0,0.0,499.5
2024-01-02 14:00:00+00:00,576.5,22.0,0.0,0.0,598.5
2024-01-02 15:00:00+00:00,703.25,22.0,0.0,0.0,725.25
2024-01-02 16:00:00+00:00,759.5,22.0,0.0,0.0,781.5
2024-01-02 17:00:00+00:00,728.75,22.0,0.0,0.0,750.75
2024-01-02 18:00:00+00:00,665.0,22.0,0.0,0.0,687.0
2024-01-02 19:00:00+00:00,646.5,22.0,0.0,0.5,669.0
2024-01-02 20:00:00+00:00,730.0,22.0,0.0,52.25,804.25
2024-01-02 21:00:00+00:00,548.5,22.0,0.0,155.5,726.0
2024-01-02 22:00:00+00:00,497.75,22.0,0.0,186.5,706.25
2024-01-02 23:00:00+00:00,467.5,0.0,0.0,245.0,712.5
2024-01-03 00:00:00+00:00,422.25,135.0,0.0,286.75,844.0
2024-01-03 01:00:00+00:00,305.75,227.5,0.0,317.75,851.0
2024-01-03 02:00:00+00:00,264.25,258.25,0.0,323.5,846.0
2024-01-03 03:00:00+00:00,350.25,216.0,0.0,303.25,869.5
2024-01-03 04:00:00+00:00,553.0,9.0,0.0,248.0,810.0
2024-01-03 05:00:00+00:00,502.75,77.25,0.0,216.0,796.0
2024-01-03 06:00:00+00:00,667.0,90.0,0.0,65.5,822.5
2024-01-03 07:00:00+00:00,853.75,90.0,0.0,0.0,943.75
2024-01-03 08:00:00+00:00,727.5,90.0,0.0,4.0,821.5
2024-01-03 09:00:00+00:00,401.0,90.0,0.0,3.0,494.0
2024-01-03 10:00:00+00:00,322.75,90.0,0.0,19.25,432.0
2024-01-03 11:00:00+00:00,445.5,90.0,102.0,20.25,581.25
2024-01-03 12:00:00+00:00,441.0,90.0,32.0,22.0,561.0
2024-01-03 13:00:00+00:00,186.75,90.0,0.0,1.0,277.75
2024-01-03 14:00:00+00:00,321.0,90.0,0.0,0.0,411.0
2024-01-03 15:00:00+00:00,746.75,90.0,0.0,0.0,836.75
2024-01-03 16:00:00+00:00,660.0,90.0,0.0,0.0,750.0
2024-01-03 17:00:00+00:00,669.5,90.0,0.0,0.0,759.5
2024-01-03 18:00:00+00:00,714.0,90.0,0.0,0.0,804.0
2024-01-03 19:00:00+00:00,813.0,90.0,0.0,0.0,903.0
2024-01-03 20:00:00+00:00,692.0,90.0,0.0,0.0,782.0
2024-01-03 21:00:00+00:00,562.5,52.0,0.0,69.25,683.75
2024-01-03 22:00:00+00:00,584.0,170.0,0.0,191.5,945.5
2024-01-03 23:00:00+00:00,513.0,145.0,0.0,259.5,917.5
2024-01-04 00:00:00+00:00,444.75,202.75,0.0,294.5,942.0
2024-01-04 01:00:00+00:00,400.0,260.75,0.0,333.0,993.75
2024-01-04 02:00:00+00:00,386.0,309.75,0.0,361.75,1057.5
2024-01-04 03:00:00+00:00,426.75,292.25,0.0,359.0,1078.0
2024-01-04 04:00:00+00:00,491.25,62.0,0.0,286.75,840.0
2024-01-04 05:00:00+00:00,694.25,0.0,0.0,119.25,813.5
2024-01-04 06:00:00+00:00,674.5,0.0,0.0,55.0,729.5
2024-01-04 07:00:00+00:00,304.75,241.0,0.0,122.25,668.0
2024-01-04 08:00:00+00:00,0.0,495.5,0.0,153.0,648.5
2024-01-04 09:00:00+00:00,0.0,733.0,0.0,210.0,943.0
2024-01-04 10:00:00+00:00,0.0,662.75,0.0,213.25,876.0
2024-01-04 11:00:00+00:00,0.0,487.5,0.0,137.0,624.5
2024-01-04 12:00:00+00:00,0.0,261.5,0.0,33.0,294.5
2024-01-04 13:00:00+00:00,350.5,120.0,0.0,2.5,473.0
2024-01-04 14:00:00+00:00,492.0,120.0,0.0,0.0,612.0
2024-01-04 15:00:00+00:00,303.5,57.25,0.0,0.25,361.0
2024-01-04 16:00:00+00:00,234.0,136.25,0.0,76.5,446.75
2024-01-04 17:00:00+00:00,35.75,284.0,0.0,129.25,449.0
2024-01-04 18:00:00+00:00,315.75,148.25,0.0,71.25,535.25
2024-01-04 19:00:00+00:00,407.75,73.25,0.0,65.25,546.25
2024-01-04 20:00:00+00:00,281.5,46.0,0.0,176.5,504.0
2024-01-04 21:00:00+00:00,103.0,47.75,0.0,186.0,336.75
2024-01-04 22:00:00+00:00,80.25,109.25,0.0,182.0,371.5
2024-01-04 23:00:00+00:00,330.25,33.25,0.0,244.75,608.25
2024-01-05 00:00:00+00:00,456.5,241.5,0.0,348.0,1046.0
2024-01-05 01:00:00+00:00,352.75,467.75,0.0,360.75,1181.25
2024-01-05 02:00:00+00:00,326.75,535.75,0.0,345.5,1208.0
2024-01-05 03:00:00+00:00,395.5,381.0,0.0,275.25,1051.75
