,CZ,HU,PL,UA,sum
2023-01-01 00:00:00+00:00,1986.0,0.0,991.0,0.0,2977.0
2023-01-01 01:00:00+00:00,2037.0,0.0,1056.0,0.0,3093.0
2023-01-01 02:00:00+00:00,1888.0,0.0,1073.0,0.0,2961.0
2023-01-01 03:00:00+00:00,1834.0,0.0,1035.0,0.0,2869.0
2023-01-01 04:00:00+00:00,1771.0,0.0,1010.0,0.0,2781.0
2023-01-01 05:00:00+00:00,1844.0,0.0,1005.0,0.0,2849.0
2023-01-01 06:00:00+00:00,1793.0,0.0,974.0,0.0,2767.0
2023-01-01 07:00:00+00:00,1202.0,0.0,710.0,0.0,1912.0
2023-01-01 08:00:00+00:00,1170.0,0.0,610.0,0.0,1780.0
2023-01-01 09:00:00+00:00,1194.0,0.0,626.0,0.0,1820.0
2023-01-01 10:00:00+00:00,1147.0,0.0,686.0,0.0,1833.0
2023-01-01 11:00:00+00:00,1157.0,0.0,640.0,0.0,1797.0
2023-01-01 12:00:00+00:00,1181.0,0.0,534.0,0.0,1715.0
2023-01-01 13:00:00+00:00,1513.0,0.0,554.0,0.0,2067.0
2023-01-01 14:00:00+00:00,1658.0,0.0,550.0,0.0,2208.0
2023-01-01 15:00:00+00:00,1808.0,0.0,720.0,0.0,2528.0
2023-01-01 16:00:00+00:00,1661.0,0.0,679.0,0.0,2340.0
2023-01-01 17:00:00+00:00,1593.0,0.0,693.0,0.0,2286.0
2023-01-01 18:00:00+00:00,1682.0,0.0,729.0,0.0,2411.0
2023-01-01 19:00:00+00:00,1713.0,0.0,762.0,0.0,2475.0
2023-01-01 20:00:00+00:00,1397.0,0.0,769.0,0.0,2166.0
2023-01-01 21:00:00+00:00,1161.0,0.0,630.0,0.0,1791.0
2023-01-01 22:00:00+00:00,1149.0,0.0,558.0,0.0,1707.0
2023-01-01 23:00:00+00:00,1417.0,0.0,818.0,0.0,2235.0
2023-01-02 00:00:00+00:00,1205.0,0.0,706.0,0.0,1911.0
2023-01-02 01:00:00+00:00,1010.0,0.0,609.0,0.0,1619.0
2023-01-02 02:00:00+00:00,964.0,0.0,596.0,0.0,1560.0
2023-01-02 03:00:00+00:00,1177.0,0.0,610.0,0.0,1787.0
2023-01-02 04:00:00+00:00,1321.0,0.0,729.0,0.0,2050.0
2023-01-02 05:00:00+00:00,1478.0,0.0,747.0,0.0,2225.0
2023-01-02 06:00:00+00:00,1514.0,0.0,652.0,0.0,2166.0
2023-01-02 07:00:00+00:00,1604.0,0.0,655.0,0.0,2259.0
2023-01-02 08:00:00+00:00,1478.0,0.0,432.0,0.0,1910.0
2023-01-02 09:00:00+00:00,1377.0,0.0,351.0,0.0,1728.0
2023-01-02 10:00:00+00:00,1424.0,0.0,234.0,6.0,1664.0
2023-01-02 11:00:00+00:00,1578.0,0.0,420.0,0.0,1998.0
2023-01-02 12:00:00+00:00,1561.0,0.0,338.0,0.0,1899.0
2023-01-02 13:00:00+00:00,1828.0,0.0,479.0,0.0,2307.0
2023-01-02 14:00:00+00:00,1960.0,0.0,649.0,0.0,2609.0
2023-01-02 15:00:00+00:00,1977.0,0.0,946.0,0.0,2923.0
2023-01-02 16:00:00+00:00,2046.0,0.0,877.0,0.0,2923.0
2023-01-02 17:00:00+00:00,1968.0,0.0,768.0,0.0,2736.0
2023-01-02 18:00:00+00:00,1866.0,0.0,574.0,0.0,2440.0
2023-01-02 19:00:00+00:00,1881.0,0.0,689.0,0.0,2570.0
2023-01-02 20:00:00+00:00,1948.0,0.0,868.0,0.0,2816.0
2023-01-02 21:00:00+00:00,2047.0,0.0,945.0,0.0,2992.0
2023-01-02 22:00:00+00:00,1976.0,0.0,1049.0,0.0,3025.0
2023-01-02 23:00:00+00:00,1778.0,0.0,1143.0,0.0,2921.0
2023-01-03 00:00:00+00:00,1606.0,0.0,1114.0,0.0,2720.0
2023-01-03 01:00:00+00:00,1305.0,0.0,1059.0,0.0,2364.0
2023-01-03 02:00:00+00:00,1272.0,0.0,980.0,0.0,2252.0
2023-01-03 03:00:00+00:00,1488.0,0.0,1090.0,0.0,2578.0
2023-01-03 04:00:00+00:00,1809.0,0.0,1082.0,0.0,2891.0
2023-01-03 05:00:00+00:00,2123.0,0.0,1014.0,0.0,3137.0
2023-01-03 06:00:00+00:00,1987.0,0.0,1059.0,0.0,3046.0
2023-01-03 07:00:00+00:00,1753.0,0.0,838.0,0.0,2591.0
2023-01-03 08:00:00+00:00,1683.0,0.0,807.0,0.0,2490.0
2023-01-03 09:00:00+00:00,1660.0,0.0,840.0,0.0,2500.0
2023-01-03 10:00:00+00:00,1860.0,0.0,943.0,0.0,2803.0
2023-01-03 11:00:00+00:00,1900.0,0.0,850.0,0.0,2750.0
2023-01-03 12:00:00+00:00,1854.0,0.0,789.0,0.0,2643.0
2023-01-03 13:00:00+00:00,2130.0,0.0,872.0,0.0,3002.0
2023-01-03 14:00:00+00:00,2218.0,0.0,981.0,0.0,3199.0
2023-01-03 15:00:00+00:00,2262.0,0.0,1040.0,0.0,3302.0
2023-01-03 16:00:00+00:00,1962.0,0.0,983.0,0.0,2945.0
2023-01-03 17:00:00+00:00,1970.0,0.0,982.0,0.0,2952.0
2023-01-03 18:00:00+00:00,2104.0,0.0,986.0,0.0,3090.0
2023-01-03 19:00:00+00:00,2205.0,0.0,881.0,0.0,3086.0
2023-01-03 20:00:00+00:00,2207.0,0.0,832.0,0.0,3039.0
2023-01-03 21:00:00+00:00,2082.0,0.0,744.0,0.0,2826.0
2023-01-03 22:00:00+00:00,1953.0,0.0,774.0,0.0,2727.0
2023-01-03 23:00:00+00:00,1804.0,0.0,867.0,0.0,2671.0
