;DE;ES;SE;FR;UK;CZ;PL;IT;IR;NL;BE;AT;IE
Biomass;0,52;0,57;0,11;0,7;0,63;0,42;0,41;0,67;0,54;0,46;0,36;0,36;0,54
Fossil Brown coal/Lignite;0,44;0,47;0;0,44;0,44;0,57;0,47;0,48;0;0;0;0;0
Fossil Coal-derived gas;0,39;0,39;0,06;0,39;0,88;0,46;0,57;0,48;0;0,34;0,32;0,35;0
Fossil Gas;0,14;0,18;0;0,16;0,28;0,26;0,15;0,19;0,25;0,09;0,11;0,05;0,25
Fossil Hard Coal;0,39;0,47;0,09;0,45;0,5;0,44;0,35;0,47;0,45;0,33;0,39;0,24;0,45
Fossil Oil;0,33;0,34;0,06;0,13;0,81;0,56;0,16;0,4;0,51;0,22;0,16;0,12;0,51
Fossil Oil Shale;0,33;0,34;0,06;0,13;0,81;0,56;0,16;0,4;0,51;0,22;0,16;0,12;0,51
Fossil Peat;0;0;0;0;0;0;0;0;0;0;0;0;0,54
Geothermal;1,89;0;0;0;0;0;0;1,89;0;0;0;0;0
Hydro Pumped Storage;1,17;8,53;2,86;3,34;4,51;2,2;5,14;4,45;2,11;0;1,02;3,15;2,11
Hydro Run-of-river and poundage;1,17;8,53;2,86;3,34;4,51;2,2;5,14;4,45;2,11;0;1,02;3,15;2,11
Hydro Water Reservoir;1,17;8,53;2,86;3,34;4,51;2,2;5,14;4,45;2,11;0;1,02;3,15;2,11
Marine;0;0;0;0;0;0;0;0;0;0;0;0;0
Other;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,42
Other Renewable;0;0;0;0;0;0;0;0;0;0;0;0;0
Solar;0;0;0;0;0;0;0;0;0;0;0;0;0
Wind Onshore;0;0;0;0;0;0;0;0;0;0;0;0;0
Wind Offshore;0;0;0;0;0;0;0;0;0;0;0;0;0
Nuclear;0,6;0,59;0,75;0,64;0,73;0,74;0;0;0;0;0,5;0;0
Waste;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7
