,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
9,116.0,Planned maintenance,,2023-01-08 22:00:00+01:00,475.0,Fossil Gas,11WD7EMSL-G-KW-T,PT15M,2023-01-06 22:00:00+01:00
12,0.0,Unplanned outage,,2025-01-01 00:00:00+01:00,370.0,Fossil Hard coal,11WD7WALS1S--KW0,PT60M,2021-07-08 08:00:00+02:00
17,0.0,Planned maintenance,,2024-01-01 00:00:00+01:00,405.0,Fossil Gas,11WD7GERS-X-KW-C,PT15M,2023-01-01 00:00:00+01:00
27,0.0,Planned maintenance,,2023-01-04 18:00:00+01:00,265.0,Hydro Pumped Storage,11WD8GOLD1H----6,PT15M,2023-01-04 08:00:00+01:00
30,0.0,Planned maintenance,,2023-01-01 22:00:00+01:00,383.0,Fossil Gas,11WD2GEBE000177K,PT15M,2023-01-01 00:00:00+01:00
31,53.0,Planned maintenance,,2023-01-01 22:00:00+01:00,440.0,Fossil Gas,11WD2GEBE000177K,PT15M,2023-01-01 00:00:00+01:00
32,0.0,Planned maintenance,,2023-01-06 16:00:00+01:00,424.0,Fossil Gas,11WD7GARE5XHEKWQ,PT15M,2023-01-06 08:00:00+01:00
38,0.0,Planned maintenance,,2023-01-04 18:00:00+01:00,265.0,Hydro Pumped Storage,11WD8GOLD1H----6,PT15M,2023-01-04 17:00:00+01:00
39,0.0,Planned maintenance,,2023-01-03 17:00:00+01:00,265.0,Hydro Pumped Storage,11WD8GOLD1H----6,PT15M,2023-01-03 08:00:00+01:00
40,53.0,Planned maintenance,,2023-01-08 22:00:00+01:00,440.0,Fossil Gas,11WD2GEBE000177K,PT15M,2023-01-05 22:00:00+01:00
41,0.0,Unplanned outage,,2023-01-29 22:00:00+01:00,383.0,Fossil Gas,11WD2GEBE000177K,PT15M,2023-01-27 22:00:00+01:00
42,0.0,Planned maintenance,,2023-01-08 22:00:00+01:00,383.0,Fossil Gas,11WD2GEBE000177K,PT15M,2023-01-05 22:00:00+01:00
57,249.4,Planned maintenance,,2023-01-02 00:00:00+01:00,404.8,Fossil Hard coal,11WD4GKM-2CD7--7,PT15M,2023-01-01 00:00:00+01:00
58,91.6,Planned maintenance,,2023-01-02 00:00:00+01:00,111.2,Fossil Hard coal,11WD4GKM-XCD0--3,PT15M,2023-01-01 00:00:00+01:00
59,374.0,Planned maintenance,,2023-01-02 00:00:00+01:00,607.1,Fossil Hard coal,11WD4GKM-2CD4--J,PT15M,2023-01-01 00:00:00+01:00
62,116.0,Planned maintenance,,2023-01-08 22:00:00+01:00,475.0,Fossil Gas,11WD7EMSL-G-KW-T,PT15M,2023-01-06 22:00:00+01:00
63,116.0,Planned maintenance,,2023-01-01 14:00:00+01:00,475.0,Fossil Gas,11WD7EMSL-G-KW-T,PT15M,2023-01-01 00:00:00+01:00
64,0.0,Planned maintenance,,2023-01-02 08:00:00+01:00,426.0,Fossil Gas,11WD7KWKN1GBL203,PT15M,2023-01-01 00:00:00+01:00
