,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
3,0.0,Planned maintenance,,2022-01-27 15:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-27 15:00:00+00:00
4,0.0,Planned maintenance,,2022-01-27 15:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-27 13:00:00+00:00
5,0.0,Planned maintenance,,2022-01-27 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-27 13:00:00+00:00
6,0.0,Unplanned outage,,2022-12-31 23:00:00+00:00,595.0,Fossil Hard coal,17W100P100P03469,PT15M,2021-12-31 23:00:00+00:00
41,1170.0,Planned maintenance,,2022-06-04 00:00:00+00:00,1330.0,Nuclear,17W100P100P0222R,PT60M,2021-01-28 20:00:00+00:00
42,0.0,Planned maintenance,,2022-01-04 13:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-04 13:00:00+00:00
43,0.0,Planned maintenance,,2022-01-04 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-04 13:00:00+00:00
44,0.0,Planned maintenance,,2022-01-04 12:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-04 08:00:00+00:00
45,0.0,Planned maintenance,,2022-01-11 15:00:00+00:00,162.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-11 13:00:00+00:00
46,0.0,Planned maintenance,,2022-01-11 07:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT30M,2022-01-11 07:00:00+00:00
47,0.0,Planned maintenance,,2022-01-11 11:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-11 07:00:00+00:00
48,0.0,Planned maintenance,,2022-01-06 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-06 06:00:00+00:00
49,0.0,Planned maintenance,,2022-01-04 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-04 06:00:00+00:00
50,0.0,Planned maintenance,,2022-01-05 16:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-05 06:00:00+00:00
51,0.0,Planned maintenance,,2022-01-03 15:00:00+00:00,170.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-03 15:00:00+00:00
52,0.0,Planned maintenance,,2022-01-03 15:00:00+00:00,170.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-03 13:00:00+00:00
53,0.0,Planned maintenance,,2022-01-03 13:00:00+00:00,170.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-03 13:00:00+00:00
55,0.0,Planned maintenance,,2021-12-29 20:00:00+00:00,915.0,Nuclear,17W100P100P0234K,PT30M,2021-12-29 19:00:00+00:00
56,0.0,Planned maintenance,,2022-01-02 16:00:00+00:00,915.0,Nuclear,17W100P100P0234K,PT60M,2021-12-29 20:00:00+00:00
60,0.0,Planned maintenance,,2022-01-18 16:00:00+00:00,157.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-18 06:00:00+00:00
61,785.0,Planned maintenance,,2022-01-02 01:00:00+00:00,915.0,Nuclear,17W100P100P0202X,PT30M,2022-01-02 01:00:00+00:00
62,785.0,Planned maintenance,,2022-01-02 01:00:00+00:00,915.0,Nuclear,17W100P100P0202X,PT60M,2022-01-02 00:00:00+00:00
63,0.0,Planned maintenance,,2022-01-02 03:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT60M,2021-12-26 23:00:00+00:00
64,0.0,Planned maintenance,,2022-01-02 03:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0237E,PT60M,2021-12-26 23:00:00+00:00
65,0.0,Unplanned outage,,2022-01-01 03:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT30M,2022-01-01 03:00:00+00:00
66,0.0,Unplanned outage,,2022-01-01 03:00:00+00:00,259.0,Hydro Pumped Storage,17W100P100P0273A,PT1M,2022-01-01 03:00:00+00:00
