,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
0,0.0,Planned maintenance,,2023-08-16 17:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-08-14 05:00:00+00:00
17,0.0,Planned maintenance,,2023-08-28 07:00:00+00:00,118.0,Fossil Peat,47W000000000159C,PT15M,2023-06-30 11:00:00+00:00
18,0.0,Planned maintenance,,2023-09-08 17:00:00+00:00,56.0,Fossil Gas,47W000000000239E,PT15M,2023-09-08 07:00:00+00:00
19,0.0,Planned maintenance,,2023-04-04 23:00:00+00:00,15.0,Waste,47W000000000240T,PT15M,2023-03-26 00:00:00+00:00
20,0.0,Planned maintenance,,2023-04-18 17:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-03-19 06:00:00+00:00
21,0.0,Planned maintenance,,2023-09-22 19:00:00+00:00,24.0,Hydro Run-of-river and poundage,47W000000000230W,PT15M,2023-09-18 07:00:00+00:00
22,0.0,Planned maintenance,,2023-09-15 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-09-11 07:00:00+00:00
23,0.0,Planned maintenance,,2023-07-21 07:00:00+00:00,15.0,Hydro Run-of-river and poundage,47W000000000234O,PT15M,2023-06-12 07:00:00+00:00
24,0.0,Planned maintenance,,2023-04-28 07:00:00+00:00,4.0,Hydro Run-of-river and poundage,47W000000000234O,PT15M,2023-03-20 08:00:00+00:00
25,0.0,Planned maintenance,,2023-06-23 16:00:00+00:00,4.0,Hydro Run-of-river and poundage,47W000000000233Q,PT15M,2023-06-04 07:00:00+00:00
26,0.0,Planned maintenance,,2023-03-21 00:00:00+00:00,431.0,Fossil Gas,47W000000000164J,PT15M,2023-03-16 00:00:00+00:00
27,0.0,Planned maintenance,,2023-11-05 00:00:00+00:00,431.0,Fossil Gas,47W000000000164J,PT15M,2023-10-31 00:00:00+00:00
41,0.0,Planned maintenance,,2023-05-28 23:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-05-14 23:00:00+00:00
42,0.0,Planned maintenance,,2023-06-23 17:00:00+00:00,405.0,Fossil Gas,47W000000000171M,PT15M,2023-06-09 19:00:00+00:00
43,0.0,Planned maintenance,,2023-04-12 07:00:00+00:00,118.0,Fossil Peat,47W000000000159C,PT15M,2023-04-06 16:00:00+00:00
44,0.0,Planned maintenance,,2023-09-08 19:00:00+00:00,10.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-09-04 07:00:00+00:00
45,0.0,Planned maintenance,,2023-05-08 19:00:00+00:00,10.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-04-17 07:00:00+00:00
46,0.0,Planned maintenance,,2023-09-22 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-09-18 07:00:00+00:00
47,0.0,Planned maintenance,,2023-07-28 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-06-06 07:00:00+00:00
48,0.0,Planned maintenance,,2023-04-25 23:00:00+00:00,400.0,Fossil Gas,47W000000000173I,PT15M,2023-03-31 23:00:00+00:00
59,0.0,Planned maintenance,,2023-04-26 07:00:00+00:00,118.0,Fossil Peat,47W000000000159C,PT15M,2023-04-20 16:00:00+00:00
60,0.0,Planned maintenance,,2023-10-06 17:00:00+00:00,56.0,Fossil Gas,47W000000000239E,PT15M,2023-10-06 07:00:00+00:00
61,0.0,Planned maintenance,,2023-10-06 17:00:00+00:00,56.0,Fossil Gas,47W000000000239E,PT15M,2023-10-06 07:00:00+00:00
62,0.0,Planned maintenance,,2023-05-14 18:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-05 00:00:00+00:00
63,0.0,Planned maintenance,,2023-05-14 18:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-05 00:00:00+00:00
64,0.0,Planned maintenance,,2023-09-13 19:00:00+00:00,404.0,Fossil Gas,47W000000000172K,PT15M,2023-09-08 19:00:00+00:00
65,0.0,Planned maintenance,,2023-09-25 20:00:00+00:00,435.0,Fossil Gas,47W000000000158E,PT15M,2023-09-15 20:00:00+00:00
66,26.0,Planned maintenance,,2023-10-05 16:00:00+00:00,62.0,Waste,47W0000000003853,PT15M,2023-10-02 07:00:00+00:00
67,26.0,Planned maintenance,,2023-10-12 16:00:00+00:00,62.0,Waste,47W0000000003853,PT15M,2023-10-09 07:00:00+00:00
68,0.0,Planned maintenance,,2023-07-28 16:00:00+00:00,15.0,Hydro Run-of-river and poundage,47W000000000233Q,PT15M,2023-06-05 07:00:00+00:00
69,0.0,Planned maintenance,,2023-05-14 18:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-02 00:00:00+00:00
70,84.0,Planned maintenance,,2023-05-26 19:00:00+00:00,463.0,Fossil Gas,47W000000000168B,PT15M,2023-05-07 23:00:00+00:00
71,0.0,Planned maintenance,,2023-03-31 19:00:00+00:00,4.0,Hydro Run-of-river and poundage,47W000000000234O,PT15M,2023-03-20 08:00:00+00:00
72,0.0,Planned maintenance,,2023-04-28 19:00:00+00:00,15.0,Hydro Run-of-river and poundage,47W000000000234O,PT15M,2023-04-17 07:00:00+00:00
74,0.0,Planned maintenance,,2023-06-23 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000230W,PT15M,2023-06-12 07:00:00+00:00
75,0.0,Planned maintenance,,2023-09-08 16:00:00+00:00,52.0,Fossil Oil,47W000000000163L,PT15M,2023-09-01 08:00:00+00:00
76,0.0,Planned maintenance,,2023-02-15 18:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-02-13 06:00:00+00:00
77,0.0,Planned maintenance,,2023-04-26 09:00:00+00:00,4.0,Hydro Run-of-river and poundage,47W000000000234O,PT15M,2023-04-18 07:00:00+00:00
78,0.0,Planned maintenance,,2023-09-14 07:00:00+00:00,118.0,Fossil Peat,47W000000000159C,PT15M,2023-06-30 11:00:00+00:00
79,0.0,Planned maintenance,,2023-04-20 19:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-04-17 17:00:00+00:00
80,0.0,Planned maintenance,,2023-04-20 15:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-04-18 17:00:00+00:00
81,0.0,Planned maintenance,,2023-05-24 21:00:00+00:00,285.0,Fossil Hard coal,47W000000000166F,PT15M,2023-05-08 21:00:00+00:00
82,0.0,Planned maintenance,,2023-08-12 22:00:00+00:00,285.0,Fossil Hard coal,47W000000000166F,PT15M,2023-08-09 22:00:00+00:00
83,0.0,Planned maintenance,,2023-06-14 20:00:00+00:00,400.0,Fossil Gas,47W000000000173I,PT15M,2023-05-25 20:00:00+00:00
84,0.0,Planned maintenance,,2023-04-09 20:00:00+00:00,342.0,Fossil Gas,47W000000000173I,PT15M,2023-03-24 21:00:00+00:00
85,0.0,Planned maintenance,,2023-06-14 20:00:00+00:00,400.0,Fossil Gas,47W000000000173I,PT15M,2023-05-25 20:00:00+00:00
86,0.0,Planned maintenance,,2023-06-30 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-06-26 07:00:00+00:00
87,0.0,Planned maintenance,,2023-05-15 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-01 05:00:00+00:00
88,0.0,Planned maintenance,,2023-05-15 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-01 05:00:00+00:00
89,0.0,Planned maintenance,,2023-07-18 23:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-13 23:00:00+00:00
90,0.0,Planned maintenance,,2023-04-27 19:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-04-25 05:00:00+00:00
91,0.0,Planned maintenance,,2023-07-27 23:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-13 23:00:00+00:00
92,0.0,Planned maintenance,,2023-08-06 23:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-23 23:00:00+00:00
93,0.0,Planned maintenance,,2023-04-15 22:00:00+00:00,431.0,Fossil Gas,47W000000000164J,PT15M,2023-04-09 11:00:00+00:00
94,0.0,Planned maintenance,,2023-04-04 23:00:00+00:00,15.0,Waste,47W000000000240T,PT15M,2023-03-25 00:00:00+00:00
95,0.0,Planned maintenance,,2023-07-07 20:00:00+00:00,405.0,Fossil Gas,47W000000000171M,PT15M,2023-06-23 11:00:00+00:00
96,0.0,Planned maintenance,,2023-05-17 19:00:00+00:00,22.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-05-08 10:00:00+00:00
97,84.0,Planned maintenance,,2023-10-06 23:00:00+00:00,463.0,Fossil Gas,47W000000000168B,PT15M,2023-09-02 23:00:00+00:00
98,0.0,Planned maintenance,,2023-05-19 15:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-05-01 05:00:00+00:00
99,0.0,Planned maintenance,,2023-07-28 16:00:00+00:00,4.0,Hydro Run-of-river and poundage,47W000000000233Q,PT15M,2023-06-06 07:00:00+00:00
100,0.0,Planned maintenance,,2023-06-16 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-06-16 08:00:00+00:00
101,0.0,Planned maintenance,,2023-06-16 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-06-16 08:00:00+00:00
102,0.0,Planned maintenance,,2023-06-16 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-06-16 08:00:00+00:00
103,0.0,Planned maintenance,,2023-06-16 17:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-06-16 08:00:00+00:00
104,0.0,Planned maintenance,,2023-09-05 21:00:00+00:00,435.0,Fossil Gas,47W000000000158E,PT15M,2023-08-16 09:00:00+00:00
105,0.0,Planned maintenance,,2023-11-06 22:00:00+00:00,435.0,Fossil Gas,47W000000000158E,PT15M,2023-11-02 10:00:00+00:00
107,0.0,Planned maintenance,,2023-07-07 17:00:00+00:00,10.0,Hydro Run-of-river and poundage,47W000000000231U,PT15M,2023-06-26 08:00:00+00:00
108,0.0,Planned maintenance,,2023-07-18 17:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-17 04:00:00+00:00
109,0.0,Planned maintenance,,2023-07-19 15:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-17 04:00:00+00:00
110,0.0,Planned maintenance,,2023-10-07 19:00:00+00:00,463.0,Fossil Gas,47W000000000168B,PT15M,2023-09-01 19:00:00+00:00
111,0.0,Planned maintenance,,2023-08-11 21:00:00+00:00,285.0,Fossil Hard coal,47W000000000166F,PT15M,2023-08-08 07:00:00+00:00
112,0.0,Planned maintenance,,2023-08-11 21:00:00+00:00,285.0,Fossil Hard coal,47W000000000166F,PT15M,2023-08-08 07:00:00+00:00
113,0.0,Planned maintenance,,2023-08-11 21:00:00+00:00,285.0,Fossil Hard coal,47W000000000166F,PT15M,2023-08-08 07:00:00+00:00
114,0.0,Planned maintenance,,2023-07-29 16:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-25 11:00:00+00:00
115,0.0,Planned maintenance,,2023-07-31 14:00:00+00:00,73.0,Hydro Pumped Storage,47W0000000001699,PT15M,2023-07-31 09:00:00+00:00
116,0.0,Planned maintenance,,2023-07-30 15:00:00+00:00,90.0,Fossil Gas,47W000000000164J,PT15M,2023-07-25 11:00:00+00:00
117,0.0,Planned maintenance,,2023-08-04 15:00:00+00:00,52.0,Fossil Oil,47W000000000161P,PT15M,2023-07-25 13:00:00+00:00
118,0.0,Planned maintenance,,2023-08-04 15:00:00+00:00,52.0,Fossil Oil,47W000000000161P,PT15M,2023-07-25 13:00:00+00:00
119,0.0,Planned maintenance,,2023-09-10 20:00:00+00:00,435.0,Fossil Gas,47W000000000158E,PT15M,2023-09-08 20:00:00+00:00
120,0.0,Planned maintenance,,2023-08-31 17:00:00+00:00,85.0,Fossil Gas,47W000000000157G,PT15M,2023-08-28 05:00:00+00:00
121,0.0,Planned maintenance,,2023-09-15 19:00:00+00:00,404.0,Fossil Gas,47W000000000172K,PT15M,2023-09-08 19:00:00+00:00
122,84.0,Planned maintenance,,2023-09-12 10:00:00+00:00,463.0,Fossil Gas,47W000000000168B,PT15M,2023-09-01 19:00:00+00:00
123,84.0,Planned maintenance,,2023-10-07 19:00:00+00:00,463.0,Fossil Gas,47W000000000168B,PT15M,2023-09-22 22:00:00+00:00
