,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
4,0.0,Planned maintenance,,2023-12-31 23:00:00+00:00,348.0,Fossil Gas,49W000000000063W,PT15M,2022-12-31 23:00:00+00:00
6,0.0,Planned maintenance,,2024-12-31 23:00:00+00:00,128.0,Fossil Gas,49W0000000000504,PT60M,2021-12-31 23:00:00+00:00
13,0.0,Planned maintenance,,2023-02-19 23:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-02-16 23:00:00+00:00
14,36.4,Planned maintenance,,2023-01-27 23:00:00+00:00,72.0,Fossil Gas,49W000000000135X,PT60M,2022-12-11 23:00:00+00:00
16,0.0,Unplanned outage,,2023-08-18 21:00:00+00:00,144.0,Fossil Gas,49W000000000046W,PT15M,2023-06-23 21:00:00+00:00
20,0.0,Planned maintenance,,2023-02-12 22:00:00+00:00,360.0,Fossil Gas,49W000000000080W,PT60M,2023-02-11 00:00:00+00:00
21,0.0,Planned maintenance,,2023-02-19 22:00:00+00:00,360.0,Fossil Gas,49W000000000084O,PT60M,2023-02-18 00:00:00+00:00
23,380.0,Planned maintenance,,2023-01-02 05:00:00+00:00,464.0,Fossil Gas,49W000000000074R,PT60M,2022-12-21 11:00:00+00:00
24,0.0,Planned maintenance,,2023-01-01 03:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2022-12-31 23:00:00+00:00
25,0.0,Planned maintenance,,2023-01-02 05:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-01-01 23:00:00+00:00
26,0.0,Planned maintenance,,2023-01-01 13:00:00+00:00,144.0,Fossil Gas,49W000000000046W,PT15M,2022-12-31 23:00:00+00:00
27,0.0,Planned maintenance,,2023-01-03 05:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-01-02 23:00:00+00:00
28,0.0,Planned maintenance,,2023-01-02 04:00:00+00:00,790.0,Fossil Hard coal,49W000000000066Q,PT1M,2023-01-02 04:00:00+00:00
29,0.0,Planned maintenance,,2023-01-02 15:00:00+00:00,790.0,Fossil Hard coal,49W000000000066Q,PT15M,2023-01-02 04:00:00+00:00
30,0.0,Planned maintenance,,2023-01-02 16:00:00+00:00,790.0,Fossil Hard coal,49W000000000066Q,PT1M,2023-01-02 15:00:00+00:00
31,0.0,Planned maintenance,,2023-01-04 05:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-01-03 23:00:00+00:00
32,0.0,Planned maintenance,,2023-01-04 06:00:00+00:00,249.0,Fossil Gas,49W0000000000431,PT15M,2022-12-31 23:00:00+00:00
33,491.0,Planned maintenance,,2023-01-03 23:00:00+00:00,631.0,Fossil Hard coal,49W000000000070Z,PT15M,2023-01-03 12:00:00+00:00
34,0.0,Planned maintenance,,2023-01-05 07:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-01-04 23:00:00+00:00
35,0.0,Unplanned outage,,2023-01-04 15:00:00+00:00,426.0,Fossil Gas,49W0000000001225,PT15M,2023-01-04 07:00:00+00:00
36,0.0,Unplanned outage,,2023-01-04 07:00:00+00:00,435.0,Fossil Gas,49W0000000000431,PT15M,2023-01-04 03:00:00+00:00
37,0.0,Planned maintenance,,2023-01-04 13:00:00+00:00,249.0,Fossil Gas,49W0000000000431,PT15M,2023-01-04 11:00:00+00:00
38,0.0,Unplanned outage,,2023-01-04 13:00:00+00:00,112.0,Fossil Gas,49W0000000000342,PT15M,2023-01-04 09:00:00+00:00
39,0.0,Planned maintenance,,2023-01-05 17:00:00+00:00,360.0,Fossil Gas,49W000000000086K,PT60M,2023-01-05 05:00:00+00:00
40,410.0,Planned maintenance,,2023-01-05 06:00:00+00:00,464.0,Fossil Gas,49W000000000074R,PT1M,2023-01-05 06:00:00+00:00
41,410.0,Planned maintenance,,2023-01-05 06:00:00+00:00,464.0,Fossil Gas,49W000000000074R,PT15M,2023-01-05 06:00:00+00:00
42,410.0,Planned maintenance,,2023-01-05 06:00:00+00:00,464.0,Fossil Gas,49W000000000074R,PT60M,2023-01-03 23:00:00+00:00
43,0.0,Unplanned outage,,2023-01-05 07:00:00+00:00,464.0,Fossil Gas,49W000000000074R,PT1M,2023-01-05 06:00:00+00:00
