,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
9,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,380.0,Fossil Hard coal,19W0000000001292,PT15M,2021-12-31 23:00:00+00:00
10,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,380.0,Fossil Hard coal,19W0000000001292,PT1M,2021-12-31 23:00:00+00:00
11,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,380.0,Fossil Hard coal,19W0000000001292,PT60M,2022-01-01 00:00:00+00:00
12,0.0,Planned maintenance,,2022-01-01 00:00:00+00:00,380.0,Fossil Hard coal,19W0000000001292,PT30M,2021-12-31 23:00:00+00:00
21,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT15M,2021-12-31 23:00:00+00:00
22,0.0,Planned maintenance,,2022-01-01 00:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT30M,2021-12-31 23:00:00+00:00
23,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT60M,2022-01-01 00:00:00+00:00
24,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT1M,2021-12-31 23:00:00+00:00
41,0.0,Planned maintenance,,2022-01-31 23:00:00+00:00,222.0,Fossil Hard coal,19W000000000043C,PT60M,2021-12-22 12:00:00+00:00
42,0.0,Planned maintenance,,2021-12-22 12:00:00+00:00,222.0,Fossil Hard coal,19W000000000043C,PT1M,2021-12-22 12:00:00+00:00
43,0.0,Planned maintenance,,2022-01-02 00:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT30M,2022-01-01 23:00:00+00:00
44,0.0,Planned maintenance,,2022-01-01 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT1M,2022-01-01 23:00:00+00:00
45,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT60M,2022-01-02 00:00:00+00:00
46,0.0,Planned maintenance,,2022-01-01 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT15M,2022-01-01 23:00:00+00:00
47,0.0,Planned maintenance,,2022-01-01 00:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT30M,2021-12-31 23:00:00+00:00
48,0.0,Planned maintenance,,2022-01-01 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT60M,2022-01-01 00:00:00+00:00
49,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT1M,2021-12-31 23:00:00+00:00
50,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT15M,2021-12-31 23:00:00+00:00
51,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT1M,2022-01-02 23:00:00+00:00
52,0.0,Planned maintenance,,2022-01-03 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT60M,2022-01-03 00:00:00+00:00
53,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT15M,2022-01-02 23:00:00+00:00
54,0.0,Planned maintenance,,2022-01-03 00:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT30M,2022-01-02 23:00:00+00:00
55,0.0,Planned maintenance,,2022-01-03 00:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT30M,2022-01-02 23:00:00+00:00
56,0.0,Planned maintenance,,2022-01-03 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT60M,2022-01-03 00:00:00+00:00
57,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT1M,2022-01-02 23:00:00+00:00
58,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT15M,2022-01-02 23:00:00+00:00
59,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT60M,2022-01-01 00:00:00+00:00
60,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT15M,2021-12-31 23:00:00+00:00
61,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT1M,2021-12-31 23:00:00+00:00
62,0.0,Planned maintenance,,2022-01-01 00:00:00+00:00,230.0,Fossil Hard coal,19W0000000001349,PT30M,2021-12-31 23:00:00+00:00
63,0.0,Planned maintenance,,2022-01-01 23:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT1M,2022-01-01 23:00:00+00:00
64,0.0,Planned maintenance,,2022-01-02 00:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT30M,2022-01-01 23:00:00+00:00
65,0.0,Planned maintenance,,2022-01-02 12:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT60M,2022-01-02 00:00:00+00:00
66,0.0,Planned maintenance,,2022-01-01 23:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT15M,2022-01-01 23:00:00+00:00
67,0.0,Planned maintenance,,2022-01-01 13:00:00+00:00,188.0,Fossil Gas,19W000000000230D,PT30M,2022-01-01 13:00:00+00:00
68,0.0,Planned maintenance,,2022-01-01 13:00:00+00:00,188.0,Fossil Gas,19W000000000230D,PT60M,2021-12-30 21:00:00+00:00
69,0.0,Planned maintenance,,2021-12-30 21:00:00+00:00,188.0,Fossil Gas,19W000000000230D,PT1M,2021-12-30 21:00:00+00:00
70,0.0,Planned maintenance,,2022-01-01 14:00:00+00:00,188.0,Fossil Gas,19W000000000230D,PT15M,2022-01-01 13:00:00+00:00
83,0.0,Planned maintenance,,2022-01-01 13:00:00+00:00,225.0,Fossil Hard coal,19W000000000095U,PT30M,2022-01-01 13:00:00+00:00
84,0.0,Planned maintenance,,2022-01-01 13:00:00+00:00,225.0,Fossil Hard coal,19W000000000095U,PT60M,2021-12-30 00:00:00+00:00
85,0.0,Planned maintenance,,2021-12-30 00:00:00+00:00,225.0,Fossil Hard coal,19W000000000095U,PT30M,2021-12-29 23:00:00+00:00
86,0.0,Planned maintenance,,2021-12-29 23:00:00+00:00,225.0,Fossil Hard coal,19W000000000095U,PT15M,2021-12-29 23:00:00+00:00
87,0.0,Planned maintenance,,2021-12-29 23:00:00+00:00,225.0,Fossil Hard coal,19W000000000095U,PT1M,2021-12-29 23:00:00+00:00
92,0.0,Planned maintenance,,2021-12-31 00:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT30M,2021-12-30 23:00:00+00:00
93,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT60M,2021-12-31 00:00:00+00:00
94,0.0,Planned maintenance,,2021-12-30 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT15M,2021-12-30 23:00:00+00:00
95,0.0,Planned maintenance,,2021-12-30 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT1M,2021-12-30 23:00:00+00:00
100,0.0,Planned maintenance,,2021-12-29 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT1M,2021-12-29 23:00:00+00:00
101,0.0,Planned maintenance,,2021-12-30 00:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT30M,2021-12-29 23:00:00+00:00
102,0.0,Planned maintenance,,2022-01-02 23:00:00+00:00,228.0,Fossil Hard coal,19W000000000095U,PT60M,2021-12-30 00:00:00+00:00
111,0.0,Planned maintenance,,2022-01-01 20:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT1M,2022-01-01 20:00:00+00:00
112,0.0,Planned maintenance,,2022-01-01 00:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT30M,2021-12-31 23:00:00+00:00
113,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT15M,2021-12-31 23:00:00+00:00
114,0.0,Planned maintenance,,2022-01-01 19:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT60M,2022-01-01 00:00:00+00:00
115,0.0,Planned maintenance,,2022-01-01 19:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT30M,2022-01-01 19:00:00+00:00
116,0.0,Planned maintenance,,2022-01-01 20:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT15M,2022-01-01 19:00:00+00:00
117,0.0,Planned maintenance,,2021-12-31 23:00:00+00:00,566.0,Fossil Hard coal,19W000000000104I,PT1M,2021-12-31 23:00:00+00:00
122,0.0,Unplanned outage,,2022-01-02 16:00:00+00:00,195.0,Hydro Pumped Storage,19W0000000002418,PT15M,2022-01-02 16:00:00+00:00
123,0.0,Unplanned outage,,2022-01-02 16:00:00+00:00,195.0,Hydro Pumped Storage,19W0000000002418,PT1M,2022-01-02 16:00:00+00:00
124,0.0,Unplanned outage,,2022-01-02 16:00:00+00:00,195.0,Hydro Pumped Storage,19W0000000002418,PT60M,2022-01-02 09:00:00+00:00
125,0.0,Unplanned outage,,2022-01-02 09:00:00+00:00,195.0,Hydro Pumped Storage,19W0000000002418,PT30M,2022-01-02 09:00:00+00:00
126,0.0,Unplanned outage,,2022-01-02 09:00:00+00:00,195.0,Hydro Pumped Storage,19W0000000002418,PT1M,2022-01-02 08:00:00+00:00
127,0.0,Planned maintenance,,2022-01-04 08:00:00+00:00,108.0,Fossil Hard coal,19W000000000213D,PT1M,2022-01-04 08:00:00+00:00
128,0.0,Planned maintenance,,2022-01-04 09:00:00+00:00,108.0,Fossil Hard coal,19W000000000213D,PT15M,2022-01-04 08:00:00+00:00
129,0.0,Planned maintenance,,2022-01-04 09:00:00+00:00,108.0,Fossil Hard coal,19W000000000213D,PT30M,2022-01-04 09:00:00+00:00
130,0.0,Planned maintenance,,2022-01-04 15:00:00+00:00,108.0,Fossil Hard coal,19W000000000213D,PT60M,2022-01-04 09:00:00+00:00
147,0.0,Planned maintenance,,2022-01-03 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT1M,2022-01-03 23:00:00+00:00
148,0.0,Planned maintenance,,2022-01-03 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT15M,2022-01-03 23:00:00+00:00
149,0.0,Planned maintenance,,2022-01-04 00:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT30M,2022-01-03 23:00:00+00:00
150,0.0,Planned maintenance,,2022-01-05 23:00:00+00:00,220.0,Fossil Hard coal,19W000000000095U,PT60M,2022-01-04 00:00:00+00:00
151,0.0,Planned maintenance,,2022-01-04 23:00:00+00:00,222.0,Fossil Brown coal/Lignite,19W000000000142A,PT60M,2022-01-01 20:00:00+00:00
152,0.0,Planned maintenance,,2022-01-01 19:00:00+00:00,222.0,Fossil Brown coal/Lignite,19W000000000142A,PT1M,2022-01-01 19:00:00+00:00
153,0.0,Planned maintenance,,2022-01-01 19:00:00+00:00,222.0,Fossil Brown coal/Lignite,19W000000000142A,PT15M,2022-01-01 19:00:00+00:00
