,0
2022-01-01 00:00:00+00:00,-0.01
2022-01-01 01:00:00+00:00,0.27
2022-01-01 02:00:00+00:00,-0.01
2022-01-01 03:00:00+00:00,-0.01
2022-01-01 04:00:00+00:00,-5.27
2022-01-01 05:00:00+00:00,-14.4
2022-01-01 06:00:00+00:00,-23.72
2022-01-01 07:00:00+00:00,-16.5
2022-01-01 08:00:00+00:00,0.0
2022-01-01 09:00:00+00:00,0.01
2022-01-01 10:00:00+00:00,54.1
2022-01-01 11:00:00+00:00,80.7
2022-01-01 12:00:00+00:00,112.47
2022-01-01 13:00:00+00:00,121.0
2022-01-01 14:00:00+00:00,123.88
2022-01-01 15:00:00+00:00,120.0
2022-01-01 16:00:00+00:00,141.83
2022-01-01 17:00:00+00:00,237.51
2022-01-01 18:00:00+00:00,188.6
2022-01-01 19:00:00+00:00,162.0
2022-01-01 20:00:00+00:00,147.3
2022-01-01 21:00:00+00:00,123.2
2022-01-01 22:00:00+00:00,99.0
2022-01-01 23:00:00+00:00,78.91
2022-01-02 00:00:00+00:00,60.0
2022-01-02 01:00:00+00:00,43.73
2022-01-02 02:00:00+00:00,14.0
2022-01-02 03:00:00+00:00,0.0
2022-01-02 04:00:00+00:00,-1.31
2022-01-02 05:00:00+00:00,-5.0
2022-01-02 06:00:00+00:00,-19.6
2022-01-02 07:00:00+00:00,0.0
2022-01-02 08:00:00+00:00,0.0
2022-01-02 09:00:00+00:00,46.1
2022-01-02 10:00:00+00:00,92.5
2022-01-02 11:00:00+00:00,80.78
2022-01-02 12:00:00+00:00,89.16
2022-01-02 13:00:00+00:00,85.13
2022-01-02 14:00:00+00:00,96.0
2022-01-02 15:00:00+00:00,56.83
2022-01-02 16:00:00+00:00,120.0
2022-01-02 17:00:00+00:00,162.0
2022-01-02 18:00:00+00:00,133.02
2022-01-02 19:00:00+00:00,99.74
2022-01-02 20:00:00+00:00,79.0
2022-01-02 21:00:00+00:00,88.91
2022-01-02 22:00:00+00:00,0.0
2022-01-02 23:00:00+00:00,-10.1
2022-01-03 00:00:00+00:00,-10.0
2022-01-03 01:00:00+00:00,-10.0
2022-01-03 02:00:00+00:00,-18.88
2022-01-03 03:00:00+00:00,-25.78
2022-01-03 04:00:00+00:00,-19.7
2022-01-03 05:00:00+00:00,0.0
2022-01-03 06:00:00+00:00,4.0
2022-01-03 07:00:00+00:00,23.6
2022-01-03 08:00:00+00:00,58.26
2022-01-03 09:00:00+00:00,82.17
2022-01-03 10:00:00+00:00,102.2
2022-01-03 11:00:00+00:00,112.12
2022-01-03 12:00:00+00:00,125.0
2022-01-03 13:00:00+00:00,134.0
2022-01-03 14:00:00+00:00,136.0
2022-01-03 15:00:00+00:00,137.0
2022-01-03 16:00:00+00:00,179.49
2022-01-03 17:00:00+00:00,251.91
2022-01-03 18:00:00+00:00,220.92
2022-01-03 19:00:00+00:00,184.08
2022-01-03 20:00:00+00:00,154.56
2022-01-03 21:00:00+00:00,149.44
2022-01-03 22:00:00+00:00,120.24
2022-01-03 23:00:00+00:00,129.7
2022-01-04 00:00:00+00:00,138.18
2022-01-04 01:00:00+00:00,143.0
2022-01-04 02:00:00+00:00,128.71
2022-01-04 03:00:00+00:00,112.3
2022-01-04 04:00:00+00:00,120.0
2022-01-04 05:00:00+00:00,129.96
2022-01-04 06:00:00+00:00,184.74
2022-01-04 07:00:00+00:00,277.0
2022-01-04 08:00:00+00:00,233.0
2022-01-04 09:00:00+00:00,201.78
2022-01-04 10:00:00+00:00,199.35
2022-01-04 11:00:00+00:00,197.0
2022-01-04 12:00:00+00:00,191.7
2022-01-04 13:00:00+00:00,182.41
2022-01-04 14:00:00+00:00,179.33
2022-01-04 15:00:00+00:00,179.0
2022-01-04 16:00:00+00:00,212.0
2022-01-04 17:00:00+00:00,248.0
2022-01-04 18:00:00+00:00,241.1
2022-01-04 19:00:00+00:00,221.0
2022-01-04 20:00:00+00:00,180.49
2022-01-04 21:00:00+00:00,180.0
2022-01-04 22:00:00+00:00,136.0
2022-01-04 23:00:00+00:00,197.17
2022-01-05 00:00:00+00:00,197.17
2022-01-05 01:00:00+00:00,195.0
2022-01-05 02:00:00+00:00,173.0
