,0
2022-01-01 00:00:00+00:00,49.37
2022-01-01 01:00:00+00:00,43.22
2022-01-01 02:00:00+00:00,45.46
2022-01-01 03:00:00+00:00,37.67
2022-01-01 04:00:00+00:00,39.7
2022-01-01 05:00:00+00:00,40.59
2022-01-01 06:00:00+00:00,43.26
2022-01-01 07:00:00+00:00,49.66
2022-01-01 08:00:00+00:00,70.05
2022-01-01 09:00:00+00:00,76.79
2022-01-01 10:00:00+00:00,84.1
2022-01-01 11:00:00+00:00,94.74
2022-01-01 12:00:00+00:00,96.8
2022-01-01 13:00:00+00:00,97.17
2022-01-01 14:00:00+00:00,101.0
2022-01-01 15:00:00+00:00,126.6
2022-01-01 16:00:00+00:00,149.97
2022-01-01 17:00:00+00:00,146.33
2022-01-01 18:00:00+00:00,140.28
2022-01-01 19:00:00+00:00,121.88
2022-01-01 20:00:00+00:00,102.61
2022-01-01 21:00:00+00:00,97.46
2022-01-01 22:00:00+00:00,85.16
2022-01-01 23:00:00+00:00,89.89
2022-01-02 00:00:00+00:00,80.15
2022-01-02 01:00:00+00:00,62.75
2022-01-02 02:00:00+00:00,54.87
2022-01-02 03:00:00+00:00,50.5
2022-01-02 04:00:00+00:00,50.89
2022-01-02 05:00:00+00:00,56.15
2022-01-02 06:00:00+00:00,60.91
2022-01-02 07:00:00+00:00,65.54
2022-01-02 08:00:00+00:00,86.18
2022-01-02 09:00:00+00:00,89.71
2022-01-02 10:00:00+00:00,91.12
2022-01-02 11:00:00+00:00,91.4
2022-01-02 12:00:00+00:00,91.44
2022-01-02 13:00:00+00:00,86.25
2022-01-02 14:00:00+00:00,81.09
2022-01-02 15:00:00+00:00,88.46
2022-01-02 16:00:00+00:00,95.4
2022-01-02 17:00:00+00:00,86.71
2022-01-02 18:00:00+00:00,82.14
2022-01-02 19:00:00+00:00,89.38
2022-01-02 20:00:00+00:00,73.66
2022-01-02 21:00:00+00:00,74.28
2022-01-02 22:00:00+00:00,57.04
2022-01-02 23:00:00+00:00,21.82
2022-01-03 00:00:00+00:00,19.62
2022-01-03 01:00:00+00:00,19.62
2022-01-03 02:00:00+00:00,27.54
2022-01-03 03:00:00+00:00,49.18
2022-01-03 04:00:00+00:00,76.3
2022-01-03 05:00:00+00:00,89.98
2022-01-03 06:00:00+00:00,102.48
2022-01-03 07:00:00+00:00,119.24
2022-01-03 08:00:00+00:00,114.67
2022-01-03 09:00:00+00:00,107.46
2022-01-03 10:00:00+00:00,110.08
2022-01-03 11:00:00+00:00,119.78
2022-01-03 12:00:00+00:00,117.0
2022-01-03 13:00:00+00:00,111.57
2022-01-03 14:00:00+00:00,111.39
2022-01-03 15:00:00+00:00,120.27
2022-01-03 16:00:00+00:00,120.27
2022-01-03 17:00:00+00:00,120.27
2022-01-03 18:00:00+00:00,117.64
2022-01-03 19:00:00+00:00,117.61
2022-01-03 20:00:00+00:00,95.95
2022-01-03 21:00:00+00:00,105.68
2022-01-03 22:00:00+00:00,95.26
2022-01-03 23:00:00+00:00,103.7
2022-01-04 00:00:00+00:00,104.14
2022-01-04 01:00:00+00:00,102.59
2022-01-04 02:00:00+00:00,100.49
2022-01-04 03:00:00+00:00,102.71
2022-01-04 04:00:00+00:00,93.97
2022-01-04 05:00:00+00:00,130.08
2022-01-04 06:00:00+00:00,124.62
2022-01-04 07:00:00+00:00,140.86
2022-01-04 08:00:00+00:00,190.0
2022-01-04 09:00:00+00:00,189.88
