,0
2022-01-01 00:00:00+00:00,41.33
2022-01-01 01:00:00+00:00,42.18
2022-01-01 02:00:00+00:00,44.37
2022-01-01 03:00:00+00:00,37.67
2022-01-01 04:00:00+00:00,39.7
2022-01-01 05:00:00+00:00,40.59
2022-01-01 06:00:00+00:00,43.26
2022-01-01 07:00:00+00:00,49.66
2022-01-01 08:00:00+00:00,70.05
2022-01-01 09:00:00+00:00,76.79
2022-01-01 10:00:00+00:00,84.1
2022-01-01 11:00:00+00:00,94.74
2022-01-01 12:00:00+00:00,96.8
2022-01-01 13:00:00+00:00,97.17
2022-01-01 14:00:00+00:00,101.27
2022-01-01 15:00:00+00:00,126.6
2022-01-01 16:00:00+00:00,149.97
2022-01-01 17:00:00+00:00,146.33
2022-01-01 18:00:00+00:00,140.28
2022-01-01 19:00:00+00:00,121.88
2022-01-01 20:00:00+00:00,102.61
2022-01-01 21:00:00+00:00,95.12
2022-01-01 22:00:00+00:00,83.11
2022-01-01 23:00:00+00:00,34.73
2022-01-02 00:00:00+00:00,34.39
2022-01-02 01:00:00+00:00,34.36
2022-01-02 02:00:00+00:00,34.1
2022-01-02 03:00:00+00:00,29.56
2022-01-02 04:00:00+00:00,33.97
2022-01-02 05:00:00+00:00,34.52
2022-01-02 06:00:00+00:00,41.8
2022-01-02 07:00:00+00:00,48.95
2022-01-02 08:00:00+00:00,60.01
2022-01-02 09:00:00+00:00,70.09
2022-01-02 10:00:00+00:00,66.26
2022-01-02 11:00:00+00:00,64.54
2022-01-02 12:00:00+00:00,46.96
2022-01-02 13:00:00+00:00,49.06
2022-01-02 14:00:00+00:00,74.99
2022-01-02 15:00:00+00:00,88.15
2022-01-02 16:00:00+00:00,95.4
2022-01-02 17:00:00+00:00,86.71
2022-01-02 18:00:00+00:00,71.27
2022-01-02 19:00:00+00:00,54.12
2022-01-02 20:00:00+00:00,46.16
2022-01-02 21:00:00+00:00,46.29
2022-01-02 22:00:00+00:00,32.93
2022-01-02 23:00:00+00:00,20.89
2022-01-03 00:00:00+00:00,19.92
2022-01-03 01:00:00+00:00,19.87
2022-01-03 02:00:00+00:00,19.82
2022-01-03 03:00:00+00:00,20.26
2022-01-03 04:00:00+00:00,29.35
2022-01-03 05:00:00+00:00,37.55
2022-01-03 06:00:00+00:00,88.76
2022-01-03 07:00:00+00:00,122.93
2022-01-03 08:00:00+00:00,110.17
2022-01-03 09:00:00+00:00,93.38
2022-01-03 10:00:00+00:00,90.73
2022-01-03 11:00:00+00:00,82.37
2022-01-03 12:00:00+00:00,80.9
2022-01-03 13:00:00+00:00,80.99
2022-01-03 14:00:00+00:00,98.05
2022-01-03 15:00:00+00:00,120.55
2022-01-03 16:00:00+00:00,139.57
2022-01-03 17:00:00+00:00,134.69
2022-01-03 18:00:00+00:00,114.82
2022-01-03 19:00:00+00:00,92.91
2022-01-03 20:00:00+00:00,72.39
2022-01-03 21:00:00+00:00,39.45
2022-01-03 22:00:00+00:00,34.4
2022-01-03 23:00:00+00:00,39.99
2022-01-04 00:00:00+00:00,37.14
2022-01-04 01:00:00+00:00,36.66
2022-01-04 02:00:00+00:00,38.64
2022-01-04 03:00:00+00:00,41.02
2022-01-04 04:00:00+00:00,93.97
2022-01-04 05:00:00+00:00,122.39
2022-01-04 06:00:00+00:00,154.93
2022-01-04 07:00:00+00:00,167.88
2022-01-04 08:00:00+00:00,166.65
2022-01-04 09:00:00+00:00,167.29
2022-01-04 10:00:00+00:00,164.62
2022-01-04 11:00:00+00:00,159.98
2022-01-04 12:00:00+00:00,155.69
2022-01-04 13:00:00+00:00,155.16
2022-01-04 14:00:00+00:00,158.45
2022-01-04 15:00:00+00:00,161.35
2022-01-04 16:00:00+00:00,167.76
2022-01-04 17:00:00+00:00,164.46
2022-01-04 18:00:00+00:00,153.88
2022-01-04 19:00:00+00:00,146.81
2022-01-04 20:00:00+00:00,128.75
2022-01-04 21:00:00+00:00,112.96
2022-01-04 22:00:00+00:00,84.11
2022-01-04 23:00:00+00:00,93.87
2022-01-05 00:00:00+00:00,51.69
2022-01-05 01:00:00+00:00,50.04
2022-01-05 02:00:00+00:00,49.53
2022-01-05 03:00:00+00:00,50.07
2022-01-05 04:00:00+00:00,93.39
2022-01-05 05:00:00+00:00,99.16
2022-01-05 06:00:00+00:00,101.15
2022-01-05 07:00:00+00:00,129.56
2022-01-05 08:00:00+00:00,121.09
2022-01-05 09:00:00+00:00,135.05
2022-01-05 10:00:00+00:00,129.99
2022-01-05 11:00:00+00:00,131.97
2022-01-05 12:00:00+00:00,130.67
2022-01-05 13:00:00+00:00,121.39
2022-01-05 14:00:00+00:00,122.42
2022-01-05 15:00:00+00:00,137.28
2022-01-05 16:00:00+00:00,148.09
2022-01-05 17:00:00+00:00,139.88
2022-01-05 18:00:00+00:00,135.75
2022-01-05 19:00:00+00:00,119.93
2022-01-05 20:00:00+00:00,98.09
2022-01-05 21:00:00+00:00,118.71
2022-01-05 22:00:00+00:00,97.29
2022-01-05 23:00:00+00:00,93.29
2022-01-06 00:00:00+00:00,80.77
2022-01-06 01:00:00+00:00,78.08
2022-01-06 02:00:00+00:00,81.97
2022-01-06 03:00:00+00:00,89.31
2022-01-06 04:00:00+00:00,89.75
2022-01-06 05:00:00+00:00,97.06
2022-01-06 06:00:00+00:00,110.87
2022-01-06 07:00:00+00:00,136.88
2022-01-06 08:00:00+00:00,205.87
2022-01-06 09:00:00+00:00,209.25
2022-01-06 10:00:00+00:00,224.71
2022-01-06 11:00:00+00:00,218.99
2022-01-06 12:00:00+00:00,202.71
2022-01-06 13:00:00+00:00,209.36
2022-01-06 14:00:00+00:00,225.23
2022-01-06 15:00:00+00:00,245.95
2022-01-06 16:00:00+00:00,274.11
2022-01-06 17:00:00+00:00,272.89
2022-01-06 18:00:00+00:00,220.32
2022-01-06 19:00:00+00:00,217.91
2022-01-06 20:00:00+00:00,203.31
2022-01-06 21:00:00+00:00,171.31
2022-01-06 22:00:00+00:00,124.7
2022-01-06 23:00:00+00:00,128.92
2022-01-07 00:00:00+00:00,116.65
2022-01-07 01:00:00+00:00,100.54
2022-01-07 02:00:00+00:00,99.47
2022-01-07 03:00:00+00:00,101.74
2022-01-07 04:00:00+00:00,114.99
2022-01-07 05:00:00+00:00,140.19
2022-01-07 06:00:00+00:00,152.64
2022-01-07 07:00:00+00:00,160.97
2022-01-07 08:00:00+00:00,161.85
2022-01-07 09:00:00+00:00,161.37
2022-01-07 10:00:00+00:00,166.06
2022-01-07 11:00:00+00:00,166.54
2022-01-07 12:00:00+00:00,165.97
2022-01-07 13:00:00+00:00,165.36
2022-01-07 14:00:00+00:00,185.15
2022-01-07 15:00:00+00:00,201.56
2022-01-07 16:00:00+00:00,243.11
2022-01-07 17:00:00+00:00,247.72
2022-01-07 18:00:00+00:00,187.5
2022-01-07 19:00:00+00:00,160.5
2022-01-07 20:00:00+00:00,157.95
2022-01-07 21:00:00+00:00,153.9
2022-01-07 22:00:00+00:00,144.76
2022-01-07 23:00:00+00:00,153.03
2022-01-08 00:00:00+00:00,146.08
2022-01-08 01:00:00+00:00,144.64
2022-01-08 02:00:00+00:00,145.74
2022-01-08 03:00:00+00:00,146.97
2022-01-08 04:00:00+00:00,146.88
2022-01-08 05:00:00+00:00,146.56
2022-01-08 06:00:00+00:00,147.18
2022-01-08 07:00:00+00:00,153.66
2022-01-08 08:00:00+00:00,156.07
2022-01-08 09:00:00+00:00,159.08
2022-01-08 10:00:00+00:00,158.5
2022-01-08 11:00:00+00:00,158.79
2022-01-08 12:00:00+00:00,156.07
2022-01-08 13:00:00+00:00,156.18
2022-01-08 14:00:00+00:00,158.89
2022-01-08 15:00:00+00:00,161.0
2022-01-08 16:00:00+00:00,189.9
2022-01-08 17:00:00+00:00,170.71
2022-01-08 18:00:00+00:00,140.08
2022-01-08 19:00:00+00:00,105.07
2022-01-08 20:00:00+00:00,104.85
2022-01-08 21:00:00+00:00,104.8
2022-01-08 22:00:00+00:00,90.05
2022-01-08 23:00:00+00:00,85.03
2022-01-09 00:00:00+00:00,84.4
2022-01-09 01:00:00+00:00,80.24
2022-01-09 02:00:00+00:00,55.46
2022-01-09 03:00:00+00:00,49.29
2022-01-09 04:00:00+00:00,50.64
2022-01-09 05:00:00+00:00,74.29
2022-01-09 06:00:00+00:00,84.44
2022-01-09 07:00:00+00:00,97.26
2022-01-09 08:00:00+00:00,119.97
2022-01-09 09:00:00+00:00,134.96
2022-01-09 10:00:00+00:00,145.82
2022-01-09 11:00:00+00:00,157.14
2022-01-09 12:00:00+00:00,154.66
2022-01-09 13:00:00+00:00,154.88
2022-01-09 14:00:00+00:00,158.37
2022-01-09 15:00:00+00:00,186.37
2022-01-09 16:00:00+00:00,223.3
2022-01-09 17:00:00+00:00,243.19
2022-01-09 18:00:00+00:00,209.65
2022-01-09 19:00:00+00:00,155.07
2022-01-09 20:00:00+00:00,159.38
2022-01-09 21:00:00+00:00,148.23
2022-01-09 22:00:00+00:00,144.79
2022-01-09 23:00:00+00:00,144.28
2022-01-10 00:00:00+00:00,138.09
2022-01-10 01:00:00+00:00,133.81
2022-01-10 02:00:00+00:00,136.44
2022-01-10 03:00:00+00:00,142.99
2022-01-10 04:00:00+00:00,152.09
2022-01-10 05:00:00+00:00,231.74
2022-01-10 06:00:00+00:00,299.95
