station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LOWW,2022-01-01 00:20,59.00,44.60,58.77,290.00,19.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 010020Z 29019KT CAVOK 15/07 Q1021 NOSIG,M
LOWW,2022-01-01 00:50,57.20,44.60,62.69,290.00,22.00,0.00,30.15,M,6.21,M,FEW,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 010050Z 29022KT 9999 FEW046 14/07 Q1021 NOSIG,M
LOWW,2022-01-01 01:20,57.20,44.60,62.69,280.00,21.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 010120Z 28021KT CAVOK 14/07 Q1022 NOSIG,M
LOWW,2022-01-01 01:50,55.40,44.60,66.91,280.00,18.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LOWW 010150Z 28018KT CAVOK 13/07 Q1022 NOSIG,M
LOWW,2022-01-01 02:20,57.20,44.60,62.69,290.00,18.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 010220Z 29018KT CAVOK 14/07 Q1022 NOSIG,M
LOWW,2022-01-01 02:50,55.40,44.60,66.91,290.00,14.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LOWW 010250Z 29014KT CAVOK 13/07 Q1022 NOSIG,M
LOWW,2022-01-01 03:20,55.40,44.60,66.91,310.00,15.00,0.00,30.18,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,55.40,LOWW 010320Z 31015KT 9999 FEW050 13/07 Q1022 NOSIG,M
LOWW,2022-01-01 03:50,55.40,44.60,66.91,300.00,20.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,4600.00,5000.00,M,M,M,M,M,M,M,M,M,55.40,LOWW 010350Z 30020KT 9999 FEW046 SCT050 13/07 Q1022 NOSIG,M
LOWW,2022-01-01 04:20,53.60,44.60,71.45,310.00,18.00,0.00,30.18,M,6.21,28.00,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010420Z 31018G28KT 9999 SCT050 12/07 Q1022 NOSIG,M
LOWW,2022-01-01 04:50,53.60,46.40,76.50,300.00,16.00,0.00,30.18,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010450Z 30016KT 9999 FEW050 12/08 Q1022 NOSIG,M
LOWW,2022-01-01 05:20,53.60,44.60,71.45,300.00,19.00,0.00,30.21,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010520Z 30019KT 9999 FEW050 12/07 Q1023 NOSIG,M
LOWW,2022-01-01 05:50,53.60,44.60,71.45,300.00,17.00,0.00,30.18,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010550Z 30017KT 9999 FEW050 12/07 Q1022 NOSIG,M
LOWW,2022-01-01 06:20,53.60,44.60,71.45,300.00,15.00,0.00,30.21,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010620Z 30015KT 9999 FEW050 12/07 Q1023 NOSIG,M
LOWW,2022-01-01 06:50,55.40,44.60,66.91,290.00,14.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LOWW 010650Z 29014KT 260V320 CAVOK 13/07 Q1023 NOSIG,M
LOWW,2022-01-01 07:20,53.60,44.60,71.45,270.00,11.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010720Z 27011KT CAVOK 12/07 Q1024 NOSIG,M
LOWW,2022-01-01 07:50,53.60,44.60,71.45,280.00,10.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LOWW 010750Z 28010KT 250V310 CAVOK 12/07 Q1024 NOSIG,M
LOWW,2022-01-01 08:20,55.40,44.60,66.91,290.00,12.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LOWW 010820Z 29012KT CAVOK 13/07 Q1024 NOSIG,M
LOWW,2022-01-01 08:50,57.20,44.60,62.69,300.00,17.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 010850Z 30017KT CAVOK 14/07 Q1024 NOSIG,M
LOWW,2022-01-01 09:20,59.00,44.60,58.77,280.00,17.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 010920Z 28017KT CAVOK 15/07 Q1024 NOSIG,M
LOWW,2022-01-01 09:50,57.20,44.60,62.69,290.00,20.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 010950Z 29020KT CAVOK 14/07 Q1024 NOSIG,M
LOWW,2022-01-01 10:20,59.00,44.60,58.77,290.00,18.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 011020Z 29018KT CAVOK 15/07 Q1024 NOSIG,M
LOWW,2022-01-01 10:50,59.00,44.60,58.77,290.00,18.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 011050Z 29018KT CAVOK 15/07 Q1024 NOSIG,M
LOWW,2022-01-01 11:20,59.00,44.60,58.77,280.00,17.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 011120Z 28017KT CAVOK 15/07 Q1024 NOSIG,M
LOWW,2022-01-01 11:50,59.00,44.60,58.77,290.00,18.00,0.00,30.27,M,6.21,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,59.00,LOWW 011150Z 29018KT 9999 BKN050 15/07 Q1025 NOSIG,M
LOWW,2022-01-01 12:20,57.20,44.60,62.69,290.00,18.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,4000.00,5000.00,M,M,M,M,M,M,M,M,M,57.20,LOWW 011220Z 29018KT 9999 FEW040 BKN050 14/07 Q1025 NOSIG,M
LOWW,2022-01-01 12:50,57.20,44.60,62.69,290.00,14.00,0.00,30.27,M,6.21,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,57.20,LOWW 011250Z 29014KT 9999 BKN050 14/07 Q1025 NOSIG,M
