station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EBBR,2022-01-01 00:20,55.40,51.80,87.65,220.00,7.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010020Z 22007KT 9999 BKN030 13/11 Q1024 NOSIG,M
EBBR,2022-01-01 00:50,55.40,50.00,81.99,210.00,7.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010050Z 21007KT 9999 BKN032 13/10 Q1024 NOSIG,M
EBBR,2022-01-01 01:20,55.40,48.20,76.66,210.00,7.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010120Z 21007KT 9999 BKN033 13/09 Q1024 NOSIG,M
EBBR,2022-01-01 01:50,55.40,50.00,81.99,210.00,7.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010150Z 21007KT 9999 BKN032 13/10 Q1024 NOSIG,M
EBBR,2022-01-01 02:20,55.40,50.00,81.99,210.00,8.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010220Z 21008KT 9999 BKN032 13/10 Q1024 NOSIG,M
EBBR,2022-01-01 02:50,55.40,48.20,76.66,200.00,6.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,55.40,EBBR 010250Z 20006KT 9999 BKN030 13/09 Q1024 NOSIG,M
EBBR,2022-01-01 03:20,53.60,48.20,81.87,200.00,7.00,0.00,30.24,M,6.21,M,SCT,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,53.60,EBBR 010320Z 20007KT 9999 SCT039 12/09 Q1024 NOSIG,M
EBBR,2022-01-01 03:50,53.60,50.00,87.56,190.00,6.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3800.00,M,M,M,M,M,M,M,M,M,M,53.60,EBBR 010350Z 19006KT 9999 BKN038 12/10 Q1024 NOSIG,M
EBBR,2022-01-01 04:20,51.80,48.20,87.47,190.00,8.00,0.00,30.24,M,6.21,M,SCT,M,M,M,3800.00,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010420Z 19008KT 9999 SCT038 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 04:50,51.80,48.20,87.47,180.00,6.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010450Z 18006KT CAVOK 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 05:20,51.80,48.20,87.47,190.00,6.00,0.00,30.24,M,6.21,M,BKN,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010520Z 19006KT 9999 BKN048 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 05:50,51.80,48.20,87.47,200.00,7.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010550Z 20007KT CAVOK 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 06:20,51.80,48.20,87.47,200.00,8.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010620Z 20008KT CAVOK 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 06:50,51.80,48.20,87.47,200.00,7.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010650Z 20007KT CAVOK 11/09 Q1024 NOSIG,M
EBBR,2022-01-01 07:20,51.80,46.40,81.74,200.00,5.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010720Z 20005KT CAVOK 11/08 Q1024 NOSIG,M
EBBR,2022-01-01 07:50,51.80,46.40,81.74,210.00,7.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010750Z 21007KT CAVOK 11/08 Q1024 TEMPO BKN005,M
EBBR,2022-01-01 08:20,50.00,46.40,87.37,210.00,5.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,EBBR 010820Z 21005KT CAVOK 10/08 Q1024 TEMPO BKN005,M
EBBR,2022-01-01 08:50,51.80,48.20,87.47,210.00,7.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010850Z 21007KT CAVOK 11/09 Q1024 TEMPO BKN005,M
EBBR,2022-01-01 09:20,51.80,48.20,87.47,190.00,3.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010920Z 19003KT 170V270 CAVOK 11/09 Q1024 TEMPO BKN005,M
EBBR,2022-01-01 09:50,51.80,48.20,87.47,170.00,5.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EBBR 010950Z 17005KT CAVOK 11/09 Q1024 TEMPO BKN005,M
EBBR,2022-01-01 10:20,53.60,48.20,81.87,190.00,9.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,53.60,EBBR 011020Z 19009KT 9999 FEW010 12/09 Q1024 TEMPO BKN005,M
