station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LKPR,2022-01-01 00:00,50.00,46.40,87.37,240.00,14.00,0.00,30.15,M,6.21,M,BKN,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010000Z 24014KT 9999 BKN034 10/08 Q1021 NOSIG,M
LKPR,2022-01-01 00:30,50.00,46.40,87.37,240.00,14.00,0.00,30.15,M,6.21,M,FEW,BKN,M,M,3600.00,4200.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010030Z 24014KT 9999 FEW036 BKN042 10/08 Q1021 NOSIG,M
LKPR,2022-01-01 01:00,51.80,46.40,81.74,240.00,16.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LKPR 010100Z 24016KT CAVOK 11/08 Q1021 NOSIG,M
LKPR,2022-01-01 01:30,50.00,46.40,87.37,240.00,13.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010130Z 24013KT CAVOK 10/08 Q1021 NOSIG,M
LKPR,2022-01-01 02:00,50.00,46.40,87.37,230.00,13.00,0.00,30.18,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010200Z 23013KT 9999 FEW035 10/08 Q1022 NOSIG,M
LKPR,2022-01-01 02:30,50.00,46.40,87.37,250.00,11.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010230Z 25011KT CAVOK 10/08 Q1022 NOSIG,M
LKPR,2022-01-01 03:00,50.00,46.40,87.37,240.00,12.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010300Z 24012KT CAVOK 10/08 Q1022 NOSIG,M
LKPR,2022-01-01 03:30,50.00,46.40,87.37,240.00,12.00,0.00,30.18,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010330Z 24012KT 9999 FEW035 10/08 Q1022 NOSIG,M
LKPR,2022-01-01 04:00,50.00,46.40,87.37,240.00,11.00,0.00,30.18,M,6.21,M,FEW,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010400Z 24011KT 9999 FEW033 10/08 Q1022 NOSIG,M
LKPR,2022-01-01 04:30,50.00,46.40,87.37,230.00,12.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,3400.00,4800.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010430Z 23012KT 9999 FEW034 BKN048 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 05:00,50.00,46.40,87.37,240.00,12.00,0.00,30.21,M,6.21,M,SCT,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010500Z 24012KT 9999 SCT033 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 05:30,50.00,46.40,87.37,230.00,12.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,3600.00,4700.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010530Z 23012KT 9999 FEW036 BKN047 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 06:00,50.00,46.40,87.37,240.00,12.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,3500.00,4700.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010600Z 24012KT 9999 FEW035 SCT047 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 06:30,50.00,46.40,87.37,240.00,12.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,3200.00,4800.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010630Z 24012KT 9999 FEW032 SCT048 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 07:00,50.00,46.40,87.37,240.00,12.00,0.00,30.21,M,6.21,M,BKN,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010700Z 24012KT 9999 BKN034 10/08 Q1023 NOSIG,M
LKPR,2022-01-01 07:30,50.00,46.40,87.37,240.00,13.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010730Z 24013KT 9999 FEW033 10/08 Q1024 NOSIG,M
LKPR,2022-01-01 08:00,50.00,46.40,87.37,240.00,12.00,0.00,30.24,M,6.21,M,BKN,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010800Z 24012KT 9999 BKN033 10/08 Q1024 NOSIG,M
LKPR,2022-01-01 08:30,50.00,46.40,87.37,240.00,13.00,0.00,30.24,M,6.21,M,SCT,BKN,M,M,3300.00,4300.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010830Z 24013KT 9999 SCT033 BKN043 10/08 Q1024 NOSIG,M
LKPR,2022-01-01 09:00,50.00,46.40,87.37,240.00,17.00,0.00,30.24,M,6.21,M,BKN,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 010900Z 24017KT 9999 BKN043 10/08 Q1024 NOSIG,M
LKPR,2022-01-01 09:30,50.00,46.40,87.37,240.00,12.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1000.00,4300.00,M,M,M,M,M,M,M,M,M,50.00,LKPR 010930Z 24012KT 9999 FEW010 BKN043 10/08 Q1025 NOSIG,M
LKPR,2022-01-01 10:00,51.80,48.20,87.47,240.00,13.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1000.00,4300.00,M,M,M,M,M,M,M,M,M,51.80,LKPR 011000Z 24013KT 9999 FEW010 BKN043 11/09 Q1025 NOSIG,M
LKPR,2022-01-01 10:30,51.80,48.20,87.47,250.00,11.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1300.00,4300.00,M,M,M,M,M,M,M,M,M,51.80,LKPR 011030Z 25011KT 9999 FEW013 BKN043 11/09 Q1025 NOSIG,M
LKPR,2022-01-01 11:00,51.80,48.20,87.47,250.00,11.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1300.00,4500.00,M,M,M,M,M,M,M,M,M,51.80,LKPR 011100Z 25011KT 9999 FEW013 BKN045 11/09 Q1025 NOSIG,M
LKPR,2022-01-01 11:30,53.60,48.20,81.87,250.00,10.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1500.00,4300.00,M,M,M,M,M,M,M,M,M,53.60,LKPR 011130Z 25010KT 9999 FEW015 BKN043 12/09 Q1025 NOSIG,M
LKPR,2022-01-01 12:00,53.60,46.40,76.50,260.00,12.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1600.00,4300.00,M,M,M,M,M,M,M,M,M,53.60,LKPR 011200Z 26012KT 9999 FEW016 BKN043 12/08 Q1025 NOSIG,M
LKPR,2022-01-01 12:30,53.60,48.20,81.87,260.00,11.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1600.00,4000.00,M,M,M,M,M,M,M,M,M,53.60,LKPR 011230Z 26011KT 9999 FEW016 BKN040 12/09 Q1025 NOSIG,M
LKPR,2022-01-01 13:00,53.60,46.40,76.50,260.00,12.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1600.00,4300.00,M,M,M,M,M,M,M,M,M,53.60,LKPR 011300Z 26012KT 9999 FEW016 BKN043 12/08 Q1025 NOSIG,M
LKPR,2022-01-01 13:30,53.60,44.60,71.45,270.00,11.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,1600.00,4300.00,M,M,M,M,M,M,M,M,M,53.60,LKPR 011330Z 27011KT 9999 FEW016 BKN043 12/07 Q1025 NOSIG,M
LKPR,2022-01-01 14:00,53.60,46.40,76.50,260.00,9.00,0.00,30.27,M,6.21,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,53.60,LKPR 011400Z 26009KT 9999 BKN042 12/08 Q1025 NOSIG,M
LKPR,2022-01-01 14:30,51.80,46.40,81.74,250.00,8.00,0.00,30.27,M,6.21,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,51.80,LKPR 011430Z 25008KT 9999 BKN042 11/08 Q1025 NOSIG,M
LKPR,2022-01-01 15:00,51.80,44.60,76.34,240.00,9.00,0.00,30.27,M,6.21,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,51.80,LKPR 011500Z 24009KT 9999 BKN042 11/07 Q1025 NOSIG,M
LKPR,2022-01-01 15:30,51.80,44.60,76.34,240.00,9.00,0.00,30.30,M,6.21,M,BKN,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,51.80,LKPR 011530Z 24009KT 9999 BKN041 11/07 Q1026 NOSIG,M
LKPR,2022-01-01 16:00,50.00,44.60,81.61,230.00,7.00,0.00,30.27,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,50.00,LKPR 011600Z 23007KT 9999 BKN040 10/07 Q1025 NOSIG,M
