station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EIDW,2022-01-01 00:00,55.40,50.00,81.99,170.00,20.00,0.00,29.71,M,6.21,M,FEW,BKN,M,M,1400.00,20000.00,M,M,M,M,M,M,M,M,M,55.40,EIDW 010000Z 17020KT 9999 FEW014 BKN200 13/10 Q1006 NOSIG,M
EIDW,2022-01-01 00:30,55.40,48.20,76.66,170.00,20.00,0.00,29.71,M,6.21,M,FEW,SCT,BKN,M,1500.00,16000.00,20000.00,M,M,M,M,M,M,M,M,55.40,EIDW 010030Z 17020KT 9999 FEW015 SCT160 BKN200 13/09 Q1006 NOSIG,M
EIDW,2022-01-01 01:00,55.40,50.00,81.99,160.00,21.00,0.00,29.68,M,6.21,M,FEW,BKN,M,M,1400.00,20000.00,M,M,M,M,M,M,M,M,M,55.40,EIDW 010100Z 16021KT 9999 FEW014 BKN200 13/10 Q1005 NOSIG,M
EIDW,2022-01-01 01:30,55.40,48.20,76.66,160.00,24.00,0.00,29.68,M,6.21,M,FEW,BKN,M,M,1500.00,22000.00,M,M,M,M,M,M,M,M,M,55.40,EIDW 010130Z 16024KT 9999 FEW015 BKN220 13/09 Q1005 NOSIG,M
EIDW,2022-01-01 02:00,53.60,48.20,81.87,140.00,16.00,0.00,29.68,M,6.21,M,FEW,BKN,M,M,1400.00,20000.00,M,M,M,M,M,M,M,M,M,53.60,EIDW 010200Z 14016KT 9999 FEW014 BKN200 12/09 Q1005 NOSIG,M
EIDW,2022-01-01 02:30,53.60,48.20,81.87,150.00,15.00,0.00,29.65,M,6.21,M,FEW,BKN,M,M,1400.00,22000.00,M,M,M,M,M,M,M,M,M,53.60,EIDW 010230Z 15015KT 9999 FEW014 BKN220 12/09 Q1004 NOSIG,M
EIDW,2022-01-01 03:00,53.60,48.20,81.87,140.00,15.00,0.00,29.65,M,6.21,M,FEW,SCT,M,M,1400.00,24000.00,M,M,M,M,M,M,M,M,M,53.60,EIDW 010300Z 14015KT 9999 FEW014 SCT240 12/09 Q1004 NOSIG,M
EIDW,2022-01-01 03:30,57.20,48.20,71.83,160.00,12.00,0.00,29.65,M,6.21,M,FEW,SCT,M,M,1400.00,3200.00,M,M,M,M,M,M,M,M,M,57.20,EIDW 010330Z 16012KT 9999 FEW014 SCT032 14/09 Q1004 NOSIG,M
EIDW,2022-01-01 04:00,57.20,48.20,71.83,150.00,12.00,0.00,29.62,M,6.21,M,FEW,BKN,M,M,1400.00,3000.00,M,M,M,M,M,M,M,M,M,57.20,EIDW 010400Z 15012KT 9999 FEW014 BKN030 14/09 Q1003 NOSIG,M
EIDW,2022-01-01 04:30,59.00,50.00,72.01,180.00,15.00,0.00,29.59,M,6.21,27.00,FEW,BKN,M,M,1400.00,3000.00,M,M,M,M,M,M,M,M,M,59.00,EIDW 010430Z 18015G27KT 150V210 9999 FEW014 BKN030 15/10 Q1002 NOSIG,M
