station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EPWA,2022-01-01 00:00,50.00,50.00,100.00,270.00,13.00,0.00,29.83,M,4.35,M,OVC,M,M,M,700.00,M,M,M,-DZ,M,M,M,M,M,M,50.00,EPWA 010000Z 27013KT 7000 -DZ OVC007 10/10 Q1010 NOSIG,M
EPWA,2022-01-01 00:30,50.00,50.00,100.00,270.00,10.00,0.00,29.83,M,2.49,M,OVC,M,M,M,400.00,M,M,M,-DZ BR,M,M,M,M,M,M,50.00,EPWA 010030Z 27010KT 4000 -DZ BR OVC004 10/10 Q1010 NOSIG,M
EPWA,2022-01-01 01:00,50.00,50.00,100.00,280.00,10.00,0.00,29.83,M,2.80,M,OVC,M,M,M,400.00,M,M,M,-DZ BR,M,M,M,M,M,M,50.00,EPWA 010100Z 28010KT 4500 -DZ BR OVC004 10/10 Q1010 NOSIG,M
EPWA,2022-01-01 01:30,50.00,50.00,100.00,300.00,12.00,0.00,29.85,M,4.35,M,SCT,BKN,M,M,700.00,2200.00,M,M,-RA,M,M,M,M,M,M,50.00,EPWA 010130Z 30012KT 7000 -RA SCT007 BKN022 10/10 Q1011 TEMPO BKN007,M
EPWA,2022-01-01 02:00,50.00,50.00,100.00,290.00,7.00,0.00,29.85,M,6.21,M,SCT,BKN,M,M,700.00,2500.00,M,M,M,M,M,M,M,M,M,50.00,EPWA 010200Z 29007KT 9999 SCT007 BKN025 10/10 Q1011 TEMPO BKN007,M
EPWA,2022-01-01 02:30,50.00,50.00,100.00,280.00,9.00,0.00,29.85,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,50.00,EPWA 010230Z 28009KT 9999 BKN009 10/10 Q1011 NOSIG,M
EPWA,2022-01-01 03:00,48.20,48.20,100.00,290.00,9.00,0.00,29.88,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,43.66,EPWA 010300Z 29009KT 9999 BKN010 09/09 Q1012 NOSIG,M
EPWA,2022-01-01 03:30,48.20,48.20,100.00,280.00,9.00,0.00,29.88,M,6.21,M,SCT,BKN,M,M,1000.00,2300.00,M,M,M,M,M,M,M,M,M,43.66,EPWA 010330Z 28009KT 9999 SCT010 BKN023 09/09 Q1012 NOSIG,M
EPWA,2022-01-01 04:00,48.20,48.20,100.00,290.00,10.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,1100.00,1900.00,M,M,M,M,M,M,M,M,M,43.28,EPWA 010400Z 29010KT 9999 FEW011 BKN019 09/09 Q1012 NOSIG,M
EPWA,2022-01-01 04:30,48.20,46.40,93.45,290.00,8.00,0.00,29.91,M,6.21,M,FEW,BKN,M,M,1100.00,2000.00,M,M,M,M,M,M,M,M,M,44.07,EPWA 010430Z 29008KT 9999 FEW011 BKN020 09/08 Q1013 NOSIG,M
