station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ESSB,2022-01-01 00:20,33.80,32.00,93.03,320.00,6.00,0.00,29.68,M,6.21,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,27.70,ESSB 010020Z AUTO 32006KT 9999 OVC006/// 01/M00 Q1005,M
ESSB,2022-01-01 00:50,32.00,32.00,100.00,320.00,5.00,0.00,29.68,M,1.49,M,OVC,M,M,M,500.00,M,M,M,-SN,M,M,M,M,M,M,26.40,ESSB 010050Z AUTO 32005KT 2400 -SN OVC005/// 00/M00 Q1005 REUP,M
ESSB,2022-01-01 01:20,32.00,32.00,100.00,310.00,5.00,0.00,29.71,M,3.11,M,OVC,M,M,M,500.00,M,M,M,-RASN,M,M,M,M,M,M,26.40,ESSB 010120Z AUTO 31005KT 5000 -RASN OVC005/// 00/M00 Q1006,M
ESSB,2022-01-01 01:50,33.80,32.00,93.03,330.00,7.00,0.00,29.74,M,6.21,M,OVC,M,M,M,400.00,M,M,M,-SN,M,M,M,M,M,M,26.97,ESSB 010150Z AUTO 33007KT 300V360 9999 -SN OVC004/// 01/00 Q1007,M
ESSB,2022-01-01 02:20,33.80,32.00,93.03,340.00,9.00,0.00,29.77,M,6.21,M,OVC,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,25.75,ESSB 010220Z AUTO 34009KT 9999 OVC003/// 01/00 Q1008,M
ESSB,2022-01-01 02:50,33.80,32.00,93.03,340.00,9.00,0.00,29.77,M,6.21,M,BKN,BKN,OVC,M,500.00,900.00,1100.00,M,M,M,M,M,M,M,M,25.75,ESSB 010250Z AUTO 34009KT 9999 BKN005/// BKN009/// OVC011/// 01/M00 Q1008,M
ESSB,2022-01-01 03:20,33.80,30.20,86.49,350.00,9.00,0.00,29.80,M,6.21,M,SCT,BKN,OVC,M,1100.00,2000.00,7400.00,M,M,M,M,M,M,M,M,25.75,ESSB 010320Z AUTO 35009KT 9999 SCT011/// BKN020/// OVC074/// 01/M01 Q1009,M
ESSB,2022-01-01 03:50,32.00,30.20,92.97,340.00,11.00,0.00,29.83,M,6.21,M,SCT,BKN,OVC,M,800.00,1200.00,2200.00,M,M,M,M,M,M,M,M,22.47,ESSB 010350Z AUTO 34011KT 9999 SCT008/// BKN012/// OVC022/// 00/M01 Q1010 REUP,M
ESSB,2022-01-01 04:20,32.00,28.40,86.39,340.00,10.00,0.00,29.85,M,6.21,M,SCT,BKN,OVC,M,1000.00,1400.00,2400.00,M,M,M,M,M,M,M,M,22.97,ESSB 010420Z AUTO 34010KT 9999 SCT010/// BKN014/// OVC024/// 00/M02 Q1011,M
ESSB,2022-01-01 04:50,32.00,28.40,86.39,340.00,11.00,0.00,29.88,M,6.21,M,FEW,SCT,OVC,M,500.00,1300.00,1900.00,M,M,M,M,M,M,M,M,22.47,ESSB 010450Z AUTO 34011KT 320V020 9999 FEW005/// SCT013/// OVC019/// M00/M02 Q1012 RESHUP,M
ESSB,2022-01-01 05:20,32.00,26.60,80.22,350.00,11.00,0.00,29.91,M,6.21,M,FEW,SCT,BKN,M,900.00,1000.00,1300.00,M,M,M,M,M,M,M,M,22.47,ESSB 010520Z AUTO 35011KT 9999 FEW009/// SCT010/// BKN013/// M00/M03 Q1013 RESN,M
ESSB,2022-01-01 05:50,30.20,26.60,86.28,330.00,11.00,0.00,29.91,M,6.21,M,OVC,M,M,M,1600.00,M,M,M,FZUP,M,M,M,M,M,M,20.19,ESSB 010550Z AUTO 33011KT 9999 FZUP OVC016/// M01/M03 Q1013 REDZ,M
ESSB,2022-01-01 06:20,30.20,24.80,80.07,340.00,10.00,0.00,29.94,M,6.21,M,SCT,OVC,M,M,1600.00,2000.00,M,M,M,M,M,M,M,M,M,20.71,ESSB 010620Z AUTO 34010KT 9999 SCT016/// OVC020/// M01/M04 Q1014 RESHUP,M
