DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2000,2.54,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2001,1.38,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2002,1.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2003,1.22,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2004,0.85,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2005,0.94,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2006,0.98,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2007,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2008,1.16,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2009,1.27,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2010,1.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2011,2.69,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2012,1.86,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2013,2.16,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2014,1.86,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2015,2.37,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2016,1.24,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2017,1.23,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2018,1.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,AL,2019,1.27,
